Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB
23, Battlefield: Bad Company 2 , X360 , Electronic Arts , Shooter ,45389,2093710,11,2010-05-14,M
24, Grand Theft Auto: Episodes from Liberty City , PS3 , Take-Two Interactive , Adventure ,44593,490077,5,2010-05-14,M
25, Battlefield: Bad Company 2 , PS3 , Electronic Arts , Shooter ,43359,1477341,11,2010-05-14,M
26, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,42867,8063966,27,2010-05-14,M
27, God of War Collection , PS3 , Sony Computer Entertainment , Action ,42462,1152492,26,2010-05-14,M
28, New Super Mario Bros. , DS , Nintendo , Platform ,38700,22591322,209,2010-05-14,E
29, 2010 FIFA World Cup South Africa , X360 , Electronic Arts , Sports ,37026,196580,3,2010-05-14,E
30, Street Fighter IV , X360 , Capcom , Fighting ,36658,1732162,65,2010-05-14,T
1, Red Dead Redemption , X360 , Take-Two Interactive , Action ,1105541,1105541,1,2010-05-21,M
2, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,838920,838920,1,2010-05-21,M
3, Wii Sports , Wii , Nintendo , Sports ,201426,62758762,183,2010-05-21,E
4, Alan Wake , X360 , Microsoft Game Studios , Action ,197437,281294,2,2010-05-21,T
5, Wii Sports Resort , Wii , Nintendo , Sports ,165056,15875131,48,2010-05-21,E
6, Wii Fit Plus , Wii , Nintendo , Sports ,133170,12144047,34,2010-05-21,E
7, Lost Planet 2 , PS3 , Capcom , Shooter ,132441,238314,2,2010-05-21,T
8, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,123381,14575035,27,2010-05-21,E
9, None , DS , Nintendo , Role-Playing ,104896,7839643,37,2010-05-21,T
10, Just Dance , Wii , Ubisoft , Misc ,85911,3099454,27,2010-05-21,E10+
11, Lost Planet 2 , X360 , Capcom , Shooter ,83903,243993,2,2010-05-21,T
12, God of War III , PS3 , Sony Computer Entertainment , Action ,63828,2465429,10,2010-05-21,M
13, Dragon Quest Monsters: Joker 2 , DS , Square Enix , Role-Playing ,60136,1044152,4,2010-05-21,E
14, World Soccer Winning Eleven 2010: Aoki Samurai no Chousen , PS3 , Konami Digital Entertainment , Sports ,58798,58798,1,2010-05-21,E
15, Split/Second , X360 , Disney Interactive Studios , Racing ,56866,56866,1,2010-05-21,E10+
16, Prince of Persia: The Forgotten Sands , PS3 , Ubisoft , Action ,56060,56060,1,2010-05-21,E10+
17, ModNation Racers , PS3 , Sony Computer Entertainment , Racing ,55086,55086,1,2010-05-21,E
18, Halo 3: ODST , X360 , Microsoft Game Studios , Shooter ,54923,5102803,35,2010-05-21,M
19, Split/Second , PS3 , Disney Interactive Studios , Racing ,54397,54397,1,2010-05-21,E10+
20, Mario Kart Wii , Wii , Nintendo , Racing ,53800,22162800,111,2010-05-21,E
21, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,52943,10701943,28,2010-05-21,M
22, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,50624,371334,4,2010-05-21,E
23, Street Fighter IV , PS3 , Capcom , Fighting ,49327,2297282,66,2010-05-21,T
24, Skate 3 , X360 , Electronic Arts , Sports ,45053,174885,2,2010-05-21,T
25, Prince of Persia: The Forgotten Sands , X360 , Ubisoft , Action ,40422,40422,1,2010-05-21,E10+
26, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,40031,8103997,28,2010-05-21,M
27, New Super Mario Bros. , DS , Nintendo , Platform ,39608,22630930,210,2010-05-21,E
28, God of War Collection , PS3 , Sony Computer Entertainment , Action ,38847,1191339,27,2010-05-21,M
29, Battlefield: Bad Company 2 , X360 , Electronic Arts , Shooter ,38569,2132279,12,2010-05-21,M
30, Forza Motorsport 3 , X360 , Microsoft Game Studios , Racing ,36794,2573787,31,2010-05-21,E
1, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,1170272,1170272,1,2010-05-28,E
2, Red Dead Redemption , X360 , Take-Two Interactive , Action ,573017,1678558,2,2010-05-28,M
3, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,447844,1286764,2,2010-05-28,M
4, UFC Undisputed 2010 , X360 , THQ , Fighting ,322700,322700,1,2010-05-28,T
5, UFC Undisputed 2010 , PS3 , THQ , Fighting ,271073,271073,1,2010-05-28,T
6, Wii Sports , Wii , Nintendo , Sports ,206395,62965157,184,2010-05-28,E
7, Wii Sports Resort , Wii , Nintendo , Sports ,170233,16045364,49,2010-05-28,E
8, Wii Fit Plus , Wii , Nintendo , Sports ,132417,12276464,35,2010-05-28,E
9, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,127555,14702590,28,2010-05-28,E
10, ModNation Racers , PS3 , Sony Computer Entertainment , Racing ,124638,179724,2,2010-05-28,E
11, None , DS , Nintendo , Role-Playing ,97204,7936847,38,2010-05-28,T
12, Alan Wake , X360 , Microsoft Game Studios , Action ,89442,370736,3,2010-05-28,T
13, Just Dance , Wii , Ubisoft , Misc ,84189,3183643,28,2010-05-28,E10+
14, Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental , DS , Namco Bandai Games , Strategy ,83418,83418,1,2010-05-28,T
15, Lost Planet 2 , PS3 , Capcom , Shooter ,64195,302509,3,2010-05-28,T
16, Medarot DS: Kabuto / Kuwagata Ver. , DS , Rocket Company , Role-Playing ,55231,55231,1,2010-05-28,E
17, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,53951,425285,5,2010-05-28,E
18, Blur , X360 , Activision , Racing ,53665,53665,1,2010-05-28,E10+
19, God of War III , PS3 , Sony Computer Entertainment , Action ,52924,2518353,11,2010-05-28,M
20, Mario Kart Wii , Wii , Nintendo , Racing ,51797,22214597,112,2010-05-28,E
21, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,51501,10753444,29,2010-05-28,M
22, Halo 3: ODST , X360 , Microsoft Game Studios , Shooter ,50294,5153097,36,2010-05-28,M
23, Soccer Tsuku DS: World Challenge 2010 , DS , Sega , Sports ,49341,49341,1,2010-05-28,E10+
24, Street Fighter IV , PS3 , Capcom , Fighting ,46226,2343508,67,2010-05-28,T
25, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,38794,8142791,29,2010-05-28,M
26, New Super Mario Bros. , DS , Nintendo , Platform ,38431,22669361,211,2010-05-28,E
27, Forza Motorsport 3 , X360 , Microsoft Game Studios , Racing ,38311,2612098,32,2010-05-28,E
28, Dragon Quest Monsters: Joker 2 , DS , Square Enix , Role-Playing ,37788,1081940,5,2010-05-28,E
29, Lost Planet 2 , X360 , Capcom , Shooter ,37724,281717,3,2010-05-28,T
30, Blur , PS3 , Activision , Racing ,33920,33920,1,2010-05-28,E10+
1, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,462175,1632447,2,2010-06-04,E
2, Red Dead Redemption , X360 , Take-Two Interactive , Action ,416527,2095085,3,2010-06-04,M
3, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,338149,1624913,3,2010-06-04,M
4, Wii Sports , Wii , Nintendo , Sports ,189940,63155097,185,2010-06-04,E
5, Wii Sports Resort , Wii , Nintendo , Sports ,173553,16218917,50,2010-06-04,E
6, Wii Fit Plus , Wii , Nintendo , Sports ,140836,12417300,36,2010-06-04,E
7, UFC Undisputed 2010 , X360 , THQ , Fighting ,127344,450044,2,2010-06-04,T
8, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,124453,14827043,29,2010-06-04,E
9, UFC Undisputed 2010 , PS3 , THQ , Fighting ,111440,382513,2,2010-06-04,T
10, None , DS , Nintendo , Role-Playing ,92468,8029315,39,2010-06-04,T
11, Alpha Protocol , X360 , Sega , Role-Playing ,75920,88299,2,2010-06-04,M
12, Just Dance , Wii , Ubisoft , Misc ,70097,3253740,29,2010-06-04,E10+
13, ModNation Racers , PS3 , Sony Computer Entertainment , Racing ,69312,249036,3,2010-06-04,E
14, The Sims 3: Ambitions , PC , Electronic Arts , Simulation ,63363,63363,1,2010-06-04,T
15, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,56344,481629,6,2010-06-04,E
16, Alpha Protocol , PS3 , Sega , Role-Playing ,56032,72429,2,2010-06-04,M
17, Alan Wake , X360 , Microsoft Game Studios , Action ,55766,426502,4,2010-06-04,T
18, Mario Kart Wii , Wii , Nintendo , Racing ,53195,22267792,113,2010-06-04,E
19, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,47276,10800720,30,2010-06-04,M
20, God of War III , PS3 , Sony Computer Entertainment , Action ,46568,2564921,12,2010-06-04,M
21, Halo 3: ODST , X360 , Microsoft Game Studios , Shooter ,45128,5198225,37,2010-06-04,M
22, Street Fighter IV , PS3 , Capcom , Fighting ,44409,2387917,68,2010-06-04,T
23, Lost Planet 2 , PS3 , Capcom , Shooter ,44377,346886,4,2010-06-04,T
24, New Super Mario Bros. , DS , Nintendo , Platform ,40635,22709996,212,2010-06-04,E
25, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,40069,8182860,30,2010-06-04,M
26, 2010 FIFA World Cup South Africa , X360 , Electronic Arts , Sports ,36708,288574,6,2010-06-04,E
27, Fairy Tail: Portable Guild , PSP , Konami Digital Entertainment , Fighting ,35099,35099,1,2010-06-04,K-A
28, Tom Clancy's Splinter Cell: Conviction , X360 , Ubisoft , Action ,33837,1110608,8,2010-06-04,M
29, Forza Motorsport 3 , X360 , Microsoft Game Studios , Racing ,31508,2643606,33,2010-06-04,E
30, Mario Kart DS , DS , Nintendo , Racing ,28478,17282834,238,2010-06-04,E
1, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,524297,2156744,3,2010-06-11,E
2, Red Dead Redemption , X360 , Take-Two Interactive , Action ,248590,2343675,4,2010-06-11,M
3, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,202828,1827741,4,2010-06-11,M
4, Wii Sports , Wii , Nintendo , Sports ,178582,63333679,186,2010-06-11,E
5, Wii Sports Resort , Wii , Nintendo , Sports ,169523,16388440,51,2010-06-11,E
6, Metal Gear Solid: Peace Walker , PSP , Konami Digital Entertainment , Action ,125616,838580,7,2010-06-11,T
7, Wii Fit Plus , Wii , Nintendo , Sports ,121333,12538633,37,2010-06-11,E
8, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,112819,14939862,30,2010-06-11,E
9, None , DS , Nintendo , Role-Playing ,85181,8114496,40,2010-06-11,T
10, Xenoblade Chronicles , Wii , Nintendo , Role-Playing ,82083,82083,1,2010-06-11,T
11, Grand Theft Auto: Episodes from Liberty City , PS3 , Take-Two Interactive , Adventure ,79522,648455,9,2010-06-11,M
12, Tiger Woods PGA Tour 11 , X360 , Electronic Arts , Sports ,73615,73615,1,2010-06-11,E
13, Green Day: Rock Band , X360 , MTV Games , Misc ,71125,71125,1,2010-06-11,T
14, Just Dance , Wii , Ubisoft , Misc ,67449,3321189,30,2010-06-11,E10+
15, UFC Undisputed 2010 , X360 , THQ , Fighting ,52335,502379,3,2010-06-11,T
16, Tiger Woods PGA Tour 11 , PS3 , Electronic Arts , Sports ,52161,52161,1,2010-06-11,E
17, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,51955,10852675,31,2010-06-11,M
18, Mario Kart Wii , Wii , Nintendo , Racing ,50418,22318210,114,2010-06-11,E
19, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,49558,531187,7,2010-06-11,E
20, God of War III , PS3 , Sony Computer Entertainment , Action ,49370,2614291,13,2010-06-11,M
21, UFC Undisputed 2010 , PS3 , THQ , Fighting ,48048,430561,3,2010-06-11,T
22, Green Day: Rock Band , PS3 , MTV Games , Misc ,46542,46542,1,2010-06-11,T
23, The Sims 3: Ambitions , PC , Electronic Arts , Simulation ,45055,108418,2,2010-06-11,T
24, Street Fighter IV , PS3 , Capcom , Fighting ,43303,2431220,69,2010-06-11,T
25, Green Day: Rock Band , Wii , MTV Games , Misc ,38745,38745,1,2010-06-11,T
26, ModNation Racers , PS3 , Sony Computer Entertainment , Racing ,37957,286993,4,2010-06-11,E
27, Rooms: The Main Building , DS , Hudson Soft , Adventure ,36087,81461,12,2010-06-11,E
28, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,35935,8218795,31,2010-06-11,M
29, Mega Man Zero Collection , DS , Capcom , Platform ,35757,35757,1,2010-06-11,E
30, Alan Wake , X360 , Microsoft Game Studios , Action ,35311,461813,5,2010-06-11,T
1, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,358968,2515712,4,2010-06-18,E
2, Red Dead Redemption , X360 , Take-Two Interactive , Action ,172039,2515714,5,2010-06-18,M
3, Wii Sports , Wii , Nintendo , Sports ,156963,63490642,187,2010-06-18,E
4, Wii Sports Resort , Wii , Nintendo , Sports ,147537,16535977,52,2010-06-18,E
5, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,146289,1974030,5,2010-06-18,M
6, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,100783,15040645,31,2010-06-18,E
7, Wii Fit Plus , Wii , Nintendo , Sports ,96369,12635002,38,2010-06-18,E
8, Metal Gear Solid: Peace Walker , PSP , Konami Digital Entertainment , Action ,80981,919561,8,2010-06-18,T
9, None , DS , Nintendo , Role-Playing ,80428,8194924,41,2010-06-18,T
10, Just Dance , Wii , Ubisoft , Misc ,63032,3384221,31,2010-06-18,E10+
11, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,56456,587643,8,2010-06-18,E
12, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,56318,10908993,32,2010-06-18,M
13, Toy Story 3: The Video Game , DS , Disney Interactive Studios , Action ,53267,53267,1,2010-06-18,E10+
14, Mario Kart Wii , Wii , Nintendo , Racing ,51764,22369974,115,2010-06-18,E
15, Toy Story 3: The Video Game , Wii , Disney Interactive Studios , Action ,49954,49954,1,2010-06-18,E10+
16, 2010 FIFA World Cup South Africa , X360 , Electronic Arts , Sports ,47850,369708,8,2010-06-18,E
17, God of War III , PS3 , Sony Computer Entertainment , Action ,42011,2656302,14,2010-06-18,M
18, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,41197,8259992,32,2010-06-18,M
19, Toy Story 3: The Video Game , X360 , Disney Interactive Studios , Action ,37314,37314,1,2010-06-18,E10+
20, Street Fighter IV , PS3 , Capcom , Fighting ,36670,2467890,70,2010-06-18,T
21, Uncharted 2: Among Thieves , PS3 , Sony Computer Entertainment , Action ,35372,3474616,36,2010-06-18,T
22, Grand Theft Auto: Episodes from Liberty City , PS3 , Take-Two Interactive , Adventure ,34151,682606,10,2010-06-18,M
23, New Super Mario Bros. , DS , Nintendo , Platform ,33603,22778481,214,2010-06-18,E
24, Rooms: The Main Building , DS , Hudson Soft , Adventure ,31328,112789,13,2010-06-18,E
25, 3D Dot Game Heroes , PS3 , Atlus , Role-Playing ,28218,172218,6,2010-06-18,E10+
26, The Sims 3: Ambitions , PC , Electronic Arts , Simulation ,27283,135701,3,2010-06-18,T
27, UFC Undisputed 2010 , PS3 , THQ , Fighting ,27101,457662,4,2010-06-18,T
28, ModNation Racers , PS3 , Sony Computer Entertainment , Racing ,26949,313942,5,2010-06-18,E
29, Wii Play , Wii , Nintendo , Misc ,26195,27587455,186,2010-06-18,E
30, Toy Story 3: The Video Game , PS3 , Disney Interactive Studios , Action ,26049,26049,1,2010-06-18,E10+
1, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,238484,2754196,5,2010-06-25,E
2, Wii Sports Resort , Wii , Nintendo , Sports ,142142,16678119,53,2010-06-25,E
3, Wii Sports , Wii , Nintendo , Sports ,138657,63629299,188,2010-06-25,E
4, Red Dead Redemption , X360 , Take-Two Interactive , Action ,122623,2638337,6,2010-06-25,M
5, Transformers: War for Cybertron , X360 , Activision , Action ,117930,117930,1,2010-06-25,T
6, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,105572,2079602,6,2010-06-25,M
7, Love Plus + , DS , Konami Digital Entertainment , Simulation ,97595,97595,1,2010-06-25,E
8, Monster Hunter Frontier Online , X360 , Capcom , Role-Playing ,88983,88983,1,2010-06-25,T
9, Wii Fit Plus , Wii , Nintendo , Sports ,87386,12722388,39,2010-06-25,E
10, None , DS , Nintendo , Role-Playing ,85899,8280823,42,2010-06-25,T
11, Transformers: War for Cybertron , PS3 , Activision , Action ,76975,76975,1,2010-06-25,T
12, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,76317,15116962,32,2010-06-25,E
13, 2010 FIFA World Cup South Africa , X360 , Electronic Arts , Sports ,65184,434892,9,2010-06-25,E
14, Atelier Totori: The Adventurer of Arland , PS3 , Gust , Role-Playing ,63165,63165,1,2010-06-25,T
15, Toy Story 3: The Video Game , DS , Disney Interactive Studios , Action ,62125,115392,2,2010-06-25,E10+
16, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,59373,647016,9,2010-06-25,E
17, Tokimeki Memorial Girl's Side 3rd Story , DS , Konami Digital Entertainment , Adventure ,58241,58241,1,2010-06-25,E
18, Just Dance , Wii , Ubisoft , Misc ,57712,3441933,32,2010-06-25,E10+
19, LEGO Harry Potter: Years 1-4 , DS , Warner Bros. Interactive Entertainment , Adventure ,54203,54203,1,2010-06-25,E10+
20, LEGO Harry Potter: Years 1-4 , Wii , Warner Bros. Interactive Entertainment , Adventure ,51666,51666,1,2010-06-25,E10+
21, Metal Gear Solid: Peace Walker , PSP , Konami Digital Entertainment , Action ,50085,969646,9,2010-06-25,T
22, LEGO Harry Potter: Years 1-4 , PS3 , Warner Bros. Interactive Entertainment , Adventure ,49168,49168,1,2010-06-25,E10+
23, Mario Kart Wii , Wii , Nintendo , Racing ,48320,22418294,116,2010-06-25,E
24, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,47055,10956048,33,2010-06-25,M
25, Demon's Souls , PS3 , Atlus , Role-Playing ,44047,633711,73,2010-06-25,M
26, God of War III , PS3 , Sony Computer Entertainment , Action ,38317,2694619,15,2010-06-25,M
27, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,37080,8297072,33,2010-06-25,M
28, LEGO Harry Potter: Years 1-4 , X360 , Warner Bros. Interactive Entertainment , Adventure ,34365,34365,1,2010-06-25,E10+
29, New Super Mario Bros. , DS , Nintendo , Platform ,33958,22812439,215,2010-06-25,E
30, Uncharted 2: Among Thieves , PS3 , Sony Computer Entertainment , Action ,30579,3505195,37,2010-06-25,T
1, Inazuma Eleven 3: Sekai e no Chousen!! Bomber / Spark , DS , Level 5 , Role-Playing ,483153,483153,1,2010-07-02,K-A
2, LEGO Harry Potter: Years 1-4 , Wii , Warner Bros. Interactive Entertainment , Adventure ,177914,229580,2,2010-07-02,E10+
3, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,176468,2930664,6,2010-07-02,E
4, LEGO Harry Potter: Years 1-4 , DS , Warner Bros. Interactive Entertainment , Adventure ,157437,211640,2,2010-07-02,E10+
5, Wii Sports Resort , Wii , Nintendo , Sports ,137618,16815737,54,2010-07-02,E
6, Wii Sports , Wii , Nintendo , Sports ,136119,63765418,189,2010-07-02,E
7, LEGO Harry Potter: Years 1-4 , X360 , Warner Bros. Interactive Entertainment , Adventure ,113736,148101,2,2010-07-02,E10+
8, None , DS , Nintendo , Role-Playing ,103953,8384776,43,2010-07-02,T
9, Red Dead Redemption , X360 , Take-Two Interactive , Action ,101886,2740223,7,2010-07-02,M
10, LEGO Harry Potter: Years 1-4 , PS3 , Warner Bros. Interactive Entertainment , Adventure ,98032,147200,2,2010-07-02,E10+
11, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,86900,2166502,7,2010-07-02,M
12, Wii Fit Plus , Wii , Nintendo , Sports ,80662,12803050,40,2010-07-02,E
13, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,76426,15193388,33,2010-07-02,E
14, Taiko no Tatsujin DS: Dororon! Youkai Daikessen!! , DS , Namco Bandai Games , Misc ,68599,68599,1,2010-07-02,E
15, 2010 FIFA World Cup South Africa , X360 , Electronic Arts , Sports ,67106,501998,10,2010-07-02,E
16, Sniper: Ghost Warrior , X360 , City Interactive , Shooter ,63113,63113,1,2010-07-02,M
17, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,57814,704830,10,2010-07-02,E
18, Just Dance , Wii , Ubisoft , Misc ,54846,3496779,33,2010-07-02,E10+
19, Transformers: War for Cybertron , X360 , Activision , Action ,54777,172707,2,2010-07-02,T
20, BlazBlue: Continuum Shift , PS3 , Arc System Works , Fighting ,49283,49283,1,2010-07-02,T
21, Mario Kart Wii , Wii , Nintendo , Racing ,45710,22464004,117,2010-07-02,E
22, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,44834,11000882,34,2010-07-02,M
23, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,40687,8337759,34,2010-07-02,M
24, Transformers: War for Cybertron , PS3 , Activision , Action ,38061,115036,2,2010-07-02,T
25, Toy Story 3: The Video Game , DS , Disney Interactive Studios , Action ,37819,153211,3,2010-07-02,E10+
26, Digimon Story: Lost Evolution , DS , Namco Bandai Games , Role-Playing ,35638,35638,1,2010-07-02,E
27, God of War III , PS3 , Sony Computer Entertainment , Action ,35001,2729620,16,2010-07-02,M
28, New Super Mario Bros. , DS , Nintendo , Platform ,32726,22845165,216,2010-07-02,E
29, DeathSmiles , X360 , Aksys Games , Shooter ,31468,79239,1,2010-07-02,T
30, Sin and Punishment: Star Successor , Wii , Nintendo , Shooter ,31465,91511,36,2010-07-02,T
1, Crackdown 2 , X360 , Microsoft Game Studios , Shooter ,295818,295818,1,2010-07-09,M
2, Wii Party , Wii , Nintendo , Misc ,238570,238570,1,2010-07-09,E
3, White Knight Chronicles II , PS3 , Sony Computer Entertainment , Role-Playing ,169102,169102,1,2010-07-09,T
4, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,144184,3074848,7,2010-07-09,E
5, Wii Sports Resort , Wii , Nintendo , Sports ,141711,16957448,55,2010-07-09,E
6, Wii Sports , Wii , Nintendo , Sports ,134175,63899593,190,2010-07-09,E
7, LEGO Harry Potter: Years 1-4 , Wii , Warner Bros. Interactive Entertainment , Adventure ,112308,341888,3,2010-07-09,E10+
8, None , DS , Nintendo , Role-Playing ,101245,8486021,44,2010-07-09,T
9, Inazuma Eleven 3: Sekai e no Chousen!! Bomber / Spark , DS , Level 5 , Role-Playing ,94912,578065,2,2010-07-09,K-A
10, LEGO Harry Potter: Years 1-4 , DS , Warner Bros. Interactive Entertainment , Adventure ,90354,301994,3,2010-07-09,E10+
11, Red Dead Redemption , X360 , Take-Two Interactive , Action ,89431,2829654,8,2010-07-09,M
12, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,79238,2245740,8,2010-07-09,M
13, Wii Fit Plus , Wii , Nintendo , Sports ,76880,12879930,41,2010-07-09,E
14, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,68928,15262316,34,2010-07-09,E
15, Harvest Moon: The Tale of Two Towns , DS , Marvelous Interactive , Simulation ,64576,64576,1,2010-07-09,E
16, LEGO Harry Potter: Years 1-4 , X360 , Warner Bros. Interactive Entertainment , Adventure ,57161,205262,3,2010-07-09,E10+
17, Just Dance , Wii , Ubisoft , Misc ,55739,3552518,34,2010-07-09,E10+
18, LEGO Harry Potter: Years 1-4 , PS3 , Warner Bros. Interactive Entertainment , Adventure ,48133,195333,3,2010-07-09,E10+
19, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,46794,751624,11,2010-07-09,E
20, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,44879,8382638,35,2010-07-09,M
21, Mario Kart Wii , Wii , Nintendo , Racing ,43303,22507307,118,2010-07-09,E
22, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,43265,11044147,35,2010-07-09,M
23, Sniper: Ghost Warrior , X360 , City Interactive , Shooter ,42019,105132,2,2010-07-09,M
24, Dance on Broadway , Wii , Ubisoft , Misc ,41409,65936,4,2010-07-09,E
25, 2010 FIFA World Cup South Africa , X360 , Electronic Arts , Sports ,38393,540391,11,2010-07-09,E
26, Transformers: War for Cybertron , X360 , Activision , Action ,37960,210667,3,2010-07-09,T
27, New Super Mario Bros. , DS , Nintendo , Platform ,30786,22875951,217,2010-07-09,E
28, Halo 3: ODST , X360 , Microsoft Game Studios , Shooter ,30191,5347608,42,2010-07-09,M
29, Taiko no Tatsujin DS: Dororon! Youkai Daikessen!! , DS , Namco Bandai Games , Misc ,29873,98472,2,2010-07-09,E
30, God of War III , PS3 , Sony Computer Entertainment , Action ,29313,2758933,17,2010-07-09,M
1, NCAA Football 11 , X360 , Electronic Arts , Sports ,227633,227633,1,2010-07-16,E
2, NCAA Football 11 , PS3 , Electronic Arts , Sports ,185311,185311,1,2010-07-16,E
3, Wii Sports Resort , Wii , Nintendo , Sports ,142891,17100339,56,2010-07-16,E
4, Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu , DS , Nintendo , Strategy ,142107,142107,1,2010-07-16,E
5, Dragon Quest Monsters: Battle Road Victory , Wii , Square Enix , Strategy ,140248,140248,1,2010-07-16,E10+
6, Wii Sports , Wii , Nintendo , Sports ,126493,64026086,191,2010-07-16,E
7, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,121418,3196266,8,2010-07-16,E
8, Crackdown 2 , X360 , Microsoft Game Studios , Shooter ,121041,416859,2,2010-07-16,M
9, Jikkyou Powerful Pro Yakyuu 2010 , PS3 , Konami Digital Entertainment , Sports ,118113,118113,1,2010-07-16,E
10, Wii Party , Wii , Nintendo , Misc ,112777,351347,2,2010-07-16,E
11, Dragon Quest IX: Sentinels of the Starry Skies , DS , Nintendo , Role-Playing ,86717,4408023,54,2010-07-16,E10+
12, None , DS , Nintendo , Role-Playing ,83232,8569253,45,2010-07-16,T
13, Red Dead Redemption , X360 , Take-Two Interactive , Action ,82674,2912328,9,2010-07-16,M
14, LEGO Harry Potter: Years 1-4 , Wii , Warner Bros. Interactive Entertainment , Adventure ,74461,416349,4,2010-07-16,E10+
15, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,73949,2319689,9,2010-07-16,M
16, Wii Fit Plus , Wii , Nintendo , Sports ,71533,12951463,42,2010-07-16,E
17, Last Ranker , PSP , Capcom , Role-Playing ,66826,66826,1,2010-07-16,T
18, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,61596,15323912,35,2010-07-16,E
19, LEGO Harry Potter: Years 1-4 , DS , Warner Bros. Interactive Entertainment , Adventure ,59192,361186,4,2010-07-16,E10+
20, Just Dance , Wii , Ubisoft , Misc ,53698,3606216,35,2010-07-16,E10+
21, Jikkyou Powerful Pro Yakyuu 2010 , PSP , Konami Digital Entertainment , Sports ,52602,52602,1,2010-07-16,E
22, Inazuma Eleven 3: Sekai e no Chousen!! Bomber / Spark , DS , Level 5 , Role-Playing ,49045,627110,3,2010-07-16,K-A
23, Dance on Broadway , Wii , Ubisoft , Misc ,47975,113911,5,2010-07-16,E
24, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,46638,11090785,36,2010-07-16,M
25, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,41780,8424418,36,2010-07-16,M
26, Mario Kart Wii , Wii , Nintendo , Racing ,39360,22546667,119,2010-07-16,E
27, Toy Story 3: The Video Game , DS , Disney Interactive Studios , Action ,38490,218827,5,2010-07-16,E10+
28, LEGO Harry Potter: Years 1-4 , X360 , Warner Bros. Interactive Entertainment , Adventure ,37945,243207,4,2010-07-16,E10+
29, White Knight Chronicles II , PS3 , Sony Computer Entertainment , Role-Playing ,35629,204731,2,2010-07-16,T
30, 2010 FIFA World Cup South Africa , PS3 , Electronic Arts , Sports ,34745,786369,12,2010-07-16,E
1, Wii Sports Resort , Wii , Nintendo , Sports ,139490,17239829,57,2010-07-23,E
