Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,DateInt
1, Wii Sports , Wii , Nintendo , Sports ,288678,17648357,59,2008-01-05,E,39452 
2, Mario Party DS , DS , Nintendo , Misc ,279915,2561364,9,2008-01-05,E,39452 
3, Wii Play , Wii , Nintendo , Misc ,271276,9210946,58,2008-01-05,E,39452 
4, Super Mario Galaxy , Wii , Nintendo , Platform ,267677,4476613,10,2008-01-05,E,39452 
5, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,229707,9155302,106,2008-01-05,E,39452 
6, Call of Duty 4: Modern Warfare , X360 , Activision , Shooter ,188522,4082306,9,2008-01-05,M,39452 
7, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,183212,11260841,138,2008-01-05,E,39452 
8, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,174251,2684003,9,2008-01-05,E,39452 
9, New Super Mario Bros. , DS , Nintendo , Platform ,158564,13052199,86,2008-01-05,E,39452 
10, Assassin's Creed , X360 , Ubisoft , Adventure ,156114,2962410,8,2008-01-05,M,39452 
11, Mario Party 8 , Wii , Nintendo , Misc ,140470,4097814,32,2008-01-05,E,39452 
12, Call of Duty 4: Modern Warfare , PS3 , Activision , Shooter ,120835,1982352,9,2008-01-05,M,39452 
13, Mario Kart DS , DS , Nintendo , Racing ,118604,8771890,112,2008-01-05,E,39452 
14, Nintendogs , DS , Nintendo , Simulation ,117284,17125586,142,2008-01-05,E,39452 
15, Assassin's Creed , PS3 , Ubisoft , Adventure ,111599,1888338,8,2008-01-05,M,39452 
16, Wii Fit , Wii , Nintendo , Sports ,110944,989660,6,2008-01-05,E,39452 
17, Halo 3 , X360 , Microsoft Game Studios , Shooter ,108741,6944064,15,2008-01-05,M,39452 
18, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,105170,3318084,28,2008-01-05,E,39452 
19, Pokemon Diamond/Pokemon Pearl, DS , Nintendo , Role-Playing ,103996,13096351,68,2008-01-05,T,39452 
20, Flash Focus: Vision Training in Minutes a Day , DS , Nintendo , Misc ,101667,1818187,32,2008-01-05,E,39452 
21, Guitar Hero III: Legends of Rock , X360 , Activision , Misc ,94651,1954928,10,2008-01-05,T,39452 
22, MySims , DS , Electronic Arts , Simulation ,94128,1587410,16,2008-01-05,E,39452 
23, Link's Crossbow Training , Wii , Nintendo , Shooter ,87791,852022,7,2008-01-05,T,39452 
24, Uncharted: Drake's Fortune , PS3 , Sony Computer Entertainment , Action ,85861,847290,8,2008-01-05,T,39452 
25, Forza Motorsport 2 , X360 , Microsoft Game Studios , Racing ,83004,3087516,33,2008-01-05,E,39452 
26, Final Fantasy IV , DS , Square Enix , Role-Playing ,82175,507651,3,2008-01-05,E10+,39452 
27, Cooking Mama , DS , 505 Games , Simulation ,74073,2479085,94,2008-01-05,E,39452 
28, Big Brain Academy: Wii Degree , Wii , Nintendo , Misc ,73927,1596832,37,2008-01-05,E,39452 
29, Professor Layton and the Diabolical Box , DS , Level 5 , Adventure ,70789,665270,6,2008-01-05,E10+,39452 
30, Marvel: Ultimate Alliance , X360 , Activision , Role-Playing ,65055,2247787,63,2008-01-05,T,39452 
1, Wii Sports , Wii , Nintendo , Sports ,161750,17810107,60,2008-01-12,E,39459 
2, Mario Party DS , DS , Nintendo , Misc ,147613,2708977,10,2008-01-12,E,39459 
3, Call of Duty 4: Modern Warfare , X360 , Activision , Shooter ,145777,4228083,10,2008-01-12,M,39459 
4, Super Mario Galaxy , Wii , Nintendo , Platform ,142236,4618850,11,2008-01-12,E,39459 
5, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,133945,9289247,107,2008-01-12,E,39459 
6, Wii Play , Wii , Nintendo , Misc ,120177,9331123,59,2008-01-12,E,39459 
7, Assassin's Creed , X360 , Ubisoft , Adventure ,94684,3057094,9,2008-01-12,M,39459 
8, Wii Fit , Wii , Nintendo , Sports ,92064,1081724,7,2008-01-12,E,39459 
9, Call of Duty 4: Modern Warfare , PS3 , Activision , Shooter ,90978,2073330,10,2008-01-12,M,39459 
10, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,90754,11351595,139,2008-01-12,E,39459 
11, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,84577,2768580,10,2008-01-12,E,39459 
12, Assassin's Creed , PS3 , Ubisoft , Adventure ,83908,1972246,9,2008-01-12,M,39459 
13, New Super Mario Bros. , DS , Nintendo , Platform ,81667,13133866,87,2008-01-12,E,39459 
14, Nintendogs , DS , Nintendo , Simulation ,77818,17203404,143,2008-01-12,E,39459 
15, Halo 3 , X360 , Microsoft Game Studios , Shooter ,71250,7015314,16,2008-01-12,M,39459 
16, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,69731,3387815,29,2008-01-12,E,39459 
17, Uncharted: Drake's Fortune , PS3 , Sony Computer Entertainment , Action ,68638,915928,9,2008-01-12,T,39459 
