Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,DateInt
23, Hitman: Absolution , PS3 , Square Enix , Action ,30564,1449216,8,2013-01-12,M,41286 
24, Super Mario 3D Land , 3DS , Nintendo , Platform ,30272,7925340,63,2013-01-12,E,41286 
25, Wii Sports , Wii , Nintendo , Sports ,30080,80737813,321,2013-01-12,E,41286 
26, Wii Sports Resort , Wii , Nintendo , Sports ,27654,31224166,186,2013-01-12,E,41286 
27, Paper Mario , 3DS , Nintendo , Role-Playing ,27439,1209770,9,2013-01-12,E,41286 
28, Mario Kart Wii , Wii , Nintendo , Racing ,26905,33172669,249,2013-01-12,E,41286 
29, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,26293,9447215,112,2013-01-12,E,41286 
30, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,25543,26251649,165,2013-01-12,E,41286 
1, DmC: Devil May Cry , PS3 , Capcom , Action ,286977,286977,1,2013-01-19,M,41293 
2, DmC: Devil May Cry , X360 , Capcom , Action ,138175,138175,1,2013-01-19,M,41293 
3, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,98186,2383486,11,2013-01-19,E,41293 
4, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,96891,10482178,10,2013-01-19,M,41293 
5, Call of Duty: Black Ops II , X360 , Activision , Shooter ,79065,10981447,10,2013-01-19,M,41293 
6, Just Dance 4 , Wii , Ubisoft , Misc ,58202,5286003,16,2013-01-19,E10+,41293 
7, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,57274,6482737,17,2013-01-19,E,41293 
8, Far Cry 3 , PS3 , Ubisoft , Shooter ,55935,1637779,8,2013-01-19,M,41293 
9, Far Cry 3 , X360 , Ubisoft , Shooter ,50650,1744486,8,2013-01-19,M,41293 
10, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,47902,5276936,26,2013-01-19,E,41293 
11, Digimon Adventure , PSP , Namco Bandai Games , Role-Playing ,47036,47036,1,2013-01-19,E,41293 
12, Halo 4 , X360 , Microsoft Game Studios , Shooter ,45750,7487950,11,2013-01-19,M,41293 
13, FIFA Soccer 13 , X360 , Electronic Arts , Action ,33153,4192087,17,2013-01-19,E,41293 
14, Mario Kart 7 , 3DS , Nintendo , Racing ,31279,7425080,60,2013-01-19,E,41293 
15, Assassin's Creed III , PS3 , Ubisoft , Action ,30964,4782425,12,2013-01-19,M,41293 
16, Pokemon Black / White Version 2 , DS , Nintendo , Role-Playing ,29600,6078290,31,2013-01-19,E,41293 
17, Need for Speed: Most Wanted (Limited Edition) , PS3 , Electronic Arts , Racing ,27857,1691176,12,2013-01-19,E10+,41293 
18, Assassin's Creed III , X360 , Ubisoft , Action ,26581,3937440,12,2013-01-19,M,41293 
19, Nintendo Land , WiiU , Nintendo , Action ,26127,1565426,9,2013-01-19,E10+,41293 
20, New Super Mario Bros. U , WiiU , Nintendo , Action ,26057,1438609,9,2013-01-19,E,41293 
21, NBA 2K13 , X360 , Take-Two Interactive , Action ,25283,1943846,16,2013-01-19,E,41293 
22, Super Mario 3D Land , 3DS , Nintendo , Platform ,25033,7950373,64,2013-01-19,E,41293 
23, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,24289,19372038,116,2013-01-19,E,41293 
24, Zumba Fitness , Wii , Majesco Entertainment , Sports ,22249,6022184,114,2013-01-19,E,41293 
25, Paper Mario , 3DS , Nintendo , Role-Playing ,21696,1231466,10,2013-01-19,E,41293 
26, Wii Sports , Wii , Nintendo , Sports ,20959,80758772,322,2013-01-19,E,41293 
27, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,20050,9467265,113,2013-01-19,E,41293 
28, Wii Sports Resort , Wii , Nintendo , Sports ,19607,31243773,187,2013-01-19,E,41293 
29, Mario Kart Wii , Wii , Nintendo , Racing ,19330,33191999,250,2013-01-19,E,41293 
30, NBA 2K13 , PS3 , Take-Two Interactive , Action ,18046,1522557,16,2013-01-19,E,41293 
1, Ni no Kuni: Wrath of the White Witch , PS3 , Namco Bandai Games , Role-Playing ,117030,318231,63,2013-01-26,E10+,41300 
2, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,93982,10576160,11,2013-01-26,M,41300 
3, Call of Duty: Black Ops II , X360 , Activision , Shooter ,85513,11066960,11,2013-01-26,M,41300 
4, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,82434,2465920,12,2013-01-26,E,41300 
5, DmC: Devil May Cry , PS3 , Capcom , Action ,74952,361929,2,2013-01-26,M,41300 
6, Far Cry 3 , PS3 , Ubisoft , Shooter ,66918,1704697,9,2013-01-26,M,41300 
7, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,61845,6544582,18,2013-01-26,E,41300 
8, Far Cry 3 , X360 , Ubisoft , Shooter ,60821,1805307,9,2013-01-26,M,41300 
9, Just Dance 4 , Wii , Ubisoft , Misc ,52946,5338949,17,2013-01-26,E10+,41300 
10, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,43618,5320554,27,2013-01-26,E,41300 
11, Hitman: Absolution , PS3 , Square Enix , Action ,38529,1504679,10,2013-01-26,M,41300 
12, Halo 4 , X360 , Microsoft Game Studios , Shooter ,37815,7525765,12,2013-01-26,M,41300 
13, DmC: Devil May Cry , X360 , Capcom , Action ,33869,172044,2,2013-01-26,M,41300 
14, FIFA Soccer 13 , X360 , Electronic Arts , Action ,31905,4223992,18,2013-01-26,E,41300 
15, Assassin's Creed III , PS3 , Ubisoft , Action ,30825,4813250,13,2013-01-26,M,41300 
16, Mario Kart 7 , 3DS , Nintendo , Racing ,29633,7454713,61,2013-01-26,E,41300 
17, Zumba Fitness , Wii , Majesco Entertainment , Sports ,28841,6051025,115,2013-01-26,E,41300 
18, Assassin's Creed III , X360 , Ubisoft , Action ,28084,3965524,13,2013-01-26,M,41300 
19, Pokemon Black / White Version 2 , DS , Nintendo , Role-Playing ,27445,6105735,32,2013-01-26,E,41300 
20, Gintama no Sugoroku , PSP , Namco Bandai Games , Action ,26581,26581,1,2013-01-26,E,41300 
21, NBA 2K13 , X360 , Take-Two Interactive , Action ,25703,1969549,17,2013-01-26,E,41300 
22, Demon Gaze , PSV , Kadokawa Games , Role-Playing ,25592,25592,1,2013-01-26,M,41300 
23, Genkai Tokki Monster Monpiece , PSV , Compile Heart , Strategy ,25080,25080,1,2013-01-26,K-A,41300 
24, Super Mario 3D Land , 3DS , Nintendo , Platform ,24442,7974815,65,2013-01-26,E,41300 
25, Kamisama to Unemi Kakumei Paradox , PS3 , Nippon Ichi Software , Role-Playing ,24080,24080,1,2013-01-26,E10+,41300 
26, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,23940,9491205,114,2013-01-26,E,41300 
27, Fantasy Life , 3DS , Level 5 , Role-Playing ,23706,197434,5,2013-01-26,E10+,41300 
28, Need for Speed: Most Wanted (Limited Edition) , PS3 , Electronic Arts , Racing ,23172,1714348,13,2013-01-26,E10+,41300 
29, New Super Mario Bros. U , WiiU , Nintendo , Action ,22482,1461091,10,2013-01-26,E,41300 
30, Nintendo Land , WiiU , Nintendo , Action ,22372,1587798,10,2013-01-26,E10+,41300 
1, Ni no Kuni: Wrath of the White Witch , PS3 , Namco Bandai Games , Role-Playing ,181802,500033,64,2013-02-02,E10+,41307 
2, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,94661,10670821,12,2013-02-02,M,41307 
3, Call of Duty: Black Ops II , X360 , Activision , Shooter ,94124,11161084,12,2013-02-02,M,41307 
4, Just Dance 4 , Wii , Ubisoft , Misc ,65938,5404887,18,2013-02-02,E10+,41307 
5, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,65785,2531705,13,2013-02-02,E,41307 
6, Far Cry 3 , PS3 , Ubisoft , Shooter ,63311,1768008,10,2013-02-02,M,41307 
7, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,58549,6603131,19,2013-02-02,E,41307 
8, Far Cry 3 , X360 , Ubisoft , Shooter ,54747,1860054,10,2013-02-02,M,41307 
9, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,45851,5366405,28,2013-02-02,E,41307 
10, Halo 4 , X360 , Microsoft Game Studios , Shooter ,42488,7568253,13,2013-02-02,M,41307 
11, NBA 2K13 , X360 , Take-Two Interactive , Action ,40460,2010009,18,2013-02-02,E,41307 
12, DmC: Devil May Cry , PS3 , Capcom , Action ,37523,399452,3,2013-02-02,M,41307 
13, Assassin's Creed III , PS3 , Ubisoft , Action ,34060,4847310,14,2013-02-02,M,41307 
14, FIFA Soccer 13 , X360 , Electronic Arts , Action ,32811,4256803,19,2013-02-02,E,41307 
15, Mario Kart 7 , 3DS , Nintendo , Racing ,32697,7487410,62,2013-02-02,E,41307 
16, Zumba Fitness , Wii , Majesco Entertainment , Sports ,30370,6081395,116,2013-02-02,E,41307 
17, Assassin's Creed III , X360 , Ubisoft , Action ,30334,3995858,14,2013-02-02,M,41307 
18, Super Mario 3D Land , 3DS , Nintendo , Platform ,27974,8002789,66,2013-02-02,E,41307 
19, Pokemon Black / White Version 2 , DS , Nintendo , Role-Playing ,27301,6133036,33,2013-02-02,E,41307 
20, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,27151,9518356,115,2013-02-02,E,41307 
21, NBA 2K13 , PS3 , Take-Two Interactive , Action ,26393,1564229,18,2013-02-02,E,41307 
22, Hitman: Absolution , PS3 , Square Enix , Action ,25879,1530558,11,2013-02-02,M,41307 
23, New Super Mario Bros. U , WiiU , Nintendo , Action ,25731,1486822,11,2013-02-02,E,41307 
24, Nintendo Land , WiiU , Nintendo , Action ,24320,1612118,11,2013-02-02,E10+,41307 
25, Skylanders Giants , Wii , Activision , Action ,23635,1808436,16,2013-02-02,E10+,41307 
26, Wii Sports , Wii , Nintendo , Sports ,22024,80801751,324,2013-02-02,E,41307 
27, Paper Mario , 3DS , Nintendo , Role-Playing ,22024,1274194,12,2013-02-02,E,41307 
28, Need for Speed: Most Wanted (Limited Edition) , PS3 , Electronic Arts , Racing ,21374,1735722,14,2013-02-02,E10+,41307 
29, Fantasy Life , 3DS , Level 5 , Role-Playing ,20623,218057,6,2013-02-02,E10+,41307 
30, Wii Sports Resort , Wii , Nintendo , Sports ,20298,31283845,189,2013-02-02,E,41307 
1, Dragon Warrior VII , 3DS , Square Enix , Role-Playing ,836027,836027,1,2013-02-09,T,41314 
2, Dead Space 3 , X360 , Electronic Arts , Shooter ,377656,377656,1,2013-02-09,M,41314 
3, Dead Space 3 , PS3 , Electronic Arts , Shooter ,256996,256996,1,2013-02-09,M,41314 
4, Fire Emblem: Awakening , 3DS , Nintendo , Strategy ,115875,606970,43,2013-02-09,T,41314 
5, Sly Cooper: Thieves in Time , PS3 , Sony Computer Entertainment America , Platform ,101839,101839,1,2013-02-09,E10+,41314 
6, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,90470,10761291,13,2013-02-09,M,41314 
7, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,84872,2616577,14,2013-02-09,E,41314 
8, Call of Duty: Black Ops II , X360 , Activision , Shooter ,83949,11245033,13,2013-02-09,M,41314 
9, Just Dance 4 , Wii , Ubisoft , Misc ,64371,5469258,19,2013-02-09,E10+,41314 
10, Ni no Kuni: Wrath of the White Witch , PS3 , Namco Bandai Games , Role-Playing ,64111,564144,65,2013-02-09,E10+,41314 
11, Far Cry 3 , PS3 , Ubisoft , Shooter ,53802,1821810,11,2013-02-09,M,41314 
12, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,51383,6654514,20,2013-02-09,E,41314 
13, Far Cry 3 , X360 , Ubisoft , Shooter ,49275,1909329,11,2013-02-09,M,41314 
14, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,41489,5407894,29,2013-02-09,E,41314 
15, Halo 4 , X360 , Microsoft Game Studios , Shooter ,37417,7605670,14,2013-02-09,M,41314 
16, NBA 2K13 , X360 , Take-Two Interactive , Action ,34934,2044943,19,2013-02-09,E,41314 
17, Mario Kart 7 , 3DS , Nintendo , Racing ,29624,7517034,63,2013-02-09,E,41314 
18, FIFA Soccer 13 , X360 , Electronic Arts , Action ,28798,4285601,20,2013-02-09,E,41314 
19, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,28699,9547055,116,2013-02-09,E,41314 
20, Need for Speed: Most Wanted (Limited Edition) , PS3 , Electronic Arts , Racing ,27339,1763061,15,2013-02-09,E10+,41314 
21, Super Mario 3D Land , 3DS , Nintendo , Platform ,24714,8027503,67,2013-02-09,E,41314 
22, Assassin's Creed III , PS3 , Ubisoft , Action ,23833,4871143,15,2013-02-09,M,41314 
23, Nintendo Land , WiiU , Nintendo , Action ,23382,1635500,12,2013-02-09,E10+,41314 
24, Pokemon Black / White Version 2 , DS , Nintendo , Role-Playing ,22838,6155874,34,2013-02-09,E,41314 
25, Assassin's Creed III , X360 , Ubisoft , Action ,22710,4018568,15,2013-02-09,M,41314 
26, Hitman: Absolution , PS3 , Square Enix , Action ,22084,1552642,12,2013-02-09,M,41314 
27, New Super Mario Bros. U , WiiU , Nintendo , Action ,22073,1508895,12,2013-02-09,E,41314 
28, Mario Kart Wii , Wii , Nintendo , Racing ,21539,33251936,253,2013-02-09,E,41314 
29, NBA 2K13 , PS3 , Take-Two Interactive , Action ,21396,1585625,19,2013-02-09,E,41314 
30, Zumba Fitness , Wii , Majesco Entertainment , Sports ,21062,6102457,117,2013-02-09,E,41314 
1, Aliens: Colonial Marines , X360 , Sega , Shooter ,267584,267584,1,2013-02-16,M,41321 
2, Dragon Warrior VII , 3DS , Square Enix , Role-Playing ,185045,1021072,2,2013-02-16,T,41321 
3, Aliens: Colonial Marines , PS3 , Sega , Shooter ,180959,180959,1,2013-02-16,M,41321 
4, Dead Space 3 , X360 , Electronic Arts , Shooter ,103093,480749,2,2013-02-16,M,41321 
5, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,95372,10856663,14,2013-02-16,M,41321 
6, Dead Space 3 , PS3 , Electronic Arts , Shooter ,86982,343978,2,2013-02-16,M,41321 
7, Call of Duty: Black Ops II , X360 , Activision , Shooter ,83259,11328292,14,2013-02-16,M,41321 
8, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,78085,2694662,15,2013-02-16,E,41321 
9, Aliens: Colonial Marines , PC , Sega , Shooter ,75043,75043,1,2013-02-16,M,41321 
10, Just Dance 4 , Wii , Ubisoft , Misc ,66583,5535841,20,2013-02-16,E10+,41321 
11, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,53409,6707923,21,2013-02-16,E,41321 
12, Far Cry 3 , X360 , Ubisoft , Shooter ,50782,1960111,12,2013-02-16,M,41321 
13, Far Cry 3 , PS3 , Ubisoft , Shooter ,49871,1871681,12,2013-02-16,M,41321 
14, Halo 4 , X360 , Microsoft Game Studios , Shooter ,44018,7649688,15,2013-02-16,M,41321 
15, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,42365,5450259,30,2013-02-16,E,41321 
16, Ni no Kuni: Wrath of the White Witch , PS3 , Namco Bandai Games , Role-Playing ,40428,604572,66,2013-02-16,E10+,41321 
17, Fire Emblem: Awakening , 3DS , Nintendo , Strategy ,36302,643272,44,2013-02-16,T,41321 
18, NBA 2K13 , X360 , Take-Two Interactive , Action ,34221,2079164,20,2013-02-16,E,41321 
19, Need for Speed: Most Wanted (Limited Edition) , PS3 , Electronic Arts , Racing ,33842,1796903,16,2013-02-16,E10+,41321 
20, FIFA Soccer 13 , X360 , Electronic Arts , Action ,33562,4319163,21,2013-02-16,E,41321 
21, NBA 2K13 , PS3 , Take-Two Interactive , Action ,30187,1615812,20,2013-02-16,E,41321 
22, Pokemon Black / White Version 2 , DS , Nintendo , Role-Playing ,29187,6185061,35,2013-02-16,E,41321 
23, Mario Kart Wii , Wii , Nintendo , Racing ,28554,33280490,254,2013-02-16,E,41321 
24, Mario Kart 7 , 3DS , Nintendo , Racing ,28246,7545280,64,2013-02-16,E,41321 
25, Nintendo Land , WiiU , Nintendo , Action ,26325,1661825,13,2013-02-16,E10+,41321 
26, Super Mario 3D Land , 3DS , Nintendo , Platform ,25889,8053392,68,2013-02-16,E,41321 
27, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,25674,9572729,117,2013-02-16,E,41321 
28, Assassin's Creed III , PS3 , Ubisoft , Action ,25552,4896695,16,2013-02-16,M,41321 
29, Assassin's Creed III , X360 , Ubisoft , Action ,24133,4042701,16,2013-02-16,M,41321 
30, Paper Mario , 3DS , Nintendo , Role-Playing ,23574,1314877,14,2013-02-16,E,41321 
1, Metal Gear Rising: Revengeance , PS3 , Konami Digital Entertainment , Action ,604582,604582,1,2013-02-23,M,41328 
2, Crysis 3 , X360 , Electronic Arts , Shooter ,304744,304744,1,2013-02-23,M,41328 
3, Crysis 3 , PS3 , Electronic Arts , Shooter ,188354,188354,1,2013-02-23,M,41328 
4, Metal Gear Rising: Revengeance , X360 , Konami Digital Entertainment , Action ,145969,145969,1,2013-02-23,M,41328 
5, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,90020,10946683,15,2013-02-23,M,41328 
6, Crysis 3 , PC , Electronic Arts , Shooter ,89979,89979,1,2013-02-23,M,41328 
7, Call of Duty: Black Ops II , X360 , Activision , Shooter ,85320,11413612,15,2013-02-23,M,41328 
8, Dragon Warrior VII , 3DS , Square Enix , Role-Playing ,77190,1098262,3,2013-02-23,T,41328 
9, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,75674,2770336,16,2013-02-23,E,41328 
10, Dead Space 3 , X360 , Electronic Arts , Shooter ,57617,538366,3,2013-02-23,M,41328 
11, Just Dance 4 , Wii , Ubisoft , Misc ,53805,5589646,21,2013-02-23,E10+,41328 
12, Dead Space 3 , PS3 , Electronic Arts , Shooter ,51163,395141,3,2013-02-23,M,41328 
13, Aliens: Colonial Marines , X360 , Sega , Shooter ,50953,318537,2,2013-02-23,M,41328 
14, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,49448,6757371,22,2013-02-23,E,41328 
15, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,45470,5495729,31,2013-02-23,E,41328 
16, Far Cry 3 , PS3 , Ubisoft , Shooter ,44606,1916287,13,2013-02-23,M,41328 
17, Far Cry 3 , X360 , Ubisoft , Shooter ,43626,2003737,13,2013-02-23,M,41328 
18, NBA 2K13 , X360 , Take-Two Interactive , Action ,42638,2121802,21,2013-02-23,E,41328 
19, Aliens: Colonial Marines , PS3 , Sega , Shooter ,41590,222549,2,2013-02-23,M,41328 
20, Halo 4 , X360 , Microsoft Game Studios , Shooter ,39347,7689035,16,2013-02-23,M,41328 
21, FIFA Soccer 13 , X360 , Electronic Arts , Action ,37414,4356577,22,2013-02-23,E,41328 
22, Ni no Kuni: Wrath of the White Witch , PS3 , Namco Bandai Games , Role-Playing ,30282,634854,67,2013-02-23,E10+,41328 
23, NBA 2K13 , PS3 , Take-Two Interactive , Action ,29908,1645720,21,2013-02-23,E,41328 
24, Mario Kart 7 , 3DS , Nintendo , Racing ,28878,7574158,65,2013-02-23,E,41328 
25, Need for Speed: Most Wanted (Limited Edition) , PS3 , Electronic Arts , Racing ,28412,1825315,17,2013-02-23,E10+,41328 
26, Magi: The Labyrinth of Beginning , 3DS , Namco Bandai Games , Role-Playing ,28100,28100,1,2013-02-23,E,41328 
27, Pokemon Black / White Version 2 , DS , Nintendo , Role-Playing ,27793,6212854,36,2013-02-23,E,41328 
28, The Sims 3 (Mobile Versions) , PC , Electronic Arts , Simulation ,27316,6058917,195,2013-02-23,T,41328 
29, Super Mario 3D Land , 3DS , Nintendo , Platform ,25552,8078944,69,2013-02-23,E,41328 
30, Mario Kart Wii , Wii , Nintendo , Racing ,25552,33306042,255,2013-02-23,E,41328 
1, Dynasty Warriors 8 , PS3 , Tecmo Koei , Action ,212798,212798,1,2013-03-02,T,41335 
2, Metal Gear Rising: Revengeance , PS3 , Konami Digital Entertainment , Action ,136037,740619,2,2013-03-02,M,41335 
3, Professor Layton and the Legacy of Civilization A , 3DS , Level 5 , Puzzle ,132824,132824,1,2013-03-02,E10+,41335 
4, Crysis 3 , X360 , Electronic Arts , Shooter ,109186,413930,2,2013-03-02,M,41335 
5, Senran Kagura Shinovi Versus: Shoujotachi no Shoumei , PSV , Marvelous Interactive , Action ,91668,91668,1,2013-03-02,M,41335 
6, Dragon Ball Heroes: Ultimate Mission , 3DS , Namco Bandai Games , Misc ,89926,89926,1,2013-03-02,E,41335 
7, Crysis 3 , PS3 , Electronic Arts , Shooter ,78596,266950,2,2013-03-02,M,41335 
8, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,76089,2846425,17,2013-03-02,E,41335 
9, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,69697,11016380,16,2013-03-02,M,41335 
10, Shining Ark , PSP , Sega , Role-Playing ,65748,65748,1,2013-03-02,E,41335 
11, Call of Duty: Black Ops II , X360 , Activision , Shooter ,61888,11475500,16,2013-03-02,M,41335 
12, Macross 30: Ginga o Tsunagu Utagoe , PS3 , Namco Bandai Games , Shooter ,60876,60876,1,2013-03-02,E,41335 
13, Phantasy Star Online 2 , PSV , Sega , Role-Playing ,56208,56208,1,2013-03-02,T,41335 
14, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,45054,6802425,23,2013-03-02,E,41335 
15, Dragon Warrior VII , 3DS , Square Enix , Role-Playing ,43595,1141857,4,2013-03-02,T,41335 
16, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,42337,5538066,32,2013-03-02,E,41335 
17, Metal Gear Rising: Revengeance , X360 , Konami Digital Entertainment , Action ,38974,184943,2,2013-03-02,M,41335 
18, Crysis 3 , PC , Electronic Arts , Shooter ,38592,128571,2,2013-03-02,M,41335 
19, Far Cry 3 , PS3 , Ubisoft , Shooter ,36238,1952525,14,2013-03-02,M,41335 
20, NBA 2K13 , X360 , Take-Two Interactive , Action ,35679,2157481,22,2013-03-02,E,41335 
21, Just Dance 4 , Wii , Ubisoft , Misc ,35549,5625195,22,2013-03-02,E10+,41335 
22, Far Cry 3 , X360 , Ubisoft , Shooter ,34157,2037894,14,2013-03-02,M,41335 
23, Halo 4 , X360 , Microsoft Game Studios , Shooter ,33941,7722976,17,2013-03-02,M,41335 
