Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,DateInt
1, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,206106,10257995,8,2013-01-05,M,41279 
2, Call of Duty: Black Ops II , X360 , Activision , Shooter ,175359,10794298,8,2013-01-05,M,41279 
3, Halo 4 , X360 , Microsoft Game Studios , Shooter ,171296,7368431,9,2013-01-05,M,41279 
4, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,158105,5168885,24,2013-01-05,E,41279 
5, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,134535,2200794,9,2013-01-05,E,41279 
6, Just Dance 4 , Wii , Ubisoft , Misc ,128025,5153451,14,2013-01-05,E10+,41279 
7, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,127970,6338760,15,2013-01-05,E,41279 
8, Far Cry 3 , X360 , Ubisoft , Shooter ,115720,1621274,6,2013-01-05,M,41279 
9, Far Cry 3 , PS3 , Ubisoft , Shooter ,111498,1505260,6,2013-01-05,M,41279 
10, Assassin's Creed III , PS3 , Ubisoft , Action ,92801,4703366,10,2013-01-05,M,41279 
11, New Super Mario Bros. U , WiiU , Nintendo , Action ,91491,1376550,7,2013-01-05,E,41279 
12, Paper Mario , 3DS , Nintendo , Role-Playing ,88548,1182331,8,2013-01-05,E,41279 
13, FIFA Soccer 13 , X360 , Electronic Arts , Action ,86434,4108098,15,2013-01-05,E,41279 
14, Nintendo Land , WiiU , Nintendo , Action ,85456,1502166,7,2013-01-05,E10+,41279 
15, Mario Kart 7 , 3DS , Nintendo , Racing ,81577,7355762,58,2013-01-05,E,41279 
16, Need for Speed: Most Wanted (Limited Edition) , PS3 , Electronic Arts , Racing ,78942,1622785,10,2013-01-05,E10+,41279 
17, Assassin's Creed III , X360 , Ubisoft , Action ,71651,3877068,10,2013-01-05,M,41279 
18, Pokemon Black / White Version 2 , DS , Nintendo , Role-Playing ,65144,6014676,29,2013-01-05,E,41279 
19, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,64815,19316321,114,2013-01-05,E,41279 
20, Super Mario 3D Land , 3DS , Nintendo , Platform ,63854,7895068,62,2013-01-05,E,41279 
21, Hitman: Absolution , PS3 , Square Enix , Action ,61102,1418652,7,2013-01-05,M,41279 
22, NBA 2K13 , X360 , Take-Two Interactive , Action ,59548,1886493,14,2013-01-05,E,41279 
23, Inazuma Eleven Go 2: Chrono Stone , 3DS , Level 5 , Sports ,49020,360469,4,2013-01-05,E10+,41279 
24, Wii Sports , Wii , Nintendo , Sports ,48620,80707733,320,2013-01-05,E,41279 
25, Mario Kart Wii , Wii , Nintendo , Racing ,47368,33145764,248,2013-01-05,E,41279 
26, Wii Sports Resort , Wii , Nintendo , Sports ,46800,31196512,185,2013-01-05,E,41279 
27, Madden NFL 13 , X360 , Electronic Arts , Sports ,45300,2306129,19,2013-01-05,E,41279 
28, Forza Horizon , X360 , Microsoft Game Studios , Racing ,44592,1082629,11,2013-01-05,T,41279 
29, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,44491,26226106,164,2013-01-05,E,41279 
30, One Piece: Romance Dawn - Bouken no Yoake , PSP , Namco Bandai Games , Fighting ,39802,266052,3,2013-01-05,E10+,41279 
1, Call of Duty: Black Ops II , PS3 , Activision , Shooter ,127292,10385287,9,2013-01-12,M,41286 
2, Call of Duty: Black Ops II , X360 , Activision , Shooter ,108084,10902382,9,2013-01-12,M,41286 
3, FIFA Soccer 13 , PS3 , Electronic Arts , Action ,86703,6425463,16,2013-01-12,E,41286 
4, Animal Crossing: Jump Out , 3DS , Nintendo , Action ,84506,2285300,10,2013-01-12,E,41286 
5, Far Cry 3 , PS3 , Ubisoft , Shooter ,76584,1581844,7,2013-01-12,M,41286 
6, Just Dance 4 , Wii , Ubisoft , Misc ,74350,5227801,15,2013-01-12,E10+,41286 
7, Halo 4 , X360 , Microsoft Game Studios , Shooter ,73769,7442200,10,2013-01-12,M,41286 
8, Far Cry 3 , X360 , Ubisoft , Shooter ,72562,1693836,7,2013-01-12,M,41286 
9, Anarchy Reigns , X360 , Sega , Action ,70311,84794,28,2013-01-12,M,41286 
10, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,60149,5229034,25,2013-01-12,E,41286 
11, Anarchy Reigns , PS3 , Sega , Action ,51923,107014,28,2013-01-12,M,41286 
12, FIFA Soccer 13 , X360 , Electronic Arts , Action ,50836,4158934,16,2013-01-12,E,41286 
13, Assassin's Creed III , PS3 , Ubisoft , Action ,48095,4751461,11,2013-01-12,M,41286 
14, Need for Speed: Most Wanted (Limited Edition) , PS3 , Electronic Arts , Racing ,40534,1663319,11,2013-01-12,E10+,41286 
15, Mario Kart 7 , 3DS , Nintendo , Racing ,38039,7393801,59,2013-01-12,E,41286 
16, Nintendo Land , WiiU , Nintendo , Action ,37133,1539299,8,2013-01-12,E10+,41286 
17, New Super Mario Bros. U , WiiU , Nintendo , Action ,36002,1412552,8,2013-01-12,E,41286 
18, Pokemon Black / White Version 2 , DS , Nintendo , Role-Playing ,34014,6048690,30,2013-01-12,E,41286 
19, Assassin's Creed III , X360 , Ubisoft , Action ,33791,3910859,11,2013-01-12,M,41286 
20, NBA 2K13 , X360 , Take-Two Interactive , Action ,32070,1918563,15,2013-01-12,E,41286 
21, Skylanders Giants , Wii , Activision , Action ,31820,1753436,13,2013-01-12,E10+,41286 
22, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,31428,19347749,115,2013-01-12,E,41286 
