id,pos,name,platform,publisher,genre,week,total,time,date,esrb,dateint,when
1197,27, NBA 2K8 , PS3 , Take-Two Interactive , Sports ,34389,34389,1,2007-10-06,E,39361,Sep-07
1198,28, FIFA Soccer 08 , PSP , Electronic Arts , Sports ,33544,65297,2,2007-10-06,E,39361,Sep-07
1199,29, Spider-Man: Friend or Foe , X360 , Activision , Action ,31821,31821,1,2007-10-06,E10+,39361,Sep-07
1200,30, Crisis Core: Final Fantasy VII , PSP , Square Enix , Role-Playing ,30748,703808,4,2007-10-06,T,39361,Sep-07
1201,1, Halo 3 , X360 , Microsoft Game Studios , Shooter ,327321,4919874,3,2007-10-13,M,39368,Sep-07
1202,2, Wii Sports , Wii , Nintendo , Sports ,226576,11285936,47,2007-10-13,E,39368,Nov-06
1203,3, The Orange Box , X360 , Electronic Arts , Shooter ,186641,186641,1,2007-10-13,M,39368,Oct-07
1204,4, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,114876,1181932,16,2007-10-13,E,39368,Jun-07
1205,5, PGR4 - Project Gotham Racing 4 , X360 , Microsoft Game Studios , Racing ,107718,157322,2,2007-10-13,E,39368,Sep-07
1206,6, Pokemon Diamond/Pokemon Pearl , DS , Nintendo , Role-Playing ,103370,11112863,56,2007-10-13,T,39368,Sep-06
1207,7, Wii Play , Wii , Nintendo , Misc ,95709,5736553,46,2007-10-13,E,39368,Nov-06
1208,8, Final Fantasy Tactics: The War of the Lions , PSP , Square Enix , Role-Playing ,95590,412915,23,2007-10-13,T,39368,May-07
1209,9, FIFA Soccer 08 , X360 , Electronic Arts , Sports ,91788,302153,3,2007-10-13,E,39368,Sep-07
1210,10, FIFA Soccer 08 , PS3 , Electronic Arts , Sports ,85478,298226,3,2007-10-13,E,39368,Sep-07
1211,11, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,85186,6001138,94,2007-10-13,E,39368,Dec-05
1212,12, MySims , DS , Electronic Arts , Simulation ,76160,329687,4,2007-10-13,E,39368,Sep-07
1213,13, Star Wars Battlefront: Renegade Squadron , PSP , LucasArts , Shooter ,71899,71899,1,2007-10-13,T,39368,Oct-07
1214,14, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,58596,8785223,126,2007-10-13,E,39368,May-05
1215,15, MotorStorm , PS3 , Sony Computer Entertainment , Racing ,53992,1431516,44,2007-10-13,T,39368,Dec-06
1216,16, Mario Party 8 , Wii , Nintendo , Misc ,53526,2475256,20,2007-10-13,E,39368,May-07
1217,17, DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana , DS , Tecmo Koei , Adventure ,53525,53525,1,2007-10-13,T,39368,Oct-07
1218,18, Nintendogs , DS , Nintendo , Simulation ,52556,15058533,130,2007-10-13,E,39368,Apr-05
1219,19, Resistance: Fall of Man , PS3 , Sony Computer Entertainment , Shooter ,50780,1872535,49,2007-10-13,M,39368,Nov-06
1220,20, FIFA Soccer 08 , PSP , Electronic Arts , Sports ,49639,114936,3,2007-10-13,E,39368,Sep-07
1221,21, New Super Mario Bros. , DS , Nintendo , Platform ,49248,11344700,74,2007-10-13,E,39368,May-06
1222,22, Pokemon Battle Revolution , DS , Nintendo , Role-Playing ,47737,975652,5,2007-10-13,T,39368,Sep-07
1223,23, NBA 2K8 , X360 , Take-Two Interactive , Sports ,45576,144870,2,2007-10-13,E,39368,Sep-07
1224,24, MySims , Wii , Electronic Arts , Simulation ,42564,239420,4,2007-10-13,E,39368,Sep-07
1225,25, Heavenly Sword , PS3 , Sony Computer Entertainment , Action ,41887,333360,5,2007-10-13,T,39368,Sep-07
1226,26, FIFA Soccer 08 , Wii , Electronic Arts , Sports ,40091,92985,3,2007-10-13,E,39368,Sep-07
1227,27, Mario Kart DS , DS , Nintendo , Racing ,33467,7598093,100,2007-10-13,E,39368,Nov-05
1228,28, Gundam Battle Chronicle , PSP , Namco Bandai Games , Action ,33092,121586,2,2007-10-13,T,39368,Sep-07
1229,29, Cooking Mama , DS , 505 Games , Simulation ,32493,1243301,82,2007-10-13,E,39368,Mar-06
1230,30, Skate , X360 , Electronic Arts , Sports ,32107,224348,5,2007-10-13,E,39368,Sep-07
1231,1, Wii Sports , Wii , Nintendo , Sports ,286390,11572326,48,2007-10-20,E,39375,Nov-06
1232,2, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,243689,1425621,17,2007-10-20,E,39375,Jun-07
1233,3, Worldwide Soccer Manager 2008 , PC , Russel , Sports ,228616,228616,1,2007-10-20,E,39375,Oct-07
1234,4, Halo 3 , X360 , Microsoft Game Studios , Shooter ,182206,5102080,4,2007-10-20,M,39375,Sep-07
1235,5, The Orange Box , X360 , Electronic Arts , Shooter ,108423,295064,2,2007-10-20,M,39375,Oct-07
1236,6, Wii Play , Wii , Nintendo , Misc ,105848,5842401,47,2007-10-20,E,39375,Nov-06
1237,7, Pokemon Diamond/Pokemon Pearl , DS , Nintendo , Role-Playing ,100780,11213643,57,2007-10-20,T,39375,Sep-06
1238,8, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,78994,6080132,95,2007-10-20,E,39375,Dec-05
1239,9, Forza Motorsport 2 , X360 , Microsoft Game Studios , Racing ,77503,1055078,22,2007-10-20,E,39375,May-07
1240,10, PGR4 - Project Gotham Racing 4 , X360 , Microsoft Game Studios , Racing ,70318,227640,3,2007-10-20,E,39375,Sep-07
1241,11, MySims , DS , Electronic Arts , Simulation ,63106,392793,5,2007-10-20,E,39375,Sep-07
1242,12, FIFA Soccer 08 , PS3 , Electronic Arts , Sports ,61983,360209,4,2007-10-20,E,39375,Sep-07
1243,13, Marvel: Ultimate Alliance , X360 , Activision , Role-Playing ,61218,485567,52,2007-10-20,T,39375,Oct-06
1244,14, MotorStorm , PS3 , Sony Computer Entertainment , Racing ,60636,1492152,45,2007-10-20,T,39375,Dec-06
1245,15, Resistance: Fall of Man , PS3 , Sony Computer Entertainment , Shooter ,59281,1931816,50,2007-10-20,M,39375,Nov-06
1246,16, Star Wars Battlefront: Renegade Squadron , PSP , LucasArts , Shooter ,58317,130216,2,2007-10-20,T,39375,Oct-07
1247,17, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,55843,8841066,127,2007-10-20,E,39375,May-05
1248,18, FIFA Soccer 08 , X360 , Electronic Arts , Sports ,53254,355407,4,2007-10-20,E,39375,Sep-07
1249,19, Mario Party 8 , Wii , Nintendo , Misc ,51541,2526797,21,2007-10-20,E,39375,May-07
1250,20, Nintendogs , DS , Nintendo , Simulation ,49019,15107552,131,2007-10-20,E,39375,Apr-05
1251,21, High School Musical: Makin' the Cut! , DS , Disney Interactive Studios , Puzzle ,44543,233544,10,2007-10-20,E,39375,Aug-07
1252,22, New Super Mario Bros. , DS , Nintendo , Platform ,43705,11388405,75,2007-10-20,E,39375,May-06
1253,23, Heavenly Sword , PS3 , Sony Computer Entertainment , Action ,40509,373869,6,2007-10-20,T,39375,Sep-07
1254,24, FIFA Soccer 08 , PSP , Electronic Arts , Sports ,40296,155232,4,2007-10-20,E,39375,Sep-07
1255,25, Final Fantasy Tactics: The War of the Lions , PSP , Square Enix , Role-Playing ,37821,450736,24,2007-10-20,T,39375,May-07
1256,26, DS Bungaku Zenshuu , DS , Nintendo , Misc ,36813,36813,1,2007-10-20,E10+,39375,Oct-07
1257,27, Cooking Mama , DS , 505 Games , Simulation ,35578,1278879,83,2007-10-20,E,39375,Mar-06
1258,28, Pokemon Diamond/Pokemon Pearl , DS , Nintendo , Role-Playing ,33347,1008999,6,2007-10-20,T,39375,Sep-07
1259,29, MySims , Wii , Electronic Arts , Simulation ,33129,272549,5,2007-10-20,E,39375,Sep-07
1260,30, Flash Focus: Vision Training in Minutes a Day , DS , Nintendo , Misc ,32955,677820,21,2007-10-20,E,39375,May-07
1261,1, Wii Sports , Wii , Nintendo , Sports ,305341,11877667,49,2007-10-27,E,39382,Nov-06
1262,2, Pro Evolution Soccer 2008 , PS3 , Konami Digital Entertainment , Sports ,199052,199052,1,2007-10-27,E,39382,Oct-07
1263,3, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,190173,1615794,18,2007-10-27,E,39382,Jun-07
1264,4, Pro Evolution Soccer 2008 , X360 , Konami Digital Entertainment , Sports ,166610,166610,1,2007-10-27,E,39382,Oct-07
1265,5, Final Fantasy Tactics A2: Grimoire of the Rift , DS , Square Enix , Role-Playing ,153388,153388,1,2007-10-27,E10+,39382,Oct-07
1266,6, Halo 3 , X360 , Microsoft Game Studios , Shooter ,123050,5225130,5,2007-10-27,M,39382,Sep-07
1267,7, Worldwide Soccer Manager 2008 , PC , Russel , Sports ,122993,351609,2,2007-10-27,E,39382,Oct-07
1268,8, Forza Motorsport 2 , X360 , Microsoft Game Studios , Racing ,122126,1177204,23,2007-10-27,E,39382,May-07
1269,9, Wii Play , Wii , Nintendo , Misc ,112297,5954698,48,2007-10-27,E,39382,Nov-06
1270,10, Marvel: Ultimate Alliance , X360 , Activision , Role-Playing ,107095,592662,53,2007-10-27,T,39382,Oct-06
1271,11, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,104524,6184656,96,2007-10-27,E,39382,Dec-05
1272,12, Metroid Prime 3: Corruption , Wii , Nintendo , Shooter ,103091,543984,9,2007-10-27,T,39382,Aug-07
1273,13, Pokemon Diamond/Pokemon Pearl , DS , Nintendo , Role-Playing ,93445,11307088,58,2007-10-27,T,39382,Sep-06
1274,14, Ace Combat 6: Fires of Liberation , X360 , Atari , Simulation ,81124,81124,1,2007-10-27,T,39382,Oct-07
1275,15, MotorStorm , PS3 , Sony Computer Entertainment , Racing ,76721,1568873,46,2007-10-27,T,39382,Dec-06
1276,16, High School Musical: Makin' the Cut! , DS , Disney Interactive Studios , Puzzle ,68264,301808,11,2007-10-27,E,39382,Aug-07
1277,17, Ratchet & Clank Future: Tools of Destruction , PS3 , Sony Computer Entertainment , Platform ,67126,67126,1,2007-10-27,T,39382,Oct-07
1278,18, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,64672,8905738,128,2007-10-27,E,39382,May-05
1279,19, Nintendogs , DS , Nintendo , Simulation ,59972,15167524,132,2007-10-27,E,39382,Apr-05
1280,20, MySims , DS , Electronic Arts , Simulation ,56683,449476,6,2007-10-27,E,39382,Sep-07
1281,21, Mario Party 8 , Wii , Nintendo , Misc ,55543,2582340,22,2007-10-27,E,39382,May-07
1282,22, The Orange Box , X360 , Electronic Arts , Shooter ,55036,350100,3,2007-10-27,M,39382,Oct-07
1283,23, Clive Barker's Jericho , X360 , Codemasters , Shooter ,53835,53835,1,2007-10-27,M,39382,Oct-07
1284,24, FIFA Soccer 08 , PS3 , Electronic Arts , Sports ,53413,413622,5,2007-10-27,E,39382,Sep-07
1285,25, Star Wars Battlefront: Renegade Squadron , PSP , LucasArts , Shooter ,46418,176634,3,2007-10-27,T,39382,Oct-07
1286,26, PGR4 - Project Gotham Racing 4 , X360 , Microsoft Game Studios , Racing ,44370,272010,4,2007-10-27,E,39382,Sep-07
1287,27, New Super Mario Bros. , DS , Nintendo , Platform ,44364,11432769,76,2007-10-27,E,39382,May-06
1288,28, FIFA Soccer 08 , PSP , Electronic Arts , Sports ,43673,198905,5,2007-10-27,E,39382,Sep-07
1289,29, Sonic Rush Adventure , DS , Sega , Platform ,43151,208948,7,2007-10-27,E,39382,Sep-07
1290,30, FIFA Soccer 08 , X360 , Electronic Arts , Sports ,42807,398214,5,2007-10-27,E,39382,Sep-07
1291,1, Guitar Hero III: Legends of Rock , X360 , Activision , Misc ,659220,659220,1,2007-11-03,T,39389,Oct-07
1292,2, Wii Sports , Wii , Nintendo , Sports ,274712,12152379,50,2007-11-03,E,39389,Nov-06
1293,3, Guitar Hero III: Legends of Rock , Wii , Activision , Misc ,271279,271279,1,2007-11-03,T,39389,Oct-07
1294,4, Super Mario Galaxy , Wii , Nintendo , Platform ,250553,250553,1,2007-11-03,E,39389,Oct-07
1295,5, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,154509,1770303,19,2007-11-03,E,39389,Jun-07
1296,6, Forza Motorsport 2 , X360 , Microsoft Game Studios , Racing ,127192,1304396,24,2007-11-03,E,39389,May-07
1297,7, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,119579,6304235,97,2007-11-03,E,39389,Dec-05
1298,8, Halo 3 , X360 , Microsoft Game Studios , Shooter ,112268,5337398,6,2007-11-03,M,39389,Sep-07
1299,9, Wii Play , Wii , Nintendo , Misc ,109819,6064517,49,2007-11-03,E,39389,Nov-06
1300,10, Marvel: Ultimate Alliance , X360 , Activision , Role-Playing ,108905,701567,54,2007-11-03,T,39389,Oct-06
1301,11, Ace Combat 6: Fires of Liberation , X360 , Atari , Simulation ,107409,188533,2,2007-11-03,T,39389,Oct-07
1302,12, Guitar Hero III: Legends of Rock , PS3 , Activision , Misc ,106346,106346,1,2007-11-03,T,39389,Oct-07
1303,13, Pokemon Diamond/Pokemon Pearl , DS , Nintendo , Role-Playing ,95922,11403010,59,2007-11-03,T,39389,Sep-06
1304,14, Nintendogs , DS , Nintendo , Simulation ,88291,15255815,133,2007-11-03,E,39389,Apr-05
1305,15, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,83264,8989002,129,2007-11-03,E,39389,May-05
1306,16, TimeShift , X360 , Vivendi Games , Shooter ,78260,78260,1,2007-11-03,M,39389,Oct-07
1307,17, MotorStorm , PS3 , Sony Computer Entertainment , Racing ,73600,1642473,47,2007-11-03,T,39389,Dec-06
1308,18, Pro Evolution Soccer 2008 , PS3 , Konami Digital Entertainment , Sports ,70252,269304,2,2007-11-03,E,39389,Oct-07
1309,19, Pro Evolution Soccer 2008 , X360 , Konami Digital Entertainment , Sports ,67308,233918,2,2007-11-03,E,39389,Oct-07
1310,20, Naruto: Rise of a Ninja , X360 , Ubisoft , Action ,67015,67015,1,2007-11-03,T,39389,Oct-07
1311,21, Metroid Prime 3: Corruption , Wii , Nintendo , Shooter ,64062,608046,10,2007-11-03,T,39389,Aug-07
1312,22, Worldwide Soccer Manager 2008 , PC , Russel , Sports ,60406,412015,3,2007-11-03,E,39389,Oct-07
1313,23, Mario Party 8 , Wii , Nintendo , Misc ,58821,2641161,23,2007-11-03,E,39389,May-07
1314,24, High School Musical: Makin' the Cut! , DS , Disney Interactive Studios , Puzzle ,56195,358003,12,2007-11-03,E,39389,Aug-07
1315,25, Star Wars Battlefront: Renegade Squadron , PSP , LucasArts , Shooter ,55209,231843,4,2007-11-03,T,39389,Oct-07
1316,26, The Simpsons Game , X360 , Electronic Arts , Platform ,54366,54366,1,2007-11-03,T,39389,Oct-07
1317,27, Final Fantasy Tactics A2: Grimoire of the Rift , DS , Square Enix , Role-Playing ,52360,205748,2,2007-11-03,E10+,39389,Oct-07
1318,28, Manhunt 2 , Wii , Take-Two Interactive , Action ,51414,51414,1,2007-11-03,M,39389,Oct-07
1319,29, FIFA Soccer 08 , PS3 , Electronic Arts , Sports ,51200,464822,6,2007-11-03,E,39389,Sep-07
1320,30, Cooking Mama , DS , 505 Games , Simulation ,50918,1371723,85,2007-11-03,E,39389,Mar-06
1321,1, Call of Duty 4: Modern Warfare , X360 , Activision , Shooter ,999154,999154,1,2007-11-10,M,39396,Nov-07
1322,2, Call of Duty 4: Modern Warfare , PS3 , Activision , Shooter ,420703,420703,1,2007-11-10,M,39396,Nov-07
1323,3, Wii Sports , Wii , Nintendo , Sports ,266207,12418586,51,2007-11-10,E,39396,Nov-06
1324,4, Mario Party DS , DS , Nintendo , Misc ,245634,245634,1,2007-11-10,E,39396,Nov-07
1325,5, Dynasty Warriors 6 , PS3 , Tecmo Koei , Action ,186247,186247,0,2007-11-10,T,39396,Nov-07
1326,6, Guitar Hero III: Legends of Rock , X360 , Activision , Misc ,158332,817552,2,2007-11-10,T,39396,Oct-07
1327,7, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,148661,6452896,98,2007-11-10,E,39396,Dec-05
1328,8, Wii Play , Wii , Nintendo , Misc ,131573,6196090,50,2007-11-10,E,39396,Nov-06
1329,9, Forza Motorsport 2 , X360 , Microsoft Game Studios , Racing ,129037,1433433,25,2007-11-10,E,39396,May-07
1330,10, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,125125,1895428,20,2007-11-10,E,39396,Jun-07
1331,11, Marvel: Ultimate Alliance , X360 , Activision , Role-Playing ,119106,820673,55,2007-11-10,T,39396,Oct-06
1332,12, Guitar Hero III: Legends of Rock , Wii , Activision , Misc ,115445,386724,2,2007-11-10,T,39396,Oct-07
1333,13, Halo 3 , X360 , Microsoft Game Studios , Shooter ,106947,5444345,7,2007-11-10,M,39396,Sep-07
1334,14, Pokemon Diamond/Pokemon Pearl , DS , Nintendo , Role-Playing ,105716,11508726,60,2007-11-10,T,39396,Sep-06
1335,15, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,105478,9094480,130,2007-11-10,E,39396,May-05
1336,16, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,96348,96348,1,2007-11-10,E,39396,Nov-07
1337,17, Nintendogs , DS , Nintendo , Simulation ,95174,15350989,134,2007-11-10,E,39396,Apr-05
1338,18, Ratchet & Clank Future: Tools of Destruction , PS3 , Sony Computer Entertainment , Platform ,84765,182363,3,2007-11-10,T,39396,Oct-07
1339,19, Call of Duty 4: Modern Warfare , PC , Activision , Shooter ,75630,75630,1,2007-11-10,M,39396,Nov-07
1340,20, Super Mario Galaxy , Wii , Nintendo , Platform ,75420,325974,2,2007-11-10,E,39396,Oct-07
1341,21, MotorStorm , PS3 , Sony Computer Entertainment , Racing ,75143,1717616,48,2007-11-10,T,39396,Dec-06
1342,22, Cooking Mama , DS , 505 Games , Simulation ,66293,1438016,86,2007-11-10,E,39396,Mar-06
1343,23, Mario Party 8 , Wii , Nintendo , Misc ,63570,2704731,24,2007-11-10,E,39396,May-07
1344,24, New Super Mario Bros. , DS , Nintendo , Platform ,62220,11545642,78,2007-11-10,E,39396,May-06
1345,25, Star Wars Battlefront: Renegade Squadron , PSP , LucasArts , Shooter ,58317,290160,5,2007-11-10,T,39396,Oct-07
1346,26, High School Musical: Makin' the Cut! , DS , Disney Interactive Studios , Puzzle ,57990,415993,13,2007-11-10,E,39396,Aug-07
1347,27, MySims , DS , Electronic Arts , Simulation ,56060,554592,8,2007-11-10,E,39396,Sep-07
1348,28, Fire Emblem: Radiant Dawn , Wii , Nintendo , Strategy ,52554,214900,38,2007-11-10,E10+,39396,Feb-07
1349,29, Ratatouille , DS , THQ , Platform ,48188,347788,20,2007-11-10,E,39396,Jun-07
1350,30, WWE SmackDown vs Raw 2008 , X360 , THQ , Fighting ,44527,44527,1,2007-11-10,T,39396,Nov-07
1351,1, Super Mario Galaxy , Wii , Nintendo , Platform ,818055,1144029,3,2007-11-17,E,39403,Oct-07
1352,2, Assassin's Creed , X360 , Ubisoft , Adventure ,774533,774533,1,2007-11-17,M,39403,Nov-07
1353,3, Call of Duty 4: Modern Warfare , X360 , Activision , Shooter ,466641,1465795,2,2007-11-17,M,39403,Nov-07
1354,4, Assassin's Creed , PS3 , Ubisoft , Adventure ,446169,446169,1,2007-11-17,M,39403,Nov-07
1355,5, Wii Sports , Wii , Nintendo , Sports ,440336,12858922,52,2007-11-17,E,39403,Nov-06
1356,6, Call of Duty 4: Modern Warfare , PS3 , Activision , Shooter ,214203,634906,2,2007-11-17,M,39403,Nov-07
1357,7, Wii Play , Wii , Nintendo , Misc ,194897,6390987,51,2007-11-17,E,39403,Nov-06
1358,8, Resident Evil: The Umbrella Chronicles , Wii , Capcom , Shooter ,188453,188453,1,2007-11-17,M,39403,Nov-07
1359,9, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,166022,6618918,99,2007-11-17,E,39403,Dec-05
1360,10, WWE SmackDown vs Raw 2008 , X360 , THQ , Fighting ,155992,200519,2,2007-11-17,T,39403,Nov-07
1361,11, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,146815,9241295,131,2007-11-17,E,39403,May-05
1362,12, Forza Motorsport 2 , X360 , Microsoft Game Studios , Racing ,140430,1573863,26,2007-11-17,E,39403,May-07
1363,13, Marvel: Ultimate Alliance , X360 , Activision , Role-Playing ,130400,951073,56,2007-11-17,T,39403,Oct-06
1364,14, Pokemon Diamond/Pokemon Pearl , DS , Nintendo , Role-Playing ,118818,11627544,61,2007-11-17,T,39403,Sep-06
1365,15, Mario Party DS , DS , Nintendo , Misc ,115540,361174,2,2007-11-17,E,39403,Nov-07
1366,16, Halo 3 , X360 , Microsoft Game Studios , Shooter ,115446,5559791,8,2007-11-17,M,39403,Sep-07
1367,17, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,115277,2010705,21,2007-11-17,E,39403,Jun-07
1368,18, Nintendogs , DS , Nintendo , Simulation ,107936,15458925,135,2007-11-17,E,39403,Apr-05
1369,19, Need for Speed: ProStreet , X360 , Electronic Arts , Racing ,104348,104348,1,2007-11-17,E10+,39403,Nov-07
1370,20, Crysis , PC , Electronic Arts , Shooter ,86923,86923,1,2007-11-17,M,39403,Nov-07
1371,21, Guitar Hero III: Legends of Rock , X360 , Activision , Misc ,84053,901605,3,2007-11-17,T,39403,Oct-07
1372,22, WWE SmackDown vs Raw 2008 , PS3 , THQ , Fighting ,81697,119434,2,2007-11-17,T,39403,Nov-07
1373,23, Guitar Hero III: Legends of Rock , Wii , Activision , Misc ,80973,467697,3,2007-11-17,T,39403,Oct-07
1374,24, New Super Mario Bros. , DS , Nintendo , Platform ,79263,11624905,79,2007-11-17,E,39403,May-06
1375,25, Rayman Raving Rabbids 2 , Wii , Ubisoft , Misc ,78183,78183,1,2007-11-17,E10+,39403,Nov-07
1376,26, WWE SmackDown vs Raw 2008 , Wii , THQ , Fighting ,76552,94599,2,2007-11-17,T,39403,Nov-07
1377,27, Cooking Mama , DS , 505 Games , Simulation ,75922,1513938,87,2007-11-17,E,39403,Mar-06
1378,28, LEGO Star Wars: The Complete Saga , Wii , LucasArts , Action ,74985,115850,2,2007-11-17,E10+,39403,Nov-07
1379,29, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,73716,170064,2,2007-11-17,E,39403,Nov-07
1380,30, Mario Party 8 , Wii , Nintendo , Misc ,72922,2777653,25,2007-11-17,E,39403,May-07
1381,1, Wii Sports , Wii , Nintendo , Sports ,646404,13505326,53,2007-11-24,E,39410,Nov-06
1382,2, Dragon Quest IV: Chapters of the Chosen , DS , Square Enix , Role-Playing ,600433,600433,1,2007-11-24,E10+,39410,Nov-07
1383,3, Super Mario Galaxy , Wii , Nintendo , Platform ,541336,1685365,4,2007-11-24,E,39410,Oct-07
1384,4, Assassin's Creed , X360 , Ubisoft , Adventure ,441311,1215844,2,2007-11-24,M,39410,Nov-07
1385,5, Mass Effect , X360 , Microsoft Game Studios , Role-Playing ,371676,371676,1,2007-11-24,M,39410,Nov-07
1386,6, Call of Duty 4: Modern Warfare , X360 , Activision , Shooter ,345609,1811404,3,2007-11-24,M,39410,Nov-07
1387,7, Wii Play , Wii , Nintendo , Misc ,319015,6710002,52,2007-11-24,E,39410,Nov-06
1388,8, Mario Party DS , DS , Nintendo , Misc ,275732,636906,3,2007-11-24,E,39410,Nov-07
1389,9, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,267181,437245,3,2007-11-24,E,39410,Nov-07
1390,10, Assassin's Creed , PS3 , Ubisoft , Adventure ,252947,699116,2,2007-11-24,M,39410,Nov-07
1391,11, Nintendogs , DS , Nintendo , Simulation ,235167,15694092,136,2007-11-24,E,39410,Apr-05
1392,12, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,227325,6846243,100,2007-11-24,E,39410,Dec-05
1393,13, Forza Motorsport 2 , X360 , Microsoft Game Studios , Racing ,223452,1797315,27,2007-11-24,E,39410,May-07
1394,14, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,219831,9461126,132,2007-11-24,E,39410,May-05
1395,15, Marvel: Ultimate Alliance , X360 , Activision , Role-Playing ,214548,1165621,57,2007-11-24,T,39410,Oct-06
1396,16, Pro Evolution Soccer 2008 , PS3 , Konami Digital Entertainment , Sports ,189637,521266,5,2007-11-24,E,39410,Oct-07
1397,17, Pokemon Diamond/Pokemon Pearl , DS , Nintendo , Role-Playing ,188948,11816492,62,2007-11-24,T,39410,Sep-06
1398,18, Rock Band , X360 , Unknown , Misc ,188016, NA ,5,2007-11-24,T,39410,Oct-07
1399,19, Halo 3 , X360 , Microsoft Game Studios , Shooter ,171676,5731467,9,2007-11-24,M,39410,Sep-07
1400,20, Guitar Hero III: Legends of Rock , Wii , Activision , Misc ,171337,639034,4,2007-11-24,T,39410,Oct-07
1401,21, Need for Speed: ProStreet , PS3 , Electronic Arts , Racing ,161866,209811,2,2007-11-24,E10+,39410,Nov-07
1402,22, Need for Speed: ProStreet , X360 , Electronic Arts , Racing ,161414,265762,2,2007-11-24,E10+,39410,Nov-07
1403,23, Guitar Hero III: Legends of Rock , X360 , Activision , Misc ,151267,1052872,4,2007-11-24,T,39410,Oct-07
1404,24, New Super Mario Bros. , DS , Nintendo , Platform ,151028,11775933,80,2007-11-24,E,39410,May-06
1405,25, Call of Duty 4: Modern Warfare , PS3 , Activision , Shooter ,147132,782038,3,2007-11-24,M,39410,Nov-07
1406,26, The Legend of Zelda: Phantom Hourglass , DS , Nintendo , Adventure ,145464,2156169,22,2007-11-24,E,39410,Jun-07
1407,27, Link's Crossbow Training , Wii , Nintendo , Shooter ,131119,131119,1,2007-11-24,T,39410,Nov-07
1408,28, Mario Party 8 , Wii , Nintendo , Misc ,122867,2900520,26,2007-11-24,E,39410,May-07
1409,29, Star Wars Battlefront: Renegade Squadron , PSP , LucasArts , Shooter ,107286,463502,7,2007-11-24,T,39410,Oct-07
1410,30, Cooking Mama , DS , 505 Games , Simulation ,105272,1619210,88,2007-11-24,E,39410,Mar-06
1411,1, Wii Sports , Wii , Nintendo , Sports ,649125,14154451,54,2007-12-01,E,39417,Nov-06
1412,2, Super Mario Galaxy , Wii , Nintendo , Platform ,343885,2029251,5,2007-12-01,E,39417,Oct-07
1413,3, Assassin's Creed , X360 , Ubisoft , Adventure ,298678,1514522,3,2007-12-01,M,39417,Nov-07
1414,4, Professor Layton and the Diabolical Box , DS , Level 5 , Adventure ,298289,298289,1,2007-12-01,E10+,39417,Nov-07
1415,5, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,277537,714782,4,2007-12-01,E,39417,Nov-07
1416,6, Wii Play , Wii , Nintendo , Misc ,266639,6976641,53,2007-12-01,E,39417,Nov-06
1417,7, Mass Effect , X360 , Microsoft Game Studios , Role-Playing ,264335,636011,2,2007-12-01,M,39417,Nov-07
1418,8, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,263414,7109657,101,2007-12-01,E,39417,Dec-05
1419,9, Wii Fit , Wii , Nintendo , Sports ,252510,252510,1,2007-12-01,E,39417,Nov-07
1420,10, Call of Duty 4: Modern Warfare , X360 , Activision , Shooter ,251565,2062969,4,2007-12-01,M,39417,Nov-07
1421,11, Nintendogs , DS , Nintendo , Simulation ,251317,15945409,137,2007-12-01,E,39417,Apr-05
1422,12, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,218031,9679157,133,2007-12-01,E,39417,May-05
1423,13, Forza Motorsport 2 , X360 , Microsoft Game Studios , Racing ,214409,2011724,28,2007-12-01,E,39417,May-07
1424,14, Mario Party DS , DS , Nintendo , Misc ,205456,842362,4,2007-12-01,E,39417,Nov-07
