id,pos,name,platform,publisher,genre,week,total,time,date,esrb,dateint,whenint,when,whenyear
1,1, Wii Sports ( Wii ), Wii , Nintendo , Sports ,298953,2863968,7,2007-01-06,E,39088,39039,2006-11-18,2006
2,2, Dragon Quest Monsters: Joker ( DS ), DS , Square Enix , Role-Playing ,262871,889893,2,2007-01-06,E10+,39088,39074,2006-12-23,2006
3,3, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,218167,8419438,34,2007-01-06,E,39088,38850,2006-05-13,2006
4,4,Pokemon Diamond/Pokemon Pearl( DS ), DS , Nintendo , Role-Playing ,199443,4673135,16,2007-01-06,T,39088,38976,2006-09-16,2006
5,5, Nintendogs ( DS ), DS , Nintendo , Simulation ,158310,11516065,90,2007-01-06,E,39088,38458,2005-04-16,2005
6,6, Wii Play ( Wii ), Wii , Nintendo , Misc ,148336,895525,6,2007-01-06,E,39088,39046,2006-11-25,2006
7,7, Animal Crossing: Wild World ( DS ), DS , Nintendo , Simulation ,133085,6509461,59,2007-01-06,E,39088,38675,2005-11-19,2005
8,8, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,125549,6387083,86,2007-01-06,E,39088,38486,2005-05-14,2005
9,9, The Legend of Zelda: Twilight Princess ( Wii ), Wii , Nintendo , Adventure ,121455,1932392,7,2007-01-06,T,39088,39039,2006-11-18,2006
10,10, Kirby Squeak Squad ( DS ), DS , Nintendo , Platform ,114068,1087268,10,2007-01-06,E,39088,39018,2006-10-28,2006
11,11, Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS ( DS ), DS , Nintendo , Misc ,106873,1070427,11,2007-01-06,E,39088,39011,2006-10-21,2006
12,12, Mario Kart DS ( DS ), DS , Nintendo , Racing ,105805,5842705,60,2007-01-06,E,39088,38668,2005-11-12,2005
13,13, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,104595,3941981,54,2007-01-06,E,39088,38710,2005-12-24,2005
14,14, Gears of War ( X360 ), X360 , Microsoft Game Studios , Shooter ,99511,3072777,9,2007-01-06,M,39088,39025,2006-11-04,2006
15,15, Jump Ultimate Stars ( DS ), DS , Nintendo , Fighting ,65529,615453,7,2007-01-06,T,39088,39039,2006-11-18,2006
16,16, Metal Gear Solid: Portable Ops ( PSP ), PSP , Konami Digital Entertainment , Action ,63935,418868,5,2007-01-06,M,39088,39053,2006-12-02,2006
17,17, WarioWare: Smooth Moves ( Wii ), Wii , Nintendo , Puzzle ,62052,262758,6,2007-01-06,E10+,39088,39046,2006-11-25,2006
18,18, Mega Man Star Force Dragon / Leo / Pegasus ( DS ), DS , Capcom , Role-Playing ,58378,284684,4,2007-01-06,E,39088,39060,2006-12-09,2006
19,19, Dragon Ball Z: Budokai Tenkaichi 3 ( Wii ), Wii , Atari , Fighting ,55924,55924,38,2007-01-06,T,39088,38822,2006-04-15,2006
20,20, Big Brain Academy ( DS ), DS , Nintendo , Misc ,51513,2858636,80,2007-01-06,E,39088,38528,2005-06-25,2005
21,21, Oshare Majo Love and Berry: DS Collection ( DS ), DS , Sega , Misc ,50985,843357,7,2007-01-06,E,39088,39039,2006-11-18,2006
22,22, Resistance: Fall of Man ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,48767,475184,9,2007-01-06,M,39088,39025,2006-11-04,2006
23,23, Call of Duty 3 ( X360 ), X360 , Activision , Shooter ,47961,1318220,41,2007-01-06,T,39088,38801,2006-03-25,2006
24,24, Winning Eleven: Pro Evolution Soccer 2007 ( PSP ), PSP , Konami Digital Entertainment , Sports ,45715,474843,6,2007-01-06,E,39088,39046,2006-11-25,2006
25,25, English Training: Have Fun Improving Your Skills! ( DS ), DS , Nintendo , Misc ,44359,1814558,50,2007-01-06,E,39088,38738,2006-01-21,2006
26,26, Tom Clancy's Rainbow Six: Vegas ( X360 ), X360 , Ubisoft , Shooter ,44248,762318,7,2007-01-06,M,39088,39039,2006-11-18,2006
27,27, Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS ( DS ), DS , Rocket Company , Misc ,39572,375410,15,2007-01-06,E,39088,38983,2006-09-23,2006
28,28, Tamagotchi Connection: Corner Shop 2 ( DS ), DS , Namco Bandai Games , Simulation ,39426,805204,24,2007-01-06,E,39088,38920,2006-07-22,2006
29,29, Grand Theft Auto: Vice City Stories ( PSP ), PSP , Take-Two Interactive , Action ,39277,835346,10,2007-01-06,M,39088,39018,2006-10-28,2006
30,30, Kenkou Ouen Recipe 1000: DS Kondate Zenshuu ( DS ), DS , Nintendo , Misc ,37649,239230,5,2007-01-06,E,39088,39053,2006-12-02,2006
31,1, Lost Planet: Extreme Condition ( X360 ), X360 , Capcom , Shooter ,256935,307286,4,2007-01-13,T,39095,39067,2006-12-16,2006
32,2, Wii Sports ( Wii ), Wii , Nintendo , Sports ,222581,3086549,8,2007-01-13,E,39095,39039,2006-11-18,2006
33,3, Nintendogs ( DS ), DS , Nintendo , Simulation ,122209,11638274,91,2007-01-13,E,39095,38458,2005-04-16,2005
34,4, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,98159,8517597,35,2007-01-13,E,39095,38850,2006-05-13,2006
35,5, The Legend of Zelda: Twilight Princess ( Wii ), Wii , Nintendo , Adventure ,95638,2028030,8,2007-01-13,T,39095,39039,2006-11-18,2006
36,6, Gears of War ( X360 ), X360 , Microsoft Game Studios , Shooter ,79106,3151883,10,2007-01-13,M,39095,39025,2006-11-04,2006
37,7, Wii Play ( Wii ), Wii , Nintendo , Misc ,76812,972337,7,2007-01-13,E,39095,39046,2006-11-25,2006
38,8, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,70990,6458073,87,2007-01-13,E,39095,38486,2005-05-14,2005
39,9, Animal Crossing: Wild World ( DS ), DS , Nintendo , Simulation ,67202,6576663,60,2007-01-13,E,39095,38675,2005-11-19,2005
40,10, Dragon Quest Monsters: Joker ( DS ), DS , Square Enix , Role-Playing ,56399,946292,3,2007-01-13,E10+,39095,39074,2006-12-23,2006
41,11, WarioWare: Smooth Moves ( Wii ), Wii , Nintendo , Puzzle ,55344,318102,7,2007-01-13,E10+,39095,39046,2006-11-25,2006
42,12, Mario Kart DS ( DS ), DS , Nintendo , Racing ,50939,5893644,61,2007-01-13,E,39095,38668,2005-11-12,2005
43,13,Pokemon Diamond/Pokemon Pearl( DS ), DS , Nintendo , Role-Playing ,46945,4720080,17,2007-01-13,T,39095,38976,2006-09-16,2006
44,14, Grand Theft Auto: Vice City Stories ( PSP ), PSP , Take-Two Interactive , Action ,41865,877211,11,2007-01-13,M,39095,39018,2006-10-28,2006
45,15, Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS ( DS ), DS , Nintendo , Misc ,38762,1109189,12,2007-01-13,E,39095,39011,2006-10-21,2006
46,16, Resistance: Fall of Man ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,38470,513654,10,2007-01-13,M,39095,39025,2006-11-04,2006
47,17, Metal Gear Solid: Portable Ops ( PSP ), PSP , Konami Digital Entertainment , Action ,38165,457033,6,2007-01-13,M,39095,39053,2006-12-02,2006
48,18, Tom Clancy's Rainbow Six: Vegas ( X360 ), X360 , Ubisoft , Shooter ,36684,799002,8,2007-01-13,M,39095,39039,2006-11-18,2006
49,19, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,35376,3977357,55,2007-01-13,E,39095,38710,2005-12-24,2005
50,20, Big Brain Academy ( DS ), DS , Nintendo , Misc ,32803,2891439,81,2007-01-13,E,39095,38528,2005-06-25,2005
51,21, Kirby Squeak Squad ( DS ), DS , Nintendo , Platform ,31464,1118732,11,2007-01-13,E,39095,39018,2006-10-28,2006
52,22, The Sims 2: Pets ( DS ), DS , Electronic Arts , Simulation ,28475,707598,12,2007-01-13,T,39095,39011,2006-10-21,2006
53,23, Hannah Montana ( DS ), DS , Disney Interactive Studios , Action ,28052,604852,14,2007-01-13,E,39095,38997,2006-10-07,2006
54,24, Grand Theft Auto: Liberty City Stories ( PSP ), PSP , Capcom , Action ,27869,3752461,64,2007-01-13,M,39095,38647,2005-10-22,2005
55,25, English Training: Have Fun Improving Your Skills! ( DS ), DS , Nintendo , Misc ,27805,1842363,51,2007-01-13,E,39095,38738,2006-01-21,2006
56,26, Winning Eleven: Pro Evolution Soccer 2007 ( PSP ), PSP , Konami Digital Entertainment , Sports ,26468,501311,7,2007-01-13,E,39095,39046,2006-11-25,2006
57,27, Call of Duty 3 ( X360 ), X360 , Activision , Shooter ,25317,1343537,42,2007-01-13,T,39095,38801,2006-03-25,2006
58,28, Super Mario 64 DS ( DS ), DS , Nintendo , Platform ,22938,4503852,112,2007-01-13,E,39095,38311,2004-11-20,2004
59,29, Medal of Honor Heroes ( PSP ), PSP , Electronic Arts , Shooter ,22431,344124,13,2007-01-13,T,39095,39004,2006-10-14,2006
60,30, Sonic Rush ( DS ), DS , Sega , Platform ,21600,1175348,61,2007-01-13,E,39095,38668,2005-11-12,2005
61,1, World of Warcraft: The Burning Crusade ( PC ), PC , Activision , Role-Playing ,321165,321165,1,2007-01-20,T,39102,39095,2007-01-13,2007
62,2, Wii Sports ( Wii ), Wii , Nintendo , Sports ,221388,3307937,9,2007-01-20,E,39102,39039,2006-11-18,2006
63,3, WarioWare: Smooth Moves ( Wii ), Wii , Nintendo , Puzzle ,174655,492757,8,2007-01-20,E10+,39102,39046,2006-11-25,2006
64,4, Nintendogs ( DS ), DS , Nintendo , Simulation ,115654,11753928,92,2007-01-20,E,39102,38458,2005-04-16,2005
65,5, Gears of War ( X360 ), X360 , Microsoft Game Studios , Shooter ,103555,3255438,11,2007-01-20,M,39102,39025,2006-11-04,2006
66,6, Wario: Master of Disguise ( DS ), DS , Nintendo , Platform ,92209,92209,1,2007-01-20,E10+,39102,39095,2007-01-13,2007
67,7, Lost Planet: Extreme Condition ( X360 ), X360 , Capcom , Shooter ,87051,394337,5,2007-01-20,T,39102,39067,2006-12-16,2006
68,8, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,85651,8603248,36,2007-01-20,E,39102,38850,2006-05-13,2006
69,9, The Legend of Zelda: Twilight Princess ( Wii ), Wii , Nintendo , Adventure ,84287,2112317,9,2007-01-20,T,39102,39039,2006-11-18,2006
70,10, Wii Play ( Wii ), Wii , Nintendo , Misc ,68598,1040935,8,2007-01-20,E,39102,39046,2006-11-25,2006
71,11, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,63358,6521431,88,2007-01-20,E,39102,38486,2005-05-14,2005
72,12, Animal Crossing: Wild World ( DS ), DS , Nintendo , Simulation ,58482,6635145,61,2007-01-20,E,39102,38675,2005-11-19,2005
73,13, Mario Kart DS ( DS ), DS , Nintendo , Racing ,47587,5941232,62,2007-01-20,E,39102,38668,2005-11-12,2005
74,14, Grand Theft Auto: Vice City Stories ( PSP ), PSP , Take-Two Interactive , Action ,41044,918255,12,2007-01-20,M,39102,39018,2006-10-28,2006
75,15,Pokemon Diamond/Pokemon Pearl( DS ), DS , Nintendo , Role-Playing ,38507,4758587,18,2007-01-20,T,39102,38976,2006-09-16,2006
76,16, Resistance: Fall of Man ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,35739,549393,11,2007-01-20,M,39102,39025,2006-11-04,2006
77,17, Tom Clancy's Rainbow Six: Vegas ( X360 ), X360 , Ubisoft , Shooter ,34734,833736,9,2007-01-20,M,39102,39039,2006-11-18,2006
78,18, Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS ( DS ), DS , Nintendo , Misc ,34328,1143517,13,2007-01-20,E,39102,39011,2006-10-21,2006
79,19, Etrian Odyssey ( DS ), DS , Nintendo , Role-Playing ,33216,33216,1,2007-01-20,T,39102,39095,2007-01-13,2007
80,20, Metal Gear Solid: Portable Ops ( PSP ), PSP , Konami Digital Entertainment , Action ,32054,489087,7,2007-01-20,M,39102,39053,2006-12-02,2006
81,21, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,31875,4009232,56,2007-01-20,E,39102,38710,2005-12-24,2005
82,22, Big Brain Academy ( DS ), DS , Nintendo , Misc ,30008,2921447,82,2007-01-20,E,39102,38528,2005-06-25,2005
83,23, Excite Truck ( Wii ), Wii , Nintendo , Racing ,29335,178576,9,2007-01-20,E,39102,39039,2006-11-18,2006
84,24, Grand Theft Auto: Liberty City Stories ( PSP ), PSP , Capcom , Action ,26983,3779444,65,2007-01-20,M,39102,38647,2005-10-22,2005
85,25, The Sims 2: Pets ( DS ), DS , Electronic Arts , Simulation ,26340,733938,13,2007-01-20,T,39102,39011,2006-10-21,2006
86,26, Hannah Montana ( DS ), DS , Disney Interactive Studios , Action ,26092,630944,15,2007-01-20,E,39102,38997,2006-10-07,2006
87,27, English Training: Have Fun Improving Your Skills! ( DS ), DS , Nintendo , Misc ,24696,1867059,52,2007-01-20,E,39102,38738,2006-01-21,2006
88,28, Ochaken no Heya DS 2 ( DS ), DS , MTO , Simulation ,22206,22206,1,2007-01-20,E,39102,39095,2007-01-13,2007
89,29, Kirby Squeak Squad ( DS ), DS , Nintendo , Platform ,22117,1140849,12,2007-01-20,E,39102,39018,2006-10-28,2006
90,30, Medal of Honor Heroes ( PSP ), PSP , Electronic Arts , Shooter ,21588,365712,14,2007-01-20,T,39102,39004,2006-10-14,2006
91,1, Wii Sports ( Wii ), Wii , Nintendo , Sports ,228683,3536620,10,2007-01-27,E,39109,39039,2006-11-18,2006
92,2, WarioWare: Smooth Moves ( Wii ), Wii , Nintendo , Puzzle ,115257,608014,9,2007-01-27,E10+,39109,39046,2006-11-25,2006
93,3, Nintendogs ( DS ), DS , Nintendo , Simulation ,111878,11865806,93,2007-01-27,E,39109,38458,2005-04-16,2005
94,4, Dragon Quest Monsters: Joker ( DS ), DS , Square Enix , Role-Playing ,102278,1055852,5,2007-01-27,E10+,39109,39074,2006-12-23,2006
95,5, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,91146,8694394,37,2007-01-27,E,39109,38850,2006-05-13,2006
96,6, San Goku Shi Taisen DS ( DS ), DS , Sega , Strategy ,81858,81858,1,2007-01-27,T,39109,39102,2007-01-20,2007
97,7, The Legend of Zelda: Twilight Princess ( Wii ), Wii , Nintendo , Adventure ,77171,2189488,10,2007-01-27,T,39109,39039,2006-11-18,2006
98,8, Hotel Dusk: Room 215 ( DS ), DS , Nintendo , Adventure ,77071,77071,1,2007-01-27,T,39109,39102,2007-01-20,2007
99,9, Wii Play ( Wii ), Wii , Nintendo , Misc ,75252,1116187,9,2007-01-27,E,39109,39046,2006-11-25,2006
100,10, Picross DS ( DS ), DS , Nintendo , Puzzle ,72689,72689,1,2007-01-27,E,39109,39102,2007-01-20,2007
101,11, Gears of War ( X360 ), X360 , Microsoft Game Studios , Shooter ,70255,3325693,12,2007-01-27,M,39109,39025,2006-11-04,2006
102,12, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,64837,6586268,89,2007-01-27,E,39109,38486,2005-05-14,2005
103,13, Lost Planet: Extreme Condition ( X360 ), X360 , Capcom , Shooter ,62258,456595,6,2007-01-27,T,39109,39067,2006-12-16,2006
104,14, Animal Crossing: Wild World ( DS ), DS , Nintendo , Simulation ,60316,6695461,62,2007-01-27,E,39109,38675,2005-11-19,2005
105,15, Wario: Master of Disguise ( DS ), DS , Nintendo , Platform ,52108,144317,2,2007-01-27,E10+,39109,39095,2007-01-13,2007
106,16, Mario Kart DS ( DS ), DS , Nintendo , Racing ,50651,5991883,63,2007-01-27,E,39109,38668,2005-11-12,2005
107,17,Pokemon Diamond/Pokemon Pearl( DS ), DS , Nintendo , Role-Playing ,45669,4804256,19,2007-01-27,T,39109,38976,2006-09-16,2006
108,18, Grand Theft Auto: Vice City Stories ( PSP ), PSP , Take-Two Interactive , Action ,40253,958508,13,2007-01-27,M,39109,39018,2006-10-28,2006
109,19, World of Warcraft: The Burning Crusade ( PC ), PC , Activision , Role-Playing ,37898,359063,2,2007-01-27,T,39109,39095,2007-01-13,2007
110,20, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,35610,4044842,57,2007-01-27,E,39109,38710,2005-12-24,2005
111,21, Grand Theft Auto: Liberty City Stories ( PSP ), PSP , Capcom , Action ,34706,3814150,66,2007-01-27,M,39109,38647,2005-10-22,2005
112,22, Resistance: Fall of Man ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,33356,582749,12,2007-01-27,M,39109,39025,2006-11-04,2006
113,23, Tom Clancy's Rainbow Six: Vegas ( X360 ), X360 , Ubisoft , Shooter ,32653,866389,10,2007-01-27,M,39109,39039,2006-11-18,2006
114,24, Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS ( DS ), DS , Nintendo , Misc ,31565,1175082,14,2007-01-27,E,39109,39011,2006-10-21,2006
115,25, Big Brain Academy ( DS ), DS , Nintendo , Misc ,28621,2950068,83,2007-01-27,E,39109,38528,2005-06-25,2005
116,26, English Training: Have Fun Improving Your Skills! ( DS ), DS , Nintendo , Misc ,27189,1894248,53,2007-01-27,E,39109,38738,2006-01-21,2006
117,27, The Idolm@ster ( X360 ), X360 , Namco Bandai Games , Simulation ,25527,25527,1,2007-01-27,M,39109,39102,2007-01-20,2007
118,28, The Sims 2: Pets ( DS ), DS , Electronic Arts , Simulation ,25354,759292,14,2007-01-27,T,39109,39011,2006-10-21,2006
119,29, Hannah Montana ( DS ), DS , Disney Interactive Studios , Action ,24823,655767,16,2007-01-27,E,39109,38997,2006-10-07,2006
120,30, Metal Gear Solid: Portable Ops ( PSP ), PSP , Konami Digital Entertainment , Action ,24095,513182,8,2007-01-27,M,39109,39053,2006-12-02,2006
121,1, Wii Sports ( Wii ), Wii , Nintendo , Sports ,209060,3745680,11,2007-02-03,E,39116,39039,2006-11-18,2006
122,2, Nintendogs ( DS ), DS , Nintendo , Simulation ,127001,11992807,94,2007-02-03,E,39116,38458,2005-04-16,2005
123,3, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,93647,8788041,38,2007-02-03,E,39116,38850,2006-05-13,2006
124,4, WarioWare: Smooth Moves ( Wii ), Wii , Nintendo , Puzzle ,85080,693094,10,2007-02-03,E10+,39116,39046,2006-11-25,2006
125,5, Harvest Moon DS: Island of Happiness ( DS ), DS , Rising Star Games , Simulation ,76858,76858,1,2007-02-03,E,39116,39109,2007-01-27,2007
126,6, The Legend of Zelda: Twilight Princess ( Wii ), Wii , Nintendo , Adventure ,76720,2266208,11,2007-02-03,T,39116,39039,2006-11-18,2006
127,7, Gears of War ( X360 ), X360 , Microsoft Game Studios , Shooter ,69791,3395484,13,2007-02-03,M,39116,39025,2006-11-04,2006
128,8, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,60669,6646937,90,2007-02-03,E,39116,38486,2005-05-14,2005
129,9, Wii Play ( Wii ), Wii , Nintendo , Misc ,60118,1176305,10,2007-02-03,E,39116,39046,2006-11-25,2006
130,10, Dragon Quest Monsters: Joker ( DS ), DS , Square Enix , Role-Playing ,58399,1114251,6,2007-02-03,E10+,39116,39074,2006-12-23,2006
131,11, Animal Crossing: Wild World ( DS ), DS , Nintendo , Simulation ,57233,6752694,63,2007-02-03,E,39116,38675,2005-11-19,2005
132,12, Mario Kart DS ( DS ), DS , Nintendo , Racing ,52183,6044065,64,2007-02-03,E,39116,38668,2005-11-12,2005
133,13, Lost Planet: Extreme Condition ( X360 ), X360 , Capcom , Shooter ,51945,508540,7,2007-02-03,T,39116,39067,2006-12-16,2006
134,14, Battlestations: Midway ( X360 ), X360 , Eidos Interactive , Strategy ,38280,38280,1,2007-02-03,T,39116,39109,2007-01-27,2007
135,15, Hotel Dusk: Room 215 ( DS ), DS , Nintendo , Adventure ,36347,113418,2,2007-02-03,T,39116,39102,2007-01-20,2007
136,16, Grand Theft Auto: Vice City Stories ( PSP ), PSP , Take-Two Interactive , Action ,35839,994347,14,2007-02-03,M,39116,39018,2006-10-28,2006
137,17,Pokemon Diamond/Pokemon Pearl( DS ), DS , Nintendo , Role-Playing ,34795,4839051,20,2007-02-03,T,39116,38976,2006-09-16,2006
138,18, Tom Clancy's Rainbow Six: Vegas ( X360 ), X360 , Ubisoft , Shooter ,32902,899291,11,2007-02-03,M,39116,39039,2006-11-18,2006
139,19, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,32048,4076890,58,2007-02-03,E,39116,38710,2005-12-24,2005
140,20, Big Brain Academy ( DS ), DS , Nintendo , Misc ,31256,2981324,84,2007-02-03,E,39116,38528,2005-06-25,2005
141,21, Resistance: Fall of Man ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,30911,613660,13,2007-02-03,M,39116,39025,2006-11-04,2006
142,22, World of Warcraft: The Burning Crusade ( PC ), PC , Activision , Role-Playing ,27518,386581,3,2007-02-03,T,39116,39095,2007-01-13,2007
143,23, Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS ( DS ), DS , Nintendo , Misc ,26865,1201947,15,2007-02-03,E,39116,39011,2006-10-21,2006
144,24, Grand Theft Auto: Liberty City Stories ( PSP ), PSP , Capcom , Action ,26813,3840963,67,2007-02-03,M,39116,38647,2005-10-22,2005
145,25, Hannah Montana ( DS ), DS , Disney Interactive Studios , Action ,24652,680419,17,2007-02-03,E,39116,38997,2006-10-07,2006
146,26, The Sims 2: Pets ( DS ), DS , Electronic Arts , Simulation ,24592,783884,15,2007-02-03,T,39116,39011,2006-10-21,2006
147,27, Call of Duty 3 ( X360 ), X360 , Activision , Shooter ,23817,1404001,45,2007-02-03,T,39116,38801,2006-03-25,2006
148,28, Super Mario 64 DS ( DS ), DS , Nintendo , Platform ,22444,4569401,115,2007-02-03,E,39116,38311,2004-11-20,2004
149,29, Picross DS ( DS ), DS , Nintendo , Puzzle ,21960,94649,2,2007-02-03,E,39116,39102,2007-01-20,2007
150,30, Wario: Master of Disguise ( DS ), DS , Nintendo , Platform ,21595,165912,3,2007-02-03,E10+,39116,39095,2007-01-13,2007
151,1, Wii Sports ( Wii ), Wii , Nintendo , Sports ,192932,3938612,12,2007-02-10,E,39123,39039,2006-11-18,2006
152,2, Nintendogs ( DS ), DS , Nintendo , Simulation ,121858,12114665,95,2007-02-10,E,39123,38458,2005-04-16,2005
153,3, Diddy Kong Racing DS ( DS ), DS , Nintendo , Racing ,99385,99385,1,2007-02-10,E,39123,39116,2007-02-03,2007
154,4, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,95284,8883325,39,2007-02-10,E,39123,38850,2006-05-13,2006
155,5, The Legend of Zelda: Twilight Princess ( Wii ), Wii , Nintendo , Adventure ,67197,2333405,12,2007-02-10,T,39123,39039,2006-11-18,2006
156,6, WarioWare: Smooth Moves ( Wii ), Wii , Nintendo , Puzzle ,66539,759633,11,2007-02-10,E10+,39123,39046,2006-11-25,2006
157,7, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,65765,6712702,91,2007-02-10,E,39123,38486,2005-05-14,2005
158,8, Gears of War ( X360 ), X360 , Microsoft Game Studios , Shooter ,59951,3455435,14,2007-02-10,M,39123,39025,2006-11-04,2006
159,9, Animal Crossing: Wild World ( DS ), DS , Nintendo , Simulation ,56760,6809454,64,2007-02-10,E,39123,38675,2005-11-19,2005
160,10, Mario Kart DS ( DS ), DS , Nintendo , Racing ,55377,6099443,65,2007-02-10,E,39123,38668,2005-11-12,2005
161,11, Virtua Fighter 5 ( PS3 ), PS3 , Sega , Fighting ,51493,51493,1,2007-02-10,T,39123,39116,2007-02-03,2007
162,12, Wii Play ( Wii ), Wii , Nintendo , Misc ,51271,1227576,11,2007-02-10,E,39123,39046,2006-11-25,2006
163,13, Lost Planet: Extreme Condition ( X360 ), X360 , Capcom , Shooter ,46475,555015,8,2007-02-10,T,39123,39067,2006-12-16,2006
164,14,Pokemon Diamond/Pokemon Pearl( DS ), DS , Nintendo , Role-Playing ,35238,4874289,21,2007-02-10,T,39123,38976,2006-09-16,2006
165,15, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,34456,4111346,59,2007-02-10,E,39123,38710,2005-12-24,2005
166,16, Big Brain Academy ( DS ), DS , Nintendo , Misc ,32526,3013850,85,2007-02-10,E,39123,38528,2005-06-25,2005
167,17, Grand Theft Auto: Vice City Stories ( PSP ), PSP , Take-Two Interactive , Action ,31375,1025722,15,2007-02-10,M,39123,39018,2006-10-28,2006
168,18, Tom Clancy's Rainbow Six: Vegas ( X360 ), X360 , Ubisoft , Shooter ,30656,929947,12,2007-02-10,M,39123,39039,2006-11-18,2006
169,19, Grand Theft Auto: Liberty City Stories ( PSP ), PSP , Capcom , Action ,29480,3870443,68,2007-02-10,M,39123,38647,2005-10-22,2005
170,20, Harvest Moon DS: Island of Happiness ( DS ), DS , Rising Star Games , Simulation ,29206,106064,2,2007-02-10,E,39123,39109,2007-01-27,2007
171,21, Luminous Arc ( DS ), DS , Rising Star Games , Role-Playing ,28825,28825,1,2007-02-10,T,39123,39116,2007-02-03,2007
172,22, Resistance: Fall of Man ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,27106,640766,14,2007-02-10,M,39123,39025,2006-11-04,2006
173,23, Medal of Honor Heroes ( PSP ), PSP , Electronic Arts , Shooter ,26788,433808,17,2007-02-10,T,39123,39004,2006-10-14,2006
174,24, Wario: Master of Disguise ( DS ), DS , Nintendo , Platform ,26537,192449,4,2007-02-10,E10+,39123,39095,2007-01-13,2007
175,25, Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS ( DS ), DS , Nintendo , Misc ,23166,1225113,16,2007-02-10,E,39123,39011,2006-10-21,2006
176,26, Picross DS ( DS ), DS , Nintendo , Puzzle ,23145,117794,3,2007-02-10,E,39123,39102,2007-01-20,2007
177,27, The Sims 2: Pets ( DS ), DS , Electronic Arts , Simulation ,22729,806613,16,2007-02-10,T,39123,39011,2006-10-21,2006
178,28, English Training: Have Fun Improving Your Skills! ( DS ), DS , Nintendo , Misc ,22407,1937596,55,2007-02-10,E,39123,38738,2006-01-21,2006
179,29, Kirby Squeak Squad ( DS ), DS , Nintendo , Platform ,22341,1201722,15,2007-02-10,E,39123,39018,2006-10-28,2006
180,30, Super Mario 64 DS ( DS ), DS , Nintendo , Platform ,21739,4591140,116,2007-02-10,E,39123,38311,2004-11-20,2004
181,1, Wii Play ( Wii ), Wii , Nintendo , Misc ,228634,1456210,12,2007-02-17,E,39130,39046,2006-11-25,2006
182,2, Wii Sports ( Wii ), Wii , Nintendo , Sports ,192805,4131417,13,2007-02-17,E,39130,39039,2006-11-18,2006
183,3, Professor Layton and the Curious Village ( DS ), DS , Nintendo , Adventure ,130122,130122,1,2007-02-17,E,39130,39123,2007-02-10,2007
184,4, Nintendogs ( DS ), DS , Nintendo , Simulation ,119285,12233950,96,2007-02-17,E,39130,38458,2005-04-16,2005
185,5, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,99079,8982404,40,2007-02-17,E,39130,38850,2006-05-13,2006
186,6, Tales of Destiny 2 ( PSP ), PSP , Namco Bandai Games , Role-Playing ,74608,74608,1,2007-02-17,T,39130,39123,2007-02-10,2007
187,7, Diddy Kong Racing DS ( DS ), DS , Nintendo , Racing ,69374,168759,2,2007-02-17,E,39130,39116,2007-02-03,2007
