Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,DateInt
26, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,35511,3504324,11,2012-01-14,T,40922 
27, UFC Personal Trainer: The Ultimate Fitness System , X360 , THQ , Sports ,34603,350621,29,2012-01-14,E,40922 
28, The Legend of Zelda: Skyward Sword , Wii , Nintendo , Action ,33129,2946912,9,2012-01-14,E10+,40922 
29, The Elder Scrolls V: Skyrim , PC , Bethesda Softworks , Role-Playing ,31860,1827547,10,2012-01-14,M,40922 
30, Assassin's Creed: Revelations , PS3 , Ubisoft , Action ,31694,2896296,9,2012-01-14,M,40922 
1, Just Dance 3 , Wii , Ubisoft , Misc ,138325,7711299,16,2012-01-21,E,40929 
2, Mario Kart 7 , 3DS , Nintendo , Racing ,114923,4443460,8,2012-01-21,E,40929 
3, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,99324,15226740,64,2012-01-21,E,40929 
4, Super Mario 3D Land , 3DS , Nintendo , Platform ,97657,5015691,12,2012-01-21,E,40929 
5, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,92658,11896280,11,2012-01-21,M,40929 
6, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,85688,10299549,11,2012-01-21,M,40929 
7, Zumba Fitness , Wii , Majesco Entertainment , Sports ,85652,4457581,62,2012-01-21,E,40929 
8, The Elder Scrolls V: Skyrim , X360 , Bethesda Softworks , Role-Playing ,75611,5121807,11,2012-01-21,M,40929 
9, The Elder Scrolls V: Skyrim , PS3 , Bethesda Softworks , Role-Playing ,61044,3131061,11,2012-01-21,M,40929 
10, Battlefield 3 , PS3 , Electronic Arts , Shooter ,53980,4602999,13,2012-01-21,M,40929 
11, Star Wars: The Old Republic , PC , Electronic Arts , Role-Playing ,53080,1950177,5,2012-01-21,T,40929 
12, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,49622,808649,10,2012-01-21,T,40929 
13, FIFA Soccer 12 , PS3 , Electronic Arts , Sports ,49441,5037929,17,2012-01-21,E,40929 
14, NBA 2K12 , X360 , Take-Two Interactive , Sports ,46519,1492745,16,2012-01-21,E,40929 
15, Kinect Sports: Season Two , X360 , Microsoft Game Studios , Sports ,42616,1692449,13,2012-01-21,E,40929 
16, NBA 2K12 , PS3 , Take-Two Interactive , Sports ,39959,1267466,16,2012-01-21,E,40929 
17, Mario Kart Wii , Wii , Nintendo , Racing ,39942,31243613,198,2012-01-21,E,40929 
18, Battlefield 3 , X360 , Electronic Arts , Shooter ,39114,5216507,13,2012-01-21,M,40929 
19, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,36336,24541166,114,2012-01-21,E,40929 
20, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,36028,7429782,61,2012-01-21,E,40929 
21, Your Shape: Fitness Evolved 2012 , X360 , Ubisoft , Sports ,34678,378796,11,2012-01-21,E,40929 
22, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,33020,3537344,12,2012-01-21,T,40929 
23, Monster Hunter 3G , 3DS , Capcom , Role-Playing ,32578,1163663,7,2012-01-21,T,40929 
24, UFC Personal Trainer: The Ultimate Fitness System , X360 , THQ , Sports ,31389,382010,30,2012-01-21,E,40929 
25, Rhythm Thief & the Emperor's Treasure , 3DS , Sega , Misc ,30815,30815,1,2012-01-21,E10+,40929 
26, Mario & Sonic at the London 2012 Olympic Games , Wii , Sega , Sports ,30567,2289122,10,2012-01-21,E,40929 
27, Saints Row: The Third , X360 , THQ , Action ,30288,1835621,10,2012-01-21,M,40929 
28, Kinect Sports , X360 , Microsoft Game Studios , Sports ,29868,3890238,64,2012-01-21,E10+,40929 
29, Assassin's Creed: Revelations , PS3 , Ubisoft , Action ,29489,2925785,10,2012-01-21,M,40929 
30, The Elder Scrolls V: Skyrim , PC , Bethesda Softworks , Role-Playing ,29364,1856911,11,2012-01-21,M,40929 
1, Resident Evil: Revelations , 3DS , Capcom , Action ,208906,208906,1,2012-01-28,M,40936 
2, Armored Core V , PS3 , From Software , Simulation ,164981,164981,1,2012-01-28,T,40936 
3, Just Dance 3 , Wii , Ubisoft , Misc ,135451,7846750,17,2012-01-28,E,40936 
4, Mario Kart 7 , 3DS , Nintendo , Racing ,101930,4545390,9,2012-01-28,E,40936 
5, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,94907,11991187,12,2012-01-28,M,40936 
6, Zumba Fitness , Wii , Majesco Entertainment , Sports ,90027,4547608,63,2012-01-28,E,40936 
7, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,87476,10387025,12,2012-01-28,M,40936 
8, Super Mario 3D Land , 3DS , Nintendo , Platform ,84505,5100196,13,2012-01-28,E,40936 
9, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,81760,15308500,65,2012-01-28,E,40936 
10, The Elder Scrolls V: Skyrim , X360 , Bethesda Softworks , Role-Playing ,76833,5198640,12,2012-01-28,M,40936 
11, The Elder Scrolls V: Skyrim , PS3 , Bethesda Softworks , Role-Playing ,57711,3188772,12,2012-01-28,M,40936 
12, Tales of Innocence R , PSV , Namco Bandai Games , Role-Playing ,54820,54820,1,2012-01-28,T,40936 
13, NBA 2K12 , X360 , Take-Two Interactive , Sports ,54773,1547518,17,2012-01-28,E,40936 
14, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,52653,861302,11,2012-01-28,T,40936 
15, FIFA Soccer 12 , PS3 , Electronic Arts , Sports ,51147,5089076,18,2012-01-28,E,40936 
16, Battlefield 3 , PS3 , Electronic Arts , Shooter ,51055,4654054,14,2012-01-28,M,40936 
17, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,44294,7474076,62,2012-01-28,E,40936 
18, Star Wars: The Old Republic , PC , Electronic Arts , Role-Playing ,44013,1994190,6,2012-01-28,T,40936 
19, Battlefield 3 , X360 , Electronic Arts , Shooter ,42644,5259151,14,2012-01-28,M,40936 
20, Mario Kart Wii , Wii , Nintendo , Racing ,39409,31283022,199,2012-01-28,E,40936 
21, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,38920,24580086,115,2012-01-28,E,40936 
22, NBA 2K12 , PS3 , Take-Two Interactive , Sports ,38894,1306360,17,2012-01-28,E,40936 
23, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,38521,3575865,13,2012-01-28,T,40936 
24, Assassin's Creed: Revelations , PS3 , Ubisoft , Action ,38480,2964265,11,2012-01-28,M,40936 
25, Skylanders: Spyro's Adventure , Wii , Activision , Action ,35254,1214069,16,2012-01-28,E10+,40936 
26, Assassin's Creed: Revelations , X360 , Ubisoft , Action ,32687,3072007,11,2012-01-28,M,40936 
27, FIFA Soccer 12 , X360 , Electronic Arts , Sports ,30969,3256484,18,2012-01-28,E,40936 
28, Kinect Sports: Season Two , X360 , Microsoft Game Studios , Sports ,30186,1722635,14,2012-01-28,E,40936 
29, Wii Party , Wii , Nintendo , Misc ,29751,7127392,82,2012-01-28,E,40936 
30, Mario & Sonic at the London 2012 Olympic Games , Wii , Sega , Sports ,28365,2317487,11,2012-01-28,E,40936 
1, Final Fantasy XIII-2 , PS3 , Square Enix , Role-Playing ,552408,1336887,8,2012-02-04,T,40943 
2, Final Fantasy XIII-2 , X360 , Square Enix , Role-Playing ,232542,244706,8,2012-02-04,T,40943 
3, SoulCalibur V , PS3 , Namco Bandai Games , Fighting ,209052,209052,1,2012-02-04,T,40943 
4, SoulCalibur V , X360 , Namco Bandai Games , Fighting ,172651,172651,1,2012-02-04,T,40943 
5, Just Dance 3 , Wii , Ubisoft , Misc ,109507,7956257,18,2012-02-04,E,40943 
6, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,97623,10484648,13,2012-02-04,M,40943 
7, Mario Kart 7 , 3DS , Nintendo , Racing ,91101,4636491,10,2012-02-04,E,40943 
8, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,89701,12080888,13,2012-02-04,M,40943 
9, Metal Gear Solid HD Collection , PS3 , Konami Digital Entertainment , Simulation ,88877,381835,13,2012-02-04,M,40943 
10, Zumba Fitness , Wii , Majesco Entertainment , Sports ,81864,4629472,64,2012-02-04,E,40943 
11, Super Mario 3D Land , 3DS , Nintendo , Platform ,74604,5174800,14,2012-02-04,E,40943 
12, The Elder Scrolls V: Skyrim , X360 , Bethesda Softworks , Role-Playing ,68740,5267380,13,2012-02-04,M,40943 
13, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,62790,15371290,66,2012-02-04,E,40943 
14, Resident Evil: Revelations , 3DS , Capcom , Action ,60570,269476,2,2012-02-04,M,40943 
15, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,59622,7533698,63,2012-02-04,E,40943 
16, Metal Gear Solid HD Collection , X360 , Konami Digital Entertainment , Simulation ,58029,303134,13,2012-02-04,M,40943 
17, Battlefield 3 , PS3 , Electronic Arts , Shooter ,57091,4711145,15,2012-02-04,M,40943 
18, The Elder Scrolls V: Skyrim , PS3 , Bethesda Softworks , Role-Playing ,55844,3244616,13,2012-02-04,M,40943 
19, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,53956,915258,12,2012-02-04,T,40943 
20, Mario Kart Wii , Wii , Nintendo , Racing ,53387,31336409,200,2012-02-04,E,40943 
21, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,51101,24631187,116,2012-02-04,E,40943 
22, FIFA Soccer 12 , PS3 , Electronic Arts , Sports ,50511,5139587,19,2012-02-04,E,40943 
23, Assassin's Creed: Revelations , X360 , Ubisoft , Action ,47750,3119757,12,2012-02-04,M,40943 
24, Battlefield 3 , X360 , Electronic Arts , Shooter ,46843,5305994,15,2012-02-04,M,40943 
25, Assassin's Creed: Revelations , PS3 , Ubisoft , Action ,46813,3011078,12,2012-02-04,M,40943 
26, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,45040,3620905,14,2012-02-04,T,40943 
27, NBA 2K12 , X360 , Take-Two Interactive , Sports ,43076,1590594,18,2012-02-04,E,40943 
28, NBA 2K12 , PS3 , Take-Two Interactive , Sports ,40599,1346959,18,2012-02-04,E,40943 
29, Wii Sports , Wii , Nintendo , Sports ,35836,78406311,272,2012-02-04,E,40943 
30, PhotoKano , PSP , Kadokawa Shoten , Adventure ,33185,33185,1,2012-02-04,E,40943 
1, Kingdoms of Amalur: Reckoning , X360 , Electronic Arts , Role-Playing ,290603,290603,1,2012-02-11,M,40950 
2, Kingdoms of Amalur: Reckoning , PS3 , Electronic Arts , Role-Playing ,186610,186610,1,2012-02-11,M,40950 
3, Final Fantasy XIII-2 , PS3 , Square Enix , Role-Playing ,150888,1487775,9,2012-02-11,T,40950 
4, Resident Evil: Revelations , 3DS , Capcom , Action ,128545,398021,3,2012-02-11,M,40950 
5, The Darkness II , X360 , Take-Two Interactive , Shooter ,110160,110160,1,2012-02-11,M,40950 
6, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,97675,10582323,14,2012-02-11,M,40950 
7, Just Dance 3 , Wii , Ubisoft , Misc ,87744,8044001,19,2012-02-11,E,40950 
8, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,83546,12164434,14,2012-02-11,M,40950 
9, Mario Kart 7 , 3DS , Nintendo , Racing ,79032,4715523,11,2012-02-11,E,40950 
10, Kingdoms of Amalur: Reckoning , PC , Electronic Arts , Role-Playing ,72864,72864,1,2012-02-11,M,40950 
11, The Darkness II , PS3 , Take-Two Interactive , Shooter ,69962,69962,1,2012-02-11,M,40950 
12, Zumba Fitness , Wii , Majesco Entertainment , Sports ,67679,4697151,65,2012-02-11,E,40950 
13, Suikoden: Tsumugareshi Hyakunen no Toki , PSP , Konami Digital Entertainment , Role-Playing ,63642,63642,1,2012-02-11,E10+,40950 
14, Super Mario 3D Land , 3DS , Nintendo , Platform ,61024,5235824,15,2012-02-11,E,40950 
15, Final Fantasy XIII-2 , X360 , Square Enix , Role-Playing ,55700,300406,9,2012-02-11,T,40950 
16, The Elder Scrolls V: Skyrim , X360 , Bethesda Softworks , Role-Playing ,55591,5322971,14,2012-02-11,M,40950 
17, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,51837,15423127,67,2012-02-11,E,40950 
18, SoulCalibur V , PS3 , Namco Bandai Games , Fighting ,51192,260244,2,2012-02-11,T,40950 
19, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,46439,961697,13,2012-02-11,T,40950 
20, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,45547,24676734,117,2012-02-11,E,40950 
21, The Elder Scrolls V: Skyrim , PS3 , Bethesda Softworks , Role-Playing ,44537,3289153,14,2012-02-11,M,40950 
22, Mario Kart Wii , Wii , Nintendo , Racing ,43948,31380357,201,2012-02-11,E,40950 
23, Metal Gear Solid HD Collection , PS3 , Konami Digital Entertainment , Simulation ,41886,423721,14,2012-02-11,M,40950 
24, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,41782,3662687,15,2012-02-11,T,40950 
25, SoulCalibur V , X360 , Namco Bandai Games , Fighting ,41698,214349,2,2012-02-11,T,40950 
26, NBA 2K12 , X360 , Take-Two Interactive , Sports ,41658,1632252,19,2012-02-11,E,40950 
27, Battlefield 3 , PS3 , Electronic Arts , Shooter ,41283,4752428,16,2012-02-11,M,40950 
28, FIFA Soccer 12 , PS3 , Electronic Arts , Sports ,41252,5180839,20,2012-02-11,E,40950 
29, Gravity Daze , PSV , Sony Computer Entertainment , Action ,38347,38347,1,2012-02-11,T,40950 
30, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,38321,7572019,64,2012-02-11,E,40950 
1, Twisted Metal , PS3 , Sony Computer Entertainment , Action ,261082,261082,1,2012-02-18,T,40957 
2, UFC Undisputed 3 , X360 , THQ , Fighting ,246949,246949,1,2012-02-18,T,40957 
3, UFC Undisputed 3 , PS3 , THQ , Fighting ,228346,228346,1,2012-02-18,T,40957 
4, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,107435,10689758,15,2012-02-18,M,40957 
5, New Love Plus , 3DS , Konami Digital Entertainment , Simulation ,104853,104853,1,2012-02-18,E,40957 
6, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,100086,12264520,15,2012-02-18,M,40957 
7, Kingdoms of Amalur: Reckoning , X360 , Electronic Arts , Role-Playing ,92255,382858,2,2012-02-18,M,40957 
8, Just Dance 3 , Wii , Ubisoft , Misc ,79535,8123536,20,2012-02-18,E,40957 
9, Final Fantasy XIII-2 , PS3 , Square Enix , Role-Playing ,78569,1566344,10,2012-02-18,T,40957 
10, Binary Domain , PS3 , Sega , Action ,75400,75400,1,2012-02-18,M,40957 
11, Mario Kart 7 , 3DS , Nintendo , Racing ,73707,4789230,12,2012-02-18,E,40957 
12, Theatrhythm: Final Fantasy , 3DS , Square Enix , Misc ,67885,67885,1,2012-02-18,E10+,40957 
13, Tales of the Abyss , 3DS , Namco Bandai Games , Role-Playing ,66418,246901,34,2012-02-18,T,40957 
14, Zumba Fitness , Wii , Majesco Entertainment , Sports ,61951,4759102,66,2012-02-18,E,40957 
15, Kingdoms of Amalur: Reckoning , PS3 , Electronic Arts , Role-Playing ,59965,246575,2,2012-02-18,M,40957 
16, Super Mario 3D Land , 3DS , Nintendo , Platform ,59075,5294899,16,2012-02-18,E,40957 
17, The Elder Scrolls V: Skyrim , X360 , Bethesda Softworks , Role-Playing ,58026,5380997,15,2012-02-18,M,40957 
18, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,57082,15480209,68,2012-02-18,E,40957 
19, Mario & Sonic at the London 2012 Olympic Games , 3DS , Sega , Sports ,54582,74493,2,2012-02-18,E,40957 
20, Battlefield 3 , PS3 , Electronic Arts , Shooter ,53347,4805775,17,2012-02-18,M,40957 
21, Battlefield 3 , X360 , Electronic Arts , Shooter ,48949,5390873,17,2012-02-18,M,40957 
22, NBA 2K12 , X360 , Take-Two Interactive , Sports ,48840,1681092,20,2012-02-18,E,40957 
23, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,48597,24725331,118,2012-02-18,E,40957 
24, Little Deviants , PSV , Sony Computer Entertainment , Platform ,47833,47833,1,2012-02-18,E10+,40957 
25, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,46471,3709158,16,2012-02-18,T,40957 
26, Mario Kart Wii , Wii , Nintendo , Racing ,45412,31425769,202,2012-02-18,E,40957 
27, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,45287,1006984,14,2012-02-18,T,40957 
28, The Elder Scrolls V: Skyrim , PS3 , Bethesda Softworks , Role-Playing ,43429,3332582,15,2012-02-18,M,40957 
29, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,41389,7613408,65,2012-02-18,E,40957 
30, FIFA Soccer 12 , PS3 , Electronic Arts , Sports ,38932,5219771,21,2012-02-18,E,40957 
1, Uncharted: Golden Abyss , PSV , Sony Computer Entertainment , Action ,182456,310097,11,2012-02-25,T,40964 
2, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,103894,12368414,16,2012-02-25,M,40964 
3, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,103161,10792919,16,2012-02-25,M,40964 
4, Just Dance 3 , Wii , Ubisoft , Misc ,93705,8217241,21,2012-02-25,E,40964 
5, UFC Undisputed 3 , X360 , THQ , Fighting ,88320,335269,2,2012-02-25,T,40964 
6, Tales of the Heroes: Twin Brave , PSP , Namco Bandai Games , Role-Playing ,87764,87764,1,2012-02-25,T,40964 
7, Harvest Moon: The Land of Origin , 3DS , Marvelous Entertainment , Simulation ,83270,83270,1,2012-02-25,E,40964 
8, Asura's Wrath , PS3 , Capcom , Action ,81871,81871,1,2012-02-25,T,40964 
9, UFC Undisputed 3 , PS3 , THQ , Fighting ,74571,302917,2,2012-02-25,T,40964 
10, Twisted Metal , PS3 , Sony Computer Entertainment , Action ,72516,333598,2,2012-02-25,T,40964 
11, Mario Kart 7 , 3DS , Nintendo , Racing ,69673,4858903,13,2012-02-25,E,40964 
12, FIFA Soccer , PSV , Electronic Arts , Sports ,65834,65834,2,2012-02-25,E,40964 
13, Naruto Shippuden: Ultimate Ninja STORM Generations , PS3 , Namco Bandai Games , Fighting ,65488,65488,1,2012-02-25,T,40964 
14, Super Mario 3D Land , 3DS , Nintendo , Platform ,62109,5357008,17,2012-02-25,E,40964 
15, Zumba Fitness , Wii , Majesco Entertainment , Sports ,60494,4819596,67,2012-02-25,E,40964 
16, Battlefield 3 , PS3 , Electronic Arts , Shooter ,59161,4864936,18,2012-02-25,M,40964 
17, Battlefield 3 , X360 , Electronic Arts , Shooter ,58521,5449394,18,2012-02-25,M,40964 
18, I Don't Have Many Friends Portable , PSP , Namco Bandai Games , Adventure ,57191,57191,1,2012-02-25,E10+,40964 
19, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,56299,15536508,69,2012-02-25,E,40964 
20, NBA 2K12 , X360 , Take-Two Interactive , Sports ,55991,1737083,21,2012-02-25,E,40964 
21, The Elder Scrolls V: Skyrim , X360 , Bethesda Softworks , Role-Playing ,55913,5436910,16,2012-02-25,M,40964 
22, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,55669,3764827,17,2012-02-25,T,40964 
23, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,52899,1059883,15,2012-02-25,T,40964 
24, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,50596,24775927,119,2012-02-25,E,40964 
25, Final Fantasy XIII-2 , PS3 , Square Enix , Role-Playing ,49850,1616194,11,2012-02-25,T,40964 
26, Rayman Origins , PSV , Ubisoft , Platform ,48122,56542,2,2012-02-25,E10+,40964 
27, Mario & Sonic at the London 2012 Olympic Games , 3DS , Sega , Sports ,44393,118886,3,2012-02-25,E,40964 
28, Wipeout 2048 , PSV , Sony Computer Entertainment , Racing ,42932,48398,2,2012-02-25,E10+,40964 
29, Syndicate , X360 , Electronic Arts , Shooter ,42283,42283,1,2012-02-25,K-A,40964 
30, Mario Kart Wii , Wii , Nintendo , Racing ,42272,31468041,203,2012-02-25,E,40964 
1, One Piece Pirate Musou , PS3 , Namco Bandai Games , Action ,664313,664313,1,2012-03-03,T,40971 
2, SSX , PS3 , Electronic Arts , Sports ,207941,207941,1,2012-03-03,E,40971 
3, SSX , X360 , Electronic Arts , Sports ,189740,189740,1,2012-03-03,E,40971 
4, Mario & Sonic at the London 2012 Olympic Games , 3DS , Sega , Sports ,78440,197326,4,2012-03-03,E,40971 
5, Just Dance 3 , Wii , Ubisoft , Misc ,71205,8288446,22,2012-03-03,E,40971 
6, Mario Kart 7 , 3DS , Nintendo , Racing ,68548,4927451,14,2012-03-03,E,40971 
7, Uncharted: Golden Abyss , PSV , Sony Computer Entertainment , Action ,61547,371644,12,2012-03-03,T,40971 
8, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,58152,10851071,17,2012-03-03,M,40971 
9, NBA 2K12 , X360 , Take-Two Interactive , Sports ,58100,1795183,22,2012-03-03,E,40971 
10, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,57818,12426232,17,2012-03-03,M,40971 
11, Super Mario 3D Land , 3DS , Nintendo , Platform ,55599,5412607,18,2012-03-03,E,40971 
12, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,55132,3819959,18,2012-03-03,T,40971 
13, Shin Megami Tensei: Devil Survivor 2 , DS , Atlus , Role-Playing ,55014,173939,32,2012-03-03,T,40971 
14, Zumba Fitness , Wii , Majesco Entertainment , Sports ,53358,4872954,68,2012-03-03,E,40971 
15, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,52395,1112278,16,2012-03-03,T,40971 
