Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,DateInt
1, Mario Kart 7 , 3DS , Nintendo , Racing ,293743,4181837,6,2012-01-07,E,40915 
2, Just Dance 3 , Wii , Ubisoft , Misc ,242190,7406601,14,2012-01-07,E,40915 
3, Super Mario 3D Land , 3DS , Nintendo , Platform ,238249,4791905,10,2012-01-07,E,40915 
4, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,224543,15002955,62,2012-01-07,E,40915 
5, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,168925,11696919,9,2012-01-07,M,40915 
6, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,159997,10115619,9,2012-01-07,M,40915 
7, Zumba Fitness , Wii , Majesco Entertainment , Sports ,117073,4273366,60,2012-01-07,E,40915 
8, Star Wars: The Old Republic , PC , Electronic Arts , Role-Playing ,106497,1836171,3,2012-01-07,T,40915 
9, The Elder Scrolls V: Skyrim , X360 , Bethesda Softworks , Role-Playing ,104114,4967419,9,2012-01-07,M,40915 
10, Monster Hunter 3G , 3DS , Capcom , Role-Playing ,99138,1085812,5,2012-01-07,T,40915 
11, Mario Kart Wii , Wii , Nintendo , Racing ,96319,31156299,196,2012-01-07,E,40915 
12, FIFA Soccer 12 , PS3 , Electronic Arts , Sports ,94201,4936512,15,2012-01-07,E,40915 
13, The Elder Scrolls V: Skyrim , PS3 , Bethesda Softworks , Role-Playing ,91081,2998343,9,2012-01-07,M,40915 
14, Battlefield 3 , X360 , Electronic Arts , Shooter ,90858,5134208,11,2012-01-07,M,40915 
15, Mario & Sonic at the London 2012 Olympic Games , Wii , Sega , Sports ,83821,2220686,8,2012-01-07,E,40915 
16, Battlefield 3 , PS3 , Electronic Arts , Shooter ,81746,4492442,11,2012-01-07,M,40915 
17, Kinect Sports: Season Two , X360 , Microsoft Game Studios , Sports ,80192,1600667,11,2012-01-07,E,40915 
18, NBA 2K12 , X360 , Take-Two Interactive , Sports ,77604,1393739,14,2012-01-07,E,40915 
19, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,76971,24461236,112,2012-01-07,E,40915 
20, Assassin's Creed: Revelations , PS3 , Ubisoft , Action ,72834,2864602,8,2012-01-07,M,40915 
21, Assassin's Creed: Revelations , X360 , Ubisoft , Action ,69493,2997360,8,2012-01-07,M,40915 
22, NBA 2K12 , PS3 , Take-Two Interactive , Sports ,68646,1169204,14,2012-01-07,E,40915 
23, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,66060,696527,8,2012-01-07,T,40915 
24, Wii Party , Wii , Nintendo , Misc ,63246,7040884,79,2012-01-07,E,40915 
25, Inazuma Eleven GO , 3DS , Level 5 , Role-Playing ,62876,346714,4,2012-01-07,E10+,40915 
26, FIFA Soccer 12 , X360 , Electronic Arts , Sports ,61600,3166204,15,2012-01-07,E,40915 
27, Wii Sports Resort , Wii , Nintendo , Sports ,60687,29178276,133,2012-01-07,E,40915 
28, The Legend of Zelda: Skyward Sword , Wii , Nintendo , Action ,58942,2913783,8,2012-01-07,E10+,40915 
29, Uncharted 3: Drake's Deception , PS3 , Sony Computer Entertainment , Action ,57353,3468813,10,2012-01-07,T,40915 
30, Dance Central 2 , X360 , Microsoft Game Studios , Misc ,54284,1323849,12,2012-01-07,T,40915 
1, Just Dance 3 , Wii , Ubisoft , Misc ,166373,7572974,15,2012-01-14,E,40922 
2, Mario Kart 7 , 3DS , Nintendo , Racing ,146700,4328537,7,2012-01-14,E,40922 
3, Super Mario 3D Land , 3DS , Nintendo , Platform ,126129,4918034,11,2012-01-14,E,40922 
4, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,124461,15127416,63,2012-01-14,E,40922 
5, Call of Duty: Modern Warfare 3 , X360 , Activision , Shooter ,106703,11803622,10,2012-01-14,M,40922 
6, Zumba Fitness , Wii , Majesco Entertainment , Sports ,98563,4371929,61,2012-01-14,E,40922 
7, Call of Duty: Modern Warfare 3 , PS3 , Activision , Shooter ,98242,10213861,10,2012-01-14,M,40922 
8, Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God , PSP , Namco Bandai Games , Strategy ,80529,80529,1,2012-01-14,T,40922 
9, The Elder Scrolls V: Skyrim , X360 , Bethesda Softworks , Role-Playing ,78777,5046196,10,2012-01-14,M,40922 
10, The Elder Scrolls V: Skyrim , PS3 , Bethesda Softworks , Role-Playing ,71674,3070017,10,2012-01-14,M,40922 
11, Zumba Fitness 2 , Wii , Majesco Entertainment , Sports ,62500,759027,9,2012-01-14,T,40922 
12, Star Wars: The Old Republic , PC , Electronic Arts , Role-Playing ,60926,1897097,4,2012-01-14,T,40922 
13, NBA 2K12 , PS3 , Take-Two Interactive , Sports ,58303,1227507,15,2012-01-14,E,40922 
14, Battlefield 3 , PS3 , Electronic Arts , Shooter ,56577,4549019,12,2012-01-14,M,40922 
15, NBA 2K12 , X360 , Take-Two Interactive , Sports ,52487,1446226,15,2012-01-14,E,40922 
16, FIFA Soccer 12 , PS3 , Electronic Arts , Sports ,51976,4988488,16,2012-01-14,E,40922 
17, Your Shape: Fitness Evolved 2012 , X360 , Ubisoft , Sports ,49569,344118,10,2012-01-14,E,40922 
18, Kinect Sports: Season Two , X360 , Microsoft Game Studios , Sports ,49166,1649833,12,2012-01-14,E,40922 
19, Mario Kart Wii , Wii , Nintendo , Racing ,47372,31203671,197,2012-01-14,E,40922 
20, Monster Hunter 3G , 3DS , Capcom , Role-Playing ,45273,1131085,6,2012-01-14,T,40922 
21, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,43594,24504830,113,2012-01-14,E,40922 
22, Battlefield 3 , X360 , Electronic Arts , Shooter ,43185,5177393,12,2012-01-14,M,40922 
23, Mario & Sonic at the London 2012 Olympic Games , Wii , Sega , Sports ,37869,2258555,9,2012-01-14,E,40922 
24, Wii Fit Plus , Wii , Nintendo , Sports ,37635,20140497,120,2012-01-14,E,40922 
25, Just Dance 3 , X360 , Ubisoft , Misc ,35698,1431453,15,2012-01-14,E,40922 
