Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB
2, Wii Sports , Wii , Nintendo , Sports ,322138,73381584,216,2011-01-14,E
3, Just Dance 2 , Wii , Ubisoft , Misc ,265928,5026909,13,2011-01-14,E10+
4, Donkey Kong Country Returns , Wii , Nintendo , Platform ,214463,3810783,7,2011-01-14,E
5, Call of Duty: Black Ops , X360 , Activision , Shooter ,208474,10530841,9,2011-01-14,M
6, Wii Fit Plus , Wii , Nintendo , Sports ,199713,17234400,67,2011-01-14,E
7, Wii Sports Resort , Wii , Nintendo , Sports ,187111,23975315,81,2011-01-14,E
8, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,184025,20989752,60,2011-01-14,E
9, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,183602,5568391,7,2011-01-14,E
10, Call of Duty: Black Ops , PS3 , Activision , Shooter ,171462,8753132,9,2011-01-14,M
11, Mario Kart Wii , Wii , Nintendo , Racing ,153666,25962876,144,2011-01-14,E
12, Monster Hunter Freedom 3 , PSP , Capcom , Role-Playing ,139810,3902158,6,2011-01-14,T
13, Wii Party , Wii , Nintendo , Misc ,137624,4788950,27,2011-01-14,E
14, Kinect Sports , X360 , Microsoft Game Studios , Sports ,125416,2322390,10,2011-01-14,E10+
15, New Super Mario Bros. , DS , Nintendo , Platform ,95862,25669009,243,2011-01-14,E
16, Mario Kart DS , DS , Nintendo , Racing ,87686,20296550,269,2011-01-14,E
17, FIFA Soccer 11 , PS3 , Electronic Arts , Sports ,78128,3932541,15,2011-01-14,E
18, Dance Central , X360 , MTV Games , Misc ,76580,1433931,10,2011-01-14,T
19, Need for Speed: Hot Pursuit , PS3 , Electronic Arts , Racing ,75451,1565892,8,2011-01-14,E10+
20, World of Warcraft , PC , Activision , Role-Playing ,69733,4703273,309,2011-01-14,T
21, Art Academy , DS , Nintendo , Misc ,66838,1409521,30,2011-01-14,E
22, Sports Champions , PS3 , Sony Computer Entertainment , Sports ,62622,2033547,17,2011-01-14,E10+
23, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,61623,1752795,7,2011-01-14,E10+
24, Assassin's Creed: Brotherhood , X360 , Ubisoft , Action ,60065,1925610,8,2011-01-14,M
25, Forza Motorsport 3 , X360 , Microsoft Game Studios , Racing ,59396,4403639,64,2011-01-14,E
26, Just Dance , Wii , Ubisoft , Misc ,56975,5192412,60,2011-01-14,E10+
27, Fallout: New Vegas , X360 , Bethesda Softworks , Role-Playing ,56537,2235268,12,2011-01-14,M
28, Halo: Reach , X360 , Microsoft Game Studios , Shooter ,56440,7115471,17,2011-01-14,M
29, FIFA Soccer 11 , X360 , Electronic Arts , Sports ,53661,2621181,15,2011-01-14,E
30, Disney Epic Mickey , Wii , Disney Interactive Studios , Platform ,53139,1623452,7,2011-01-14,E
1, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,257470,7643892,11,2011-01-21,E
2, Just Dance 2 , Wii , Ubisoft , Misc ,197870,5224779,14,2011-01-21,E10+
3, Wii Sports , Wii , Nintendo , Sports ,194555,73576139,217,2011-01-21,E
4, Wii Fit Plus , Wii , Nintendo , Sports ,153657,17388057,68,2011-01-21,E
5, Call of Duty: Black Ops , X360 , Activision , Shooter ,149584,10680425,10,2011-01-21,M
6, DC Universe Online , PS3 , Sony Online Entertainment , Role-Playing ,149220,149220,1,2011-01-21,T
7, Wii Sports Resort , Wii , Nintendo , Sports ,139772,24115087,82,2011-01-21,E
8, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,129057,5697448,8,2011-01-21,E
9, Call of Duty: Black Ops , PS3 , Activision , Shooter ,118212,8871344,10,2011-01-21,M
10, Donkey Kong Country Returns , Wii , Nintendo , Platform ,114802,3925585,8,2011-01-21,E
11, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,101735,21091487,61,2011-01-21,E
12, Kingdom Hearts Re:coded , DS , Square Enix , Role-Playing ,97718,310857,15,2011-01-21,E10+
13, Mario Kart Wii , Wii , Nintendo , Racing ,84825,26047701,145,2011-01-21,E
14, Kinect Sports , X360 , Microsoft Game Studios , Sports ,71602,2393992,11,2011-01-21,E10+
15, A.C.E.: Another Century's Episode Portable , PSP , Namco Bandai Games , Simulation ,70938,70938,1,2011-01-21,T
16, Monster Hunter Freedom 3 , PSP , Capcom , Role-Playing ,66569,3968727,7,2011-01-21,T
17, Wii Party , Wii , Nintendo , Misc ,63551,4852501,28,2011-01-21,E
18, Dance Central , X360 , MTV Games , Misc ,60208,1494139,11,2011-01-21,T
19, New Super Mario Bros. , DS , Nintendo , Platform ,57353,25726362,244,2011-01-21,E
20, Mario Kart DS , DS , Nintendo , Racing ,53437,20349987,270,2011-01-21,E
21, Assassin's Creed: Brotherhood , X360 , Ubisoft , Action ,53388,1978998,9,2011-01-21,M
22, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,47511,1800306,8,2011-01-21,E10+
23, DC Universe Online , PC , Sony Online Entertainment , Role-Playing ,44901,44901,1,2011-01-21,T
24, FIFA Soccer 11 , PS3 , Electronic Arts , Sports ,43247,3975788,16,2011-01-21,E
25, Sports Champions , PS3 , Sony Computer Entertainment , Sports ,43054,2076601,18,2011-01-21,E10+
26, Just Dance , Wii , Ubisoft , Misc ,43039,5235451,61,2011-01-21,E10+
27, Need for Speed: Hot Pursuit , PS3 , Electronic Arts , Racing ,38065,1603957,9,2011-01-21,E10+
28, Fallout: New Vegas , X360 , Bethesda Softworks , Role-Playing ,37994,2273262,13,2011-01-21,M
29, Art Academy , DS , Nintendo , Misc ,37449,1446970,31,2011-01-21,E
30, Halo: Reach , X360 , Microsoft Game Studios , Shooter ,37307,7152778,18,2011-01-21,M
1, LittleBigPlanet 2 , PS3 , Sony Computer Entertainment , Platform ,455276,455276,1,2011-01-28,E
2, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,235543,7879435,12,2011-01-28,E
3, Just Dance 2 , Wii , Ubisoft , Misc ,189485,5414264,15,2011-01-28,E10+
4, Wii Sports , Wii , Nintendo , Sports ,160193,73736332,218,2011-01-28,E
5, Call of Duty: Black Ops , X360 , Activision , Shooter ,147956,10828381,11,2011-01-28,M
6, Wii Sports Resort , Wii , Nintendo , Sports ,145829,24260916,83,2011-01-28,E
7, Call of Duty: Black Ops , PS3 , Activision , Shooter ,116460,8987804,11,2011-01-28,M
8, Wii Fit Plus , Wii , Nintendo , Sports ,112815,17500872,69,2011-01-28,E
9, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,98166,5795614,9,2011-01-28,E
10, Mass Effect 2 , PS3 , Electronic Arts , Role-Playing ,88858,88858,1,2011-01-28,M
11, Donkey Kong Country Returns , Wii , Nintendo , Platform ,87516,4013101,9,2011-01-28,E
12, Kingdom Hearts: Birth by Sleep - Final Mix , PSP , Square Enix , Role-Playing ,77979,77979,1,2011-01-28,E10+
13, DC Universe Online , PS3 , Sony Online Entertainment , Role-Playing ,66759,215979,2,2011-01-28,T
14, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,62906,21154393,62,2011-01-28,E
15, Mario Kart Wii , Wii , Nintendo , Racing ,60884,26108585,146,2011-01-28,E
16, Kinect Sports , X360 , Microsoft Game Studios , Sports ,54968,2448960,12,2011-01-28,E10+
17, Wii Party , Wii , Nintendo , Misc ,53506,4906007,29,2011-01-28,E
18, Kingdom Hearts Re:coded , DS , Square Enix , Role-Playing ,50479,361336,16,2011-01-28,E10+
19, Dance Central , X360 , MTV Games , Misc ,48751,1542890,12,2011-01-28,T
20, Monster Hunter Freedom 3 , PSP , Capcom , Role-Playing ,47457,4016184,8,2011-01-28,T
21, New Super Mario Bros. , DS , Nintendo , Platform ,43922,25770284,245,2011-01-28,E
22, Assassin's Creed: Brotherhood , X360 , Ubisoft , Action ,42763,2021761,10,2011-01-28,M
23, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,38326,1838632,9,2011-01-28,E10+
24, Just Dance , Wii , Ubisoft , Misc ,38036,5273487,62,2011-01-28,E10+
25, Sports Champions , PS3 , Sony Computer Entertainment , Sports ,37566,2114167,19,2011-01-28,E10+
26, Mario Kart DS , DS , Nintendo , Racing ,34815,20384802,271,2011-01-28,E
27, FIFA Soccer 11 , PS3 , Electronic Arts , Sports ,33048,4008836,17,2011-01-28,E
28, NBA 2K11 , PS3 , Take-Two Interactive , Sports ,32163,1033226,16,2011-01-28,E
29, Halo: Reach , X360 , Microsoft Game Studios , Shooter ,31728,7184506,19,2011-01-28,M
30, Disney Epic Mickey , Wii , Disney Interactive Studios , Platform ,31245,1686906,9,2011-01-28,E
1, Dead Space 2 , X360 , Electronic Arts , Shooter ,349056,349056,1,2011-02-04,M
2, Dead Space 2 , PS3 , Electronic Arts , Shooter ,295335,295335,1,2011-02-04,M
3, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,212663,8092098,13,2011-02-04,E
4, LittleBigPlanet 2 , PS3 , Sony Computer Entertainment , Platform ,211784,667060,2,2011-02-04,E
5, Just Dance 2 , Wii , Ubisoft , Misc ,164146,5578410,16,2011-02-04,E10+
6, Wii Sports , Wii , Nintendo , Sports ,156721,73893053,219,2011-02-04,E
7, Wii Sports Resort , Wii , Nintendo , Sports ,137792,24398708,84,2011-02-04,E
8, Call of Duty: Black Ops , X360 , Activision , Shooter ,124931,10953312,12,2011-02-04,M
9, The Last Story , Wii , Nintendo , Role-Playing ,112021,112021,1,2011-02-04,T
10, Call of Duty: Black Ops , PS3 , Activision , Shooter ,105396,9093200,12,2011-02-04,M
11, Valkyria Chronicles III: Unrecorded Chronicles , PSP , Sega , Role-Playing ,104242,104242,1,2011-02-04,T
12, Two Worlds II , X360 , SouthPeak Games , Role-Playing ,96234,96234,1,2011-02-04,M
13, Wii Fit Plus , Wii , Nintendo , Sports ,93602,17594474,70,2011-02-04,E
14, Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable , PSP , Banpresto , Adventure ,89749,89749,1,2011-02-04,T
15, Donkey Kong Country Returns , Wii , Nintendo , Platform ,79868,4092969,10,2011-02-04,E
16, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,79629,5875243,10,2011-02-04,E
17, Two Worlds II , PS3 , SouthPeak Games , Role-Playing ,65146,65146,1,2011-02-04,M
18, Kenka Banchou 5: Otoko no Housoku , PSP , Spike , Action ,62053,62053,1,2011-02-04,E10+
19, Mario Kart Wii , Wii , Nintendo , Racing ,57008,26165593,147,2011-02-04,E
20, Kinect Sports , X360 , Microsoft Game Studios , Sports ,55799,2504759,13,2011-02-04,E10+
21, Toaru Majutsu no Index , PSP , Kadokawa Shoten , Adventure ,55350,55350,1,2011-02-04,M
22, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,54158,21208551,63,2011-02-04,E
23, Wii Party , Wii , Nintendo , Misc ,51562,4957569,30,2011-02-04,E
24, Mass Effect 2 , PS3 , Electronic Arts , Role-Playing ,51069,139927,2,2011-02-04,M
25, Dance Central , X360 , MTV Games , Misc ,50020,1592910,13,2011-02-04,T
26, New Super Mario Bros. , DS , Nintendo , Platform ,45482,25815766,246,2011-02-04,E
27, Dragon Age: Origins , PS3 , Electronic Arts , Role-Playing ,44409,1152758,65,2011-02-04,M
28, DC Universe Online , PS3 , Sony Online Entertainment , Role-Playing ,42736,258715,3,2011-02-04,T
29, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,37713,1876345,10,2011-02-04,E10+
30, Monster Hunter Freedom 3 , PSP , Capcom , Role-Playing ,36822,4053006,9,2011-02-04,T
1, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,188150,8280248,14,2011-02-11,E
2, Wii Sports , Wii , Nintendo , Sports ,156534,74049587,220,2011-02-11,E
3, Dead Space 2 , X360 , Electronic Arts , Shooter ,146474,495530,2,2011-02-11,M
4, Just Dance 2 , Wii , Ubisoft , Misc ,141841,5720251,17,2011-02-11,E10+
5, Ace Attorney Investigations 2 , DS , Capcom , Adventure ,135027,135027,1,2011-02-11,T
6, Dead Space 2 , PS3 , Electronic Arts , Shooter ,124010,419345,2,2011-02-11,M
7, Wii Sports Resort , Wii , Nintendo , Sports ,117443,24516151,85,2011-02-11,E
8, LittleBigPlanet 2 , PS3 , Sony Computer Entertainment , Platform ,116211,783271,3,2011-02-11,E
9, Call of Duty: Black Ops , X360 , Activision , Shooter ,111348,11064660,13,2011-02-11,M
10, Call of Duty: Black Ops , PS3 , Activision , Shooter ,95742,9188942,13,2011-02-11,M
11, Wii Fit Plus , Wii , Nintendo , Sports ,72536,17667010,71,2011-02-11,E
12, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,68194,5943437,11,2011-02-11,E
13, Donkey Kong Country Returns , Wii , Nintendo , Platform ,62273,4155242,11,2011-02-11,E
14, Macross Triangle Frontier , PSP , Namco Bandai Games , Action ,57498,57498,1,2011-02-11,E10+
15, Kinect Sports , X360 , Microsoft Game Studios , Sports ,49129,2553888,14,2011-02-11,E10+
16, Wii Party , Wii , Nintendo , Misc ,48915,5006484,31,2011-02-11,E
17, Dance Central , X360 , MTV Games , Misc ,47718,1640628,14,2011-02-11,T
18, Mario Kart Wii , Wii , Nintendo , Racing ,47104,26212697,148,2011-02-11,E
19, Mario vs. Donkey Kong: Mini-Land Mayhem! , DS , Nintendo , Puzzle ,47047,1211908,12,2011-02-11,E
20, New Super Mario Bros. , DS , Nintendo , Platform ,45191,25860957,247,2011-02-11,E
21, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,43444,21251995,64,2011-02-11,E
22, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,40495,1916840,11,2011-02-11,E10+
23, White Knight Chronicles: Origins , PSP , Sony Computer Entertainment , Role-Playing ,39301,39301,1,2011-02-11,T
24, Just Dance , Wii , Ubisoft , Misc ,38794,5348281,64,2011-02-11,E10+
25, Halo: Reach , X360 , Microsoft Game Studios , Shooter ,38628,7256028,21,2011-02-11,M
26, FIFA Soccer 11 , PS3 , Electronic Arts , Sports ,37091,4077351,19,2011-02-11,E
27, Mass Effect 2 , PS3 , Electronic Arts , Role-Playing ,35627,175554,3,2011-02-11,M
28, NBA 2K11 , PS3 , Take-Two Interactive , Sports ,35001,1100154,18,2011-02-11,E
29, Grand Theft Auto IV , PS3 , Take-Two Interactive , Action ,34283,7855319,145,2011-02-11,M
30, Art Academy , DS , Nintendo , Misc ,33320,1544826,34,2011-02-11,E
1, Tales of the World: Radiant Mythology 3 , PSP , Namco Bandai Games , Role-Playing ,216050,216050,1,2011-02-18,T
2, Samurai Warriors 3Z , PS3 , Tecmo Koei , Action ,212796,212796,1,2011-02-18,T
3, Test Drive Unlimited 2 , X360 , Atari , Racing ,188803,188803,1,2011-02-18,T
4, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,161761,8442009,15,2011-02-18,E
5, Wii Sports , Wii , Nintendo , Sports ,153385,74202972,221,2011-02-18,E
6, Just Dance 2 , Wii , Ubisoft , Misc ,127148,5847399,18,2011-02-18,E10+
7, Wii Sports Resort , Wii , Nintendo , Sports ,108274,24624425,86,2011-02-18,E
8, Test Drive Unlimited 2 , PS3 , Atari , Racing ,107966,107966,1,2011-02-18,T
9, LittleBigPlanet 2 , PS3 , Sony Computer Entertainment , Platform ,97407,880678,4,2011-02-18,E
10, Call of Duty: Black Ops , X360 , Activision , Shooter ,96228,11160888,14,2011-02-18,M
11, Monster Hunter Freedom 3 , PSP , Capcom , Role-Playing ,96119,4177910,11,2011-02-18,T
12, Mario Sports Mix , Wii , Nintendo , Sports ,94694,690621,12,2011-02-18,E
13, Call of Duty: Black Ops , PS3 , Activision , Shooter ,86510,9275452,14,2011-02-18,M
14, Dead Space 2 , X360 , Electronic Arts , Shooter ,79432,574962,3,2011-02-18,M
15, Wii Fit Plus , Wii , Nintendo , Sports ,71587,17738597,72,2011-02-18,E
16, Dead Space 2 , PS3 , Electronic Arts , Shooter ,66920,486265,3,2011-02-18,M
17, Mario vs. Donkey Kong: Mini-Land Mayhem! , DS , Nintendo , Puzzle ,59243,1271151,13,2011-02-18,E
18, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,57283,6000720,12,2011-02-18,E
19, Donkey Kong Country Returns , Wii , Nintendo , Platform ,52093,4207335,12,2011-02-18,E
20, Mario Kart Wii , Wii , Nintendo , Racing ,46602,26259299,149,2011-02-18,E
21, Grand Theft Auto IV , PS3 , Take-Two Interactive , Action ,46274,7901593,146,2011-02-18,M
22, New Super Mario Bros. , DS , Nintendo , Platform ,44196,25905153,248,2011-02-18,E
23, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,44112,21296107,65,2011-02-18,E
24, Wii Party , Wii , Nintendo , Misc ,42072,5048556,32,2011-02-18,E
25, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,41716,1958556,12,2011-02-18,E10+
26, Just Dance Kids , Wii , Ubisoft , Misc ,38605,492172,14,2011-02-18,E
27, Red Dead Redemption: Undead Nightmare , PS3 , Take-Two Interactive , Action ,37775,523786,12,2011-02-18,M
28, Halo: Reach , X360 , Microsoft Game Studios , Shooter ,37271,7293299,22,2011-02-18,M
29, NBA 2K11 , PS3 , Take-Two Interactive , Sports ,36229,1136383,19,2011-02-18,E
30, Kinect Sports , X360 , Microsoft Game Studios , Sports ,36112,2590000,15,2011-02-18,E10+
1, Marvel vs. Capcom 3: Fate of Two Worlds , PS3 , Capcom , Fighting ,362016,362016,1,2011-02-25,T
2, Marvel vs. Capcom 3: Fate of Two Worlds , X360 , Capcom , Fighting ,283303,283303,1,2011-02-25,T
3, Wii Sports , Wii , Nintendo , Sports ,163318,74366290,222,2011-02-25,E
4, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,156059,8598068,16,2011-02-25,E
5, Just Dance 2 , Wii , Ubisoft , Misc ,144523,5991922,19,2011-02-25,E10+
6, Catherine , PS3 , Atlus , Adventure ,138988,138988,1,2011-02-25,M
7, Call of Duty: Black Ops , X360 , Activision , Shooter ,130919,11291807,15,2011-02-25,M
8, Call of Duty: Black Ops , PS3 , Activision , Shooter ,129466,9404918,15,2011-02-25,M
9, Wii Sports Resort , Wii , Nintendo , Sports ,125736,24750161,87,2011-02-25,E
10, Dead Space 2 , X360 , Electronic Arts , Shooter ,91283,666245,4,2011-02-25,M
11, Dead Space 2 , PS3 , Electronic Arts , Shooter ,85555,571820,4,2011-02-25,M
12, Mario Sports Mix , Wii , Nintendo , Sports ,78917,769538,13,2011-02-25,E
13, Wii Fit Plus , Wii , Nintendo , Sports ,76277,17814874,73,2011-02-25,E
14, LittleBigPlanet 2 , PS3 , Sony Computer Entertainment , Platform ,67729,948407,5,2011-02-25,E
15, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,66830,6067550,13,2011-02-25,E
16, Test Drive Unlimited 2 , X360 , Atari , Racing ,66736,255539,2,2011-02-25,T
17, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,60699,2019255,13,2011-02-25,E10+
18, Mario Kart Wii , Wii , Nintendo , Racing ,56443,26315742,150,2011-02-25,E
19, Mario vs. Donkey Kong: Mini-Land Mayhem! , DS , Nintendo , Puzzle ,53808,1324959,14,2011-02-25,E
20, Samurai Warriors 3Z , PS3 , Tecmo Koei , Action ,53498,266294,2,2011-02-25,T
21, New Super Mario Bros. , DS , Nintendo , Platform ,53466,25958619,249,2011-02-25,E
22, Donkey Kong Country Returns , Wii , Nintendo , Platform ,53199,4260534,13,2011-02-25,E
23, Grand Theft Auto IV , PS3 , Take-Two Interactive , Action ,52630,7954223,147,2011-02-25,M
24, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,52270,21348377,66,2011-02-25,E
25, Just Dance Kids , Wii , Ubisoft , Misc ,48498,540670,15,2011-02-25,E
26, Wii Party , Wii , Nintendo , Misc ,46680,5095236,33,2011-02-25,E
27, Test Drive Unlimited 2 , PS3 , Atari , Racing ,46624,154590,2,2011-02-25,T
28, Dragon Quest VI: Realms of Revelation , DS , Nintendo , Role-Playing ,44493,1389750,56,2011-02-25,T
29, Just Dance , Wii , Ubisoft , Misc ,42462,5424364,66,2011-02-25,E10+
30, Red Dead Redemption , PS3 , Take-Two Interactive , Action ,41713,3553882,40,2011-02-25,M
1, Killzone 3 , PS3 , Sony Computer Entertainment , Shooter ,590177,590177,1,2011-03-04,M
2, Bulletstorm , X360 , Electronic Arts , Shooter ,359121,359121,1,2011-03-04,M
3, SD Gundam G Generation World , PSP , Namco Bandai Games , Strategy ,210419,210419,1,2011-03-04,T
4, Phantasy Star Portable 2: Infinity , PSP , Sega , Role-Playing ,207005,207005,1,2011-03-04,T
5, Just Dance 2 , Wii , Ubisoft , Misc ,187082,6179004,20,2011-03-04,E10+
6, Wii Sports , Wii , Nintendo , Sports ,176602,74542892,223,2011-03-04,E
7, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,168306,8766374,17,2011-03-04,E
8, Call of Duty: Black Ops , X360 , Activision , Shooter ,162422,11454229,16,2011-03-04,M
9, Call of Duty: Black Ops , PS3 , Activision , Shooter ,145851,9550769,16,2011-03-04,M
10, Wii Sports Resort , Wii , Nintendo , Sports ,144178,24894339,88,2011-03-04,E
11, Professor Layton and the Mask of Miracle , 3DS , Level 5 , Adventure ,118038,118038,1,2011-03-04,E10+
12, Marvel vs. Capcom 3: Fate of Two Worlds , PS3 , Capcom , Fighting ,105137,467153,2,2011-03-04,T
13, Marvel vs. Capcom 3: Fate of Two Worlds , X360 , Capcom , Fighting ,84728,368031,2,2011-03-04,T
14, Dead Space 2 , X360 , Electronic Arts , Shooter ,84268,750513,5,2011-03-04,M
15, Wii Fit Plus , Wii , Nintendo , Sports ,81338,17896212,74,2011-03-04,E
16, Disgaea 4: A Promise Unforgotten , PS3 , Nippon Ichi Software , Role-Playing ,78353,78353,1,2011-03-04,T
17, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,74431,2093686,14,2011-03-04,E10+
18, Mario Sports Mix , Wii , Nintendo , Sports ,73100,842638,14,2011-03-04,E
19, Bulletstorm , PS3 , Electronic Arts , Shooter ,72857,72857,1,2011-03-04,M
20, Dead Space 2 , PS3 , Electronic Arts , Shooter ,71396,643216,5,2011-03-04,M
21, Wii Party , Wii , Nintendo , Misc ,62784,5158020,34,2011-03-04,E
22, Nintendogs + cats , 3DS , Nintendo , Simulation ,62783,62783,1,2011-03-04,E
23, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,59629,6127179,14,2011-03-04,E
24, New Super Mario Bros. , DS , Nintendo , Platform ,58091,26016710,250,2011-03-04,E
25, LittleBigPlanet 2 , PS3 , Sony Computer Entertainment , Platform ,57992,1006399,6,2011-03-04,E
26, Mario Kart Wii , Wii , Nintendo , Racing ,55793,26371535,151,2011-03-04,E
27, Zumba Fitness , Wii , Majesco Entertainment , Sports ,50838,608288,15,2011-03-04,E
28, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,50674,21399051,67,2011-03-04,E
29, NBA 2K11 , X360 , Take-Two Interactive , Sports ,50254,1547774,21,2011-03-04,E
30, Donkey Kong Country Returns , Wii , Nintendo , Platform ,49801,4310335,14,2011-03-04,E
1, Pokemon Black / White , DS , Nintendo , Role-Playing ,736068,5917039,25,2011-03-11,E
2, Dissidia 012: Duodecim Final Fantasy , PSP , Square Enix , Fighting ,282992,282992,1,2011-03-11,T
3, Killzone 3 , PS3 , Sony Computer Entertainment , Shooter ,236276,826453,2,2011-03-11,M
4, Wii Sports , Wii , Nintendo , Sports ,150405,74693297,224,2011-03-11,E
5, Just Dance 2 , Wii , Ubisoft , Misc ,146404,6325408,21,2011-03-11,E10+
6, Fight Night Champion , X360 , Electronic Arts , Fighting ,146369,146369,1,2011-03-11,M
7, Bulletstorm , X360 , Electronic Arts , Shooter ,133284,492405,2,2011-03-11,M
8, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,128408,8894782,18,2011-03-11,E
9, RIFT , PC , Unknown , Role-Playing ,126074,126074,1,2011-03-11,T
10, Fight Night Champion , PS3 , Electronic Arts , Fighting ,125072,125072,1,2011-03-11,M
11, Wii Sports Resort , Wii , Nintendo , Sports ,115215,25009554,89,2011-03-11,E
12, Call of Duty: Black Ops , X360 , Activision , Shooter ,109111,11563340,17,2011-03-11,M
13, Call of Duty: Black Ops , PS3 , Activision , Shooter ,94733,9645502,17,2011-03-11,M
14, Way of the Samurai 4 , PS3 , Acquire , Action ,74692,74692,1,2011-03-11,M
15, Wii Fit Plus , Wii , Nintendo , Sports ,62335,17958547,75,2011-03-11,E
16, Professor Layton and the Mask of Miracle , 3DS , Level 5 , Adventure ,60713,178751,2,2011-03-11,E10+
17, Dead Space 2 , X360 , Electronic Arts , Shooter ,56849,807362,6,2011-03-11,M
