Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB
1, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,819697,7051282,9,2011-01-07,E
2, Wii Sports , Wii , Nintendo , Sports ,469546,73059446,215,2011-01-07,E
3, Just Dance 2 , Wii , Ubisoft , Misc ,444042,4760981,12,2011-01-07,E10+
4, Donkey Kong Country Returns , Wii , Nintendo , Platform ,377592,3596320,6,2011-01-07,E
5, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,377016,20805727,59,2011-01-07,E
6, Wii Sports Resort , Wii , Nintendo , Sports ,369862,23788204,80,2011-01-07,E
7, Call of Duty: Black Ops , X360 , Activision , Shooter ,366524,10322367,8,2011-01-07,M
8, Call of Duty: Black Ops , PS3 , Activision , Shooter ,359482,8581670,8,2011-01-07,M
9, Wii Fit Plus , Wii , Nintendo , Sports ,324616,17034687,66,2011-01-07,E
10, Gran Turismo 5 , PS3 , Sony Computer Entertainment , Racing ,318620,5384789,6,2011-01-07,E
11, Mario Kart Wii , Wii , Nintendo , Racing ,304596,25809210,143,2011-01-07,E
12, Wii Party , Wii , Nintendo , Misc ,298403,4651326,26,2011-01-07,E
13, Monster Hunter Freedom 3 , PSP , Capcom , Role-Playing ,295758,3762348,5,2011-01-07,T
14, Kinect Sports , X360 , Microsoft Game Studios , Sports ,272209,2196974,9,2011-01-07,E10+
15, New Super Mario Bros. , DS , Nintendo , Platform ,219980,25573147,242,2011-01-07,E
16, Mario Kart DS , DS , Nintendo , Racing ,200012,20208864,268,2011-01-07,E
17, Need for Speed: Hot Pursuit , PS3 , Electronic Arts , Racing ,191197,1490441,7,2011-01-07,E10+
18, Dance Central , X360 , MTV Games , Misc ,189298,1357351,9,2011-01-07,T
19, FIFA Soccer 11 , PS3 , Electronic Arts , Sports ,157318,3854413,14,2011-01-07,E
20, Michael Jackson: The Experience , Wii , Ubisoft , Misc ,154347,1691172,6,2011-01-07,E10+
21, Disney Epic Mickey , Wii , Disney Interactive Studios , Platform ,154213,1570313,6,2011-01-07,E
22, Halo: Reach , X360 , Microsoft Game Studios , Shooter ,151135,7059031,16,2011-01-07,M
23, World of Warcraft , PC , Activision , Role-Playing ,148527,4633540,308,2011-01-07,T
24, Sports Champions , PS3 , Sony Computer Entertainment , Sports ,148494,1970925,16,2011-01-07,E10+
25, Need for Speed: Hot Pursuit , X360 , Electronic Arts , Racing ,145827,1316515,7,2011-01-07,E10+
26, Super Mario All-Stars: Limited Edition , Wii , Nintendo , Platform ,135566,1971870,11,2011-01-07,E
27, Super Mario Galaxy 2 , Wii , Nintendo , Platform ,131187,5817378,32,2011-01-07,E
28, Fable III , X360 , Microsoft Game Studios , Role-Playing ,130485,2616188,10,2011-01-07,M
29, FIFA Soccer 11 , X360 , Electronic Arts , Sports ,118409,2567520,14,2011-01-07,E
30, Forza Motorsport 3 , X360 , Microsoft Game Studios , Racing ,117036,4344243,63,2011-01-07,E
1, Kinect Adventures! , X360 , Microsoft Game Studios , Misc ,335140,7386422,10,2011-01-14,E
