Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,date
25, Sonic's Ultimate Genesis Collection , PS3 , Sega , Misc ,35624,90898,3,2009-02-27,E10+,39871 
26, 50 Cent: Blood on the Sand , X360 , Bethesda Softworks , Shooter ,35241,43032,2,2009-02-27,M,39871 
27, LEGO Star Wars: The Complete Saga , Wii , LucasArts , Action ,35069,2252240,69,2009-02-27,E10+,39871 
28, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,33869,13392907,166,2009-02-27,E,39871 
29, The House of the Dead: Overkill , Wii , Sega , Shooter ,32783,110244,3,2009-02-27,M,39871 
30, Left 4 Dead , X360 , Electronic Arts , Shooter ,32680,1938015,15,2009-02-27,M,39871 
1, Halo Wars , X360 , Microsoft Game Studios , Strategy ,521643,667866,2,2009-03-06,T,39878 
2, Resident Evil 5 , PS3 , Capcom , Action ,323228,323228,1,2009-03-06,M,39878 
3, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,318252,1048092,2,2009-03-06,M,39878 
4, Wii Fit , Wii , Nintendo , Sports ,292267,16611647,67,2009-03-06,E,39878 
5, Wii Sports , Wii , Nintendo , Sports ,265182,42233021,120,2009-03-06,E,39878 
6, Wii Play , Wii , Nintendo , Misc ,139217,22300546,119,2009-03-06,E,39878 
7, Empire: Total War , PC , Sega , Strategy ,122721,122721,1,2009-03-06,T,39878 
8, Mario Kart Wii , Wii , Nintendo , Racing ,120794,14558934,48,2009-03-06,E,39878 
9, Street Fighter IV , PS3 , Capcom , Fighting ,117790,879522,4,2009-03-06,T,39878 
10, Major League Baseball 2K9 , X360 , Spike , Sports ,116542,116542,1,2009-03-06,E,39878 
11, MLB 09: The Show , PS3 , Sony Computer Entertainment , Sports ,103469,103469,1,2009-03-06,E,39878 
12, Street Fighter IV , X360 , Capcom , Fighting ,100612,748008,4,2009-03-06,T,39878 
13, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,90036,2378720,108,2009-03-06,E,39878 
14, Tom Clancy's HAWX , X360 , Ubisoft , Action ,89654,89654,1,2009-03-06,T,39878 
15, 7th Dragon , DS , Sega , Role-Playing ,80094,80094,1,2009-03-06,E,39878 
16, Tom Clancy's HAWX , PS3 , Ubisoft , Action ,78649,78649,1,2009-03-06,T,39878 
17, Resident Evil 5 , X360 , Capcom , Action ,78322,78322,1,2009-03-06,M,39878 
18, Dynasty Warriors: Strikeforce , PSP , Tecmo Koei , Action ,65208,288344,2,2009-03-06,T,39878 
19, New Super Mario Bros. , DS , Nintendo , Platform ,64713,18573163,147,2009-03-06,E,39878 
20, Mario Kart DS , DS , Nintendo , Racing ,59492,13672393,173,2009-03-06,E,39878 
21, Call of Duty: World at War , X360 , Activision , Shooter ,56621,5012518,17,2009-03-06,M,39878 
22, Yakuza 3 , PS3 , Sega , Adventure ,56383,411775,2,2009-03-06,M,39878 
23, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,49167,188756,8,2009-03-06,E,39878 
24, Halo 3 , X360 , Microsoft Game Studios , Shooter ,46124,9185823,76,2009-03-06,M,39878 
25, Mario & Luigi: Bowser's Inside Story , DS , Nintendo , Role-Playing ,43200,371670,4,2009-03-06,E,39878 
26, My Fitness Coach , Wii , Ubisoft , Sports ,41933,528972,14,2009-03-06,E,39878 
27, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,40914,17031047,199,2009-03-06,E,39878 
28, Guitar Hero: World Tour , Wii , Activision , Misc ,40131,2651355,19,2009-03-06,T,39878 
29, Call of Duty: World at War , PS3 , Activision , Shooter ,38146,3092104,17,2009-03-06,M,39878 
30, Aibou DS , DS , Tecmo Koei , Adventure ,37185,37185,1,2009-03-06,E,39878 
1, Resident Evil 5 , X360 , Capcom , Action ,914994,993316,2,2009-03-13,M,39885 
2, Resident Evil 5 , PS3 , Capcom , Action ,861720,1184948,2,2009-03-13,M,39885 
3, Wii Sports , Wii , Nintendo , Sports ,282439,42515460,121,2009-03-13,E,39885 
4, Wii Fit , Wii , Nintendo , Sports ,266319,16877966,68,2009-03-13,E,39885 
5, Halo Wars , X360 , Microsoft Game Studios , Strategy ,161528,829394,3,2009-03-13,T,39885 
6, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,144860,1192952,3,2009-03-13,M,39885 
7, Wii Play , Wii , Nintendo , Misc ,129526,22430072,120,2009-03-13,E,39885 
8, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,124523,313279,9,2009-03-13,E,39885 
9, Mario Kart Wii , Wii , Nintendo , Racing ,120662,14679596,49,2009-03-13,E,39885 
10, Musou Orochi Z , PS3 , Tecmo Koei , Action ,107650,107650,1,2009-03-13,T,39885 
11, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,82924,2461644,109,2009-03-13,E,39885 
12, Street Fighter IV , PS3 , Capcom , Fighting ,77832,957354,5,2009-03-13,T,39885 
13, Street Fighter IV , X360 , Capcom , Fighting ,67526,815534,5,2009-03-13,T,39885 
14, New Super Mario Bros. , DS , Nintendo , Platform ,66994,18640157,148,2009-03-13,E,39885 
15, Mario Kart DS , DS , Nintendo , Racing ,60248,13732641,174,2009-03-13,E,39885 
16, Major League Baseball 2K9 , X360 , Spike , Sports ,55704,172246,2,2009-03-13,E,39885 
17, Tom Clancy's HAWX , PS3 , Ubisoft , Action ,54754,133403,2,2009-03-13,T,39885 
18, Tom Clancy's HAWX , X360 , Ubisoft , Action ,54058,143712,2,2009-03-13,T,39885 
19, MLB 09: The Show , PS3 , Sony Computer Entertainment , Sports ,53736,157205,2,2009-03-13,E,39885 
20, Call of Duty: World at War , X360 , Activision , Shooter ,48809,5061327,18,2009-03-13,M,39885 
21, SOCOM: U.S. Navy SEALs Confrontation , PS3 , Sony Computer Entertainment , Shooter ,44754,717492,22,2009-03-13,M,39885 
22, MadWorld , Wii , Sega , Action ,41373,41373,1,2009-03-13,M,39885 
23, My Fitness Coach , Wii , Ubisoft , Sports ,40907,569879,15,2009-03-13,E,39885 
24, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,38705,17069752,200,2009-03-13,E,39885 
25, New Play Control! Pikmin , Wii , Nintendo , Strategy ,37894,199813,12,2009-03-13,E,39885 
26, Picross 3D , DS , Nintendo , Puzzle ,37316,37316,1,2009-03-13,E,39885 
27, Halo 3 , X360 , Microsoft Game Studios , Shooter ,36967,9222790,77,2009-03-13,M,39885 
28, Nintendogs , DS , Nintendo , Simulation ,36028,22094898,204,2009-03-13,E,39885 
29, Guitar Hero: World Tour , Wii , Activision , Misc ,35630,2686985,20,2009-03-13,T,39885 
30, Mario & Luigi: Bowser's Inside Story , DS , Nintendo , Role-Playing ,35224,406894,5,2009-03-13,E,39885 
1, Resident Evil 5 , X360 , Capcom , Action ,390124,1383440,3,2009-03-20,M,39892 
2, Resident Evil 5 , PS3 , Capcom , Action ,379089,1564037,3,2009-03-20,M,39892 
3, Wii Fit , Wii , Nintendo , Sports ,257026,17134992,69,2009-03-20,E,39892 
4, Wii Sports , Wii , Nintendo , Sports ,249251,42764711,122,2009-03-20,E,39892 
5, Mario Kart Wii , Wii , Nintendo , Racing ,133478,14813074,50,2009-03-20,E,39892 
6, Wii Play , Wii , Nintendo , Misc ,125557,22555629,121,2009-03-20,E,39892 
7, Super Robot Taisen K , DS , Namco Bandai Games , Strategy ,124383,124383,1,2009-03-20,T,39892 
8, Grand Theft Auto: Chinatown Wars , DS , CyberFront , Adventure ,110581,110581,1,2009-03-20,M,39892 
9, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,91441,2553085,110,2009-03-20,E,39892 
10, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,91263,1284215,4,2009-03-20,M,39892 
11, Halo Wars , X360 , Microsoft Game Studios , Strategy ,89798,919192,4,2009-03-20,T,39892 
12, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,77230,390509,10,2009-03-20,E,39892 
13, Street Fighter IV , PS3 , Capcom , Fighting ,65495,1022849,6,2009-03-20,T,39892 
14, New Super Mario Bros. , DS , Nintendo , Platform ,64132,18704289,149,2009-03-20,E,39892 
15, Mario Kart DS , DS , Nintendo , Racing ,61274,13793915,175,2009-03-20,E,39892 
16, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,56349,17126101,201,2009-03-20,E,39892 
17, Street Fighter IV , X360 , Capcom , Fighting ,50336,865870,6,2009-03-20,T,39892 
18, MLB 09: The Show , PS3 , Sony Computer Entertainment , Sports ,48672,205877,3,2009-03-20,E,39892 
19, Call of Duty: World at War , X360 , Activision , Shooter ,44561,5105888,19,2009-03-20,M,39892 
20, My Fitness Coach , Wii , Ubisoft , Sports ,43147,613026,16,2009-03-20,E,39892 
21, MadWorld , Wii , Sega , Action ,41524,82897,2,2009-03-20,M,39892 
22, Resistance: Retribution , PSP , Sony Computer Entertainment , Shooter ,38963,54375,2,2009-03-20,M,39892 
23, Nintendogs , DS , Nintendo , Simulation ,37877,22132775,205,2009-03-20,E,39892 
24, Major League Baseball 2K9 , X360 , Spike , Sports ,37489,209735,3,2009-03-20,E,39892 
25, Musou Orochi Z , PS3 , Tecmo Koei , Action ,35462,143112,2,2009-03-20,T,39892 
26, LEGO Star Wars: The Complete Saga , Wii , LucasArts , Action ,33938,2354471,72,2009-03-20,E10+,39892 
27, Halo 3 , X360 , Microsoft Game Studios , Shooter ,33537,9256327,78,2009-03-20,M,39892 
28, Mario & Luigi: Bowser's Inside Story , DS , Nintendo , Role-Playing ,33427,440321,6,2009-03-20,E,39892 
29, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,32860,13483911,169,2009-03-20,E,39892 
30, Tom Clancy's HAWX , PS3 , Ubisoft , Action ,32707,166110,3,2009-03-20,T,39892 
1, Pokemon Pt Giratina, DS , Nintendo , Role-Playing ,738955,3135372,29,2009-03-27,T,39899 
2, Wii Fit , Wii , Nintendo , Sports ,237948,17372940,70,2009-03-27,E,39899 
3, Wii Sports , Wii , Nintendo , Sports ,223667,42988378,123,2009-03-27,E,39899 
4, Resident Evil 5 , X360 , Capcom , Action ,217928,1601368,4,2009-03-27,M,39899 
5, Resident Evil 5 , PS3 , Capcom , Action ,200803,1764840,4,2009-03-27,M,39899 
6, Mario Kart Wii , Wii , Nintendo , Racing ,133397,14946471,51,2009-03-27,E,39899 
7, Wii Play , Wii , Nintendo , Misc ,117496,22673125,122,2009-03-27,E,39899 
8, Kidou Senshi Gundam: Senjou no Kizuna Portable , PSP , Namco Bandai Games , Strategy ,85844,85844,1,2009-03-27,E,39899 
9, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,80905,2633990,111,2009-03-27,E,39899 
10, Grand Theft Auto: Chinatown Wars , DS , CyberFront , Adventure ,73915,184496,2,2009-03-27,M,39899 
11, Legends of WrestleMania , X360 , THQ , Fighting ,67307,85496,2,2009-03-27,T,39899 
12, New Super Mario Bros. , DS , Nintendo , Platform ,66524,18770813,150,2009-03-27,E,39899 
13, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,65452,1349667,5,2009-03-27,M,39899 
14, Halo Wars , X360 , Microsoft Game Studios , Strategy ,63904,983096,5,2009-03-27,T,39899 
15, Mario Kart DS , DS , Nintendo , Racing ,60664,13854580,176,2009-03-27,E,39899 
16, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,58016,448525,11,2009-03-27,E,39899 
17, Street Fighter IV , PS3 , Capcom , Fighting ,56948,1079797,7,2009-03-27,T,39899 
18, Legends of WrestleMania , PS3 , THQ , Fighting ,51026,72178,2,2009-03-27,T,39899 
19, Call of Duty: World at War , X360 , Activision , Shooter ,50007,5155895,20,2009-03-27,M,39899 
20, Street Fighter IV , X360 , Capcom , Fighting ,48452,914322,7,2009-03-27,T,39899 
21, Wanted: Weapons of Fate , X360 , Spike , Shooter ,47299,47299,1,2009-03-27,M,39899 
22, My Fitness Coach , Wii , Ubisoft , Sports ,45490,658516,17,2009-03-27,E,39899 
23, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,44640,17170741,202,2009-03-27,E,39899 
24, Nintendogs , DS , Nintendo , Simulation ,38468,22171243,206,2009-03-27,E,39899 
25, Disgaea 2: Dark Hero Days , PSP , Nippon Ichi Software , Role-Playing ,38212,38212,1,2009-03-27,T,39899 
26, Resistance: Retribution , PSP , Sony Computer Entertainment , Shooter ,37566,91941,3,2009-03-27,M,39899 
27, MLB 09: The Show , PS3 , Sony Computer Entertainment , Sports ,37340,243217,4,2009-03-27,E,39899 
28, Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009 , DS , Konami Digital Entertainment , Action ,37006,37006,1,2009-03-27,E,39899 
29, Final Fantasy Crystal Chronicles: Echoes of Time , DS , Square Enix , Role-Playing ,36073,267322,9,2009-03-27,E10+,39899 
30, Halo 3 , X360 , Microsoft Game Studios , Shooter ,35617,9291944,79,2009-03-27,M,39899 
1, Wii Fit , Wii , Nintendo , Sports ,286398,17659338,71,2009-04-03,E,39906 
2, Pokemon Pt Giratina, DS , Nintendo , Role-Playing ,259538,3394910,30,2009-04-03,T,39906 
3, Wii Sports , Wii , Nintendo , Sports ,205580,43193958,124,2009-04-03,E,39906 
4, Guitar Hero: Metallica , X360 , Activision , Misc ,194676,194676,1,2009-04-03,T,39906 
5, Resident Evil 5 , X360 , Capcom , Action ,142238,1743606,5,2009-04-03,M,39906 
6, Resident Evil 5 , PS3 , Capcom , Action ,136982,1901822,5,2009-04-03,M,39906 
7, Mario Kart Wii , Wii , Nintendo , Racing ,133994,15080465,52,2009-04-03,E,39906 
8, Guitar Hero: Metallica , Wii , Activision , Misc ,119665,119665,1,2009-04-03,T,39906 
9, Wii Play , Wii , Nintendo , Misc ,105011,22778136,123,2009-04-03,E,39906 
10, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,76018,2710008,112,2009-04-03,E,39906 
11, Guitar Hero: Metallica , PS3 , Activision , Misc ,68092,68092,1,2009-04-03,T,39906 
12, Mario Kart DS , DS , Nintendo , Racing ,67703,13922282,177,2009-04-03,E,39906 
13, New Super Mario Bros. , DS , Nintendo , Platform ,64900,18835713,151,2009-04-03,E,39906 
14, Grand Theft Auto: Chinatown Wars , DS , CyberFront , Adventure ,63841,248337,3,2009-04-03,M,39906 
15, Halo Wars , X360 , Microsoft Game Studios , Strategy ,50674,1033770,6,2009-04-03,T,39906 
16, Street Fighter IV , PS3 , Capcom , Fighting ,49919,1129716,8,2009-04-03,T,39906 
17, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,49415,17220156,203,2009-04-03,E,39906 
18, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,47989,1397656,6,2009-04-03,M,39906 
19, My Fitness Coach , Wii , Ubisoft , Sports ,47783,706299,18,2009-04-03,E,39906 
20, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,47559,496084,12,2009-04-03,E,39906 
21, Call of Duty: World at War , X360 , Activision , Shooter ,46356,5202251,21,2009-04-03,M,39906 
22, Vin Diesel: Wheelman , X360 , Ubisoft , Racing ,41156,71304,2,2009-04-03,T,39906 
23, Street Fighter IV , X360 , Capcom , Fighting ,37591,951913,8,2009-04-03,T,39906 
24, Nintendogs , DS , Nintendo , Simulation ,36787,22208030,207,2009-04-03,E,39906 
25, Club Penguin: Elite Penguin Force , DS , Disney Interactive Studios , Adventure ,36635,937117,19,2009-04-03,E,39906 
26, Vin Diesel: Wheelman , PS3 , Ubisoft , Racing ,36561,63170,2,2009-04-03,T,39906 
27, Guitar Hero: World Tour , Wii , Activision , Misc ,33748,2784196,23,2009-04-03,T,39906 
28, Halo 3 , X360 , Microsoft Game Studios , Shooter ,33193,9325137,80,2009-04-03,M,39906 
29, Kidou Senshi Gundam: Senjou no Kizuna Portable , PSP , Namco Bandai Games , Strategy ,32549,118393,2,2009-04-03,E,39906 
30, Mario & Luigi: Bowser's Inside Story , DS , Nintendo , Role-Playing ,30041,502392,8,2009-04-03,E,39906 
1, Wii Fit , Wii , Nintendo , Sports ,248087,17907425,72,2009-04-10,E,39913 
2, Wii Sports , Wii , Nintendo , Sports ,221118,43415076,125,2009-04-10,E,39913 
3, Pokemon Pt Giratina, DS , Nintendo , Role-Playing ,215644,3610554,31,2009-04-10,T,39913 
4, Mario Kart Wii , Wii , Nintendo , Racing ,134720,15215185,53,2009-04-10,E,39913 
5, The Godfather II , X360 , Electronic Arts , Adventure ,121410,121410,1,2009-04-10,M,39913 
6, The Godfather II , PS3 , Electronic Arts , Adventure ,108970,108970,1,2009-04-10,M,39913 
7, Wii Play , Wii , Nintendo , Misc ,105316,22883452,124,2009-04-10,E,39913 
8, Resident Evil 5 , X360 , Capcom , Action ,93750,1837356,6,2009-04-10,M,39913 
9, Resident Evil 5 , PS3 , Capcom , Action ,91408,1993230,6,2009-04-10,M,39913 
10, Sengoku Basara: Battle Heroes , PSP , Capcom , Action ,85918,85918,1,2009-04-10,E10+,39913 
11, New Super Mario Bros. , DS , Nintendo , Platform ,81289,18917001,152,2009-04-10,E,39913 
12, Mario Kart DS , DS , Nintendo , Racing ,78164,14000446,178,2009-04-10,E,39913 
13, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,76973,2786981,113,2009-04-10,E,39913 
14, Grand Theft Auto: Chinatown Wars , DS , CyberFront , Adventure ,60405,308742,4,2009-04-10,M,39913 
15, Rhythm Heaven , DS , Nintendo , Misc ,58775,1713237,37,2009-04-10,E,39913 
16, Guitar Hero: Metallica , X360 , Activision , Misc ,49444,244120,2,2009-04-10,T,39913 
17, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,47328,17267484,204,2009-04-10,E,39913 
18, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,45756,6821721,75,2009-04-10,E,39913 
19, Club Penguin: Elite Penguin Force , DS , Disney Interactive Studios , Adventure ,44717,981834,20,2009-04-10,E,39913 
20, Nintendogs , DS , Nintendo , Simulation ,43235,22251265,208,2009-04-10,E,39913 
21, Call of Duty: World at War , X360 , Activision , Shooter ,42747,5244998,22,2009-04-10,M,39913 
22, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,42451,538535,13,2009-04-10,E,39913 
23, My Fitness Coach , Wii , Ubisoft , Sports ,41704,748003,19,2009-04-10,E,39913 
24, The Chronicles of Riddick: Assault on Dark Athena , X360 , Atari , Shooter ,39975,39975,1,2009-04-10,M,39913 
25, Street Fighter IV , PS3 , Capcom , Fighting ,39517,1169233,9,2009-04-10,T,39913 
26, Mario & Sonic at the Olympic Games , DS , Nintendo , Sports ,39489,4077024,65,2009-04-10,E,39913 
27, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,38991,1436647,7,2009-04-10,M,39913 
28, Guitar Hero: Metallica , Wii , Activision , Misc ,38814,158479,2,2009-04-10,T,39913 
29, Halo Wars , X360 , Microsoft Game Studios , Strategy ,35935,1069705,7,2009-04-10,T,39913 
30, Guitar Hero: Aerosmith , X360 , Activision , Misc ,35660,683056,42,2009-04-10,T,39913 
1, Wii Fit , Wii , Nintendo , Sports ,240260,18147685,73,2009-04-17,E,39920 
2, Wii Sports , Wii , Nintendo , Sports ,202327,43617403,126,2009-04-17,E,39920 
3, Pokemon Mystery Dungeon: Explorers of Sky, DS , Nintendo , Role-Playing ,140945,140945,1,2009-04-17,T,39920 
4, Pokemon Pt Giratina, DS , Nintendo , Role-Playing ,136849,3747403,32,2009-04-17,T,39920 
5, Mario Kart Wii , Wii , Nintendo , Racing ,124161,15339346,54,2009-04-17,E,39920 
6, Wii Play , Wii , Nintendo , Misc ,95737,22979189,125,2009-04-17,E,39920 
7, The Godfather II , X360 , Electronic Arts , Adventure ,80826,202236,2,2009-04-17,M,39920 
8, The Godfather II , PS3 , Electronic Arts , Adventure ,68105,177075,2,2009-04-17,M,39920 
9, Resident Evil 5 , PS3 , Capcom , Action ,67045,2060275,7,2009-04-17,M,39920 
10, New Super Mario Bros. , DS , Nintendo , Platform ,64622,18981623,153,2009-04-17,E,39920 
11, Resident Evil 5 , X360 , Capcom , Action ,64242,1901598,7,2009-04-17,M,39920 
12, Mario Kart DS , DS , Nintendo , Racing ,61701,14062147,179,2009-04-17,E,39920 
13, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,59577,2846558,114,2009-04-17,E,39920 
14, Grand Theft Auto: Chinatown Wars , DS , CyberFront , Adventure ,49930,358672,5,2009-04-17,M,39920 
15, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,38467,577002,14,2009-04-17,E,39920 
16, Rhythm Heaven , DS , Nintendo , Misc ,37310,1750547,38,2009-04-17,E,39920 
17, My Fitness Coach , Wii , Ubisoft , Sports ,36604,784607,20,2009-04-17,E,39920 
18, Club Penguin: Elite Penguin Force , DS , Disney Interactive Studios , Adventure ,36436,1018270,21,2009-04-17,E,39920 
19, Nintendogs , DS , Nintendo , Simulation ,36338,22287603,209,2009-04-17,E,39920 
20, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,35586,17303070,205,2009-04-17,E,39920 
21, Call of Duty: World at War , X360 , Activision , Shooter ,33403,5278401,23,2009-04-17,M,39920 
22, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,33219,1469866,8,2009-04-17,M,39920 
23, Mario & Sonic at the Olympic Games , DS , Nintendo , Sports ,32491,4109515,66,2009-04-17,E,39920 
24, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,31558,6853279,76,2009-04-17,E,39920 
25, Guitar Hero: Metallica , X360 , Activision , Misc ,30415,274535,3,2009-04-17,T,39920 
26, Halo 3 , X360 , Microsoft Game Studios , Shooter ,28334,9383153,82,2009-04-17,M,39920 
27, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,28254,13610264,173,2009-04-17,E,39920 
28, Halo Wars , X360 , Microsoft Game Studios , Strategy ,28108,1097813,8,2009-04-17,T,39920 
29, Sengoku Basara: Battle Heroes , PSP , Capcom , Action ,27442,113360,2,2009-04-17,E10+,39920 
30, Street Fighter IV , PS3 , Capcom , Fighting ,26419,1195652,10,2009-04-17,T,39920 
1, Wii Fit , Wii , Nintendo , Sports ,215731,18363416,74,2009-04-24,E,39927 
2, Wii Sports , Wii , Nintendo , Sports ,176533,43793936,127,2009-04-24,E,39927 
3, Monster Hunter G , Wii , Capcom , Role-Playing ,137305,137305,1,2009-04-24,T,39927 
4, Pokemon Pt Giratina, DS , Nintendo , Role-Playing ,108805,3856208,33,2009-04-24,T,39927 
5, Mario Kart Wii , Wii , Nintendo , Racing ,107238,15446584,55,2009-04-24,E,39927 
6, Wii Play , Wii , Nintendo , Misc ,81839,23061028,126,2009-04-24,E,39927 
7, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,71814,1541680,9,2009-04-24,M,39927 
8, New Super Mario Bros. , DS , Nintendo , Platform ,57765,19039388,154,2009-04-24,E,39927 
9, Resident Evil 5 , PS3 , Capcom , Action ,54767,2115042,8,2009-04-24,M,39927 
10, Pokemon Mystery Dungeon: Explorers of Sky, DS , Nintendo , Role-Playing ,54450,195395,2,2009-04-24,T,39927 
11, The Godfather II , X360 , Electronic Arts , Adventure ,52255,254491,3,2009-04-24,M,39927 
12, Mario Kart DS , DS , Nintendo , Racing ,50104,14112251,180,2009-04-24,E,39927 
13, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,49052,2895610,115,2009-04-24,E,39927 
14, Resident Evil 5 , X360 , Capcom , Action ,45773,1947371,8,2009-04-24,M,39927 
15, The Godfather II , PS3 , Electronic Arts , Adventure ,37897,214972,3,2009-04-24,M,39927 
16, Grand Theft Auto: Chinatown Wars , DS , CyberFront , Adventure ,35201,393873,6,2009-04-24,M,39927 
17, The Chronicles of Riddick: Assault on Dark Athena , X360 , Atari , Shooter ,34850,90630,3,2009-04-24,M,39927 
18, Nintendogs , DS , Nintendo , Simulation ,32758,22320361,210,2009-04-24,E,39927 
19, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,32442,17335512,206,2009-04-24,E,39927 
20, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,31543,608545,15,2009-04-24,E,39927 
21, Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta , PSP , Irem Software Engineering , Action ,31207,31207,1,2009-04-24,T,39927 
22, Rhythm Heaven , DS , Nintendo , Misc ,31029,1781576,39,2009-04-24,E,39927 
23, My Fitness Coach , Wii , Ubisoft , Sports ,30537,815144,21,2009-04-24,E,39927 
24, Call of Duty: World at War , X360 , Activision , Shooter ,29328,5307729,24,2009-04-24,M,39927 
25, Halo 3 , X360 , Microsoft Game Studios , Shooter ,28182,9411335,83,2009-04-24,M,39927 
26, Club Penguin: Elite Penguin Force , DS , Disney Interactive Studios , Adventure ,26983,1045253,22,2009-04-24,E,39927 
27, Monster Hunter Freedom Unite , PSP , Capcom , Role-Playing ,24909,3131743,57,2009-04-24,T,39927 
28, Mario & Sonic at the Olympic Games , DS , Nintendo , Sports ,24544,4134059,67,2009-04-24,E,39927 
29, The Chronicles of Riddick: Assault on Dark Athena , PS3 , Atari , Shooter ,24444,48169,3,2009-04-24,M,39927 
30, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,22925,13633189,174,2009-04-24,E,39927 
1, Wii Fit , Wii , Nintendo , Sports ,214199,18577615,75,2009-05-01,E,39934 
2, Wii Sports , Wii , Nintendo , Sports ,192159,43986095,128,2009-05-01,E,39934 
3, Mario Kart Wii , Wii , Nintendo , Racing ,109764,15556348,56,2009-05-01,E,39934 
4, X-Men Origins: Wolverine - Uncaged Edition , X360 , Activision , Action ,91394,91394,1,2009-05-01,M,39934 
5, Pokemon Pt Giratina, DS , Nintendo , Role-Playing ,87852,3944060,34,2009-05-01,T,39934 
6, Dragon Ball Z: Attack of the Saiyans , DS , Namco Bandai Games , Role-Playing ,87842,87842,1,2009-05-01,E10+,39934 
7, Wii Play , Wii , Nintendo , Misc ,87782,23148810,127,2009-05-01,E,39934 
8, Shin Megami Tensei: Persona , PSP , Atlus , Role-Playing ,85135,85135,1,2009-05-01,T,39934 
9, X-Men Origins: Wolverine - Uncaged Edition , PS3 , Activision , Action ,78438,78438,1,2009-05-01,M,39934 
10, WarioWare D.I.Y. , DS , Nintendo , Misc ,70296,70296,1,2009-05-01,E,39934 
11, New Super Mario Bros. , DS , Nintendo , Platform ,55013,19094401,155,2009-05-01,E,39934 
12, Mario Kart DS , DS , Nintendo , Racing ,53752,14166003,181,2009-05-01,E,39934 
13, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,47094,2942704,116,2009-05-01,E,39934 
14, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,45217,1586897,10,2009-05-01,M,39934 
15, Resident Evil 5 , PS3 , Capcom , Action ,43869,2158911,9,2009-05-01,M,39934 
16, Pokemon Mystery Dungeon: Explorers of Sky, DS , Nintendo , Role-Playing ,43096,238491,3,2009-05-01,T,39934 
17, Rhythm Heaven , DS , Nintendo , Misc ,42052,1823628,40,2009-05-01,E,39934 
18, Resident Evil 5 , X360 , Capcom , Action ,37949,1985320,9,2009-05-01,M,39934 
19, Monster Hunter G , Wii , Capcom , Role-Playing ,37548,174853,2,2009-05-01,T,39934 
20, ToraDora Portable! , PSP , Namco Bandai Games , Adventure ,36841,36841,1,2009-05-01,E10+,39934 
21, Nintendogs , DS , Nintendo , Simulation ,34449,22354810,211,2009-05-01,E,39934 
22, My Fitness Coach , Wii , Ubisoft , Sports ,33559,848703,22,2009-05-01,E,39934 
23, Halo 3 , X360 , Microsoft Game Studios , Shooter ,33411,9444746,84,2009-05-01,M,39934 
24, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,32773,17368285,207,2009-05-01,E,39934 
