Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,date
1, Wii Sports , Wii , Nintendo , Sports ,301810,39815834,113,2009-01-16,E,39829 
2, Wii Fit , Wii , Nintendo , Sports ,271485,14168833,60,2009-01-16,E,39829 
3, Wii Play , Wii , Nintendo , Misc ,170544,21106515,112,2009-01-16,E,39829 
4, Mario Kart Wii , Wii , Nintendo , Racing ,163415,13584666,41,2009-01-16,E,39829 
5, Call of Duty: World at War , X360 , Activision , Shooter ,111810,4519906,10,2009-01-16,M,39829 
6, The Lord of the Rings: Conquest , X360 , Electronic Arts , Action ,108380,108380,1,2009-01-16,T,39829 
7, New Super Mario Bros. , DS , Nintendo , Platform ,90072,18066399,140,2009-01-16,E,39829 
8, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,84358,16670337,192,2009-01-16,E,39829 
9, Mario Kart DS , DS , Nintendo , Racing ,83949,13197830,166,2009-01-16,E,39829 
10, Left 4 Dead , X360 , Electronic Arts , Shooter ,82252,1569858,9,2009-01-16,M,39829 
11, The Lord of the Rings: Conquest , PS3 , Electronic Arts , Action ,80556,80556,1,2009-01-16,T,39829 
12, Call of Duty: World at War , PS3 , Activision , Shooter ,74154,2740202,10,2009-01-16,M,39829 
13, Fallout 3 , PS3 , Bethesda Softworks , Role-Playing ,64548,1194103,12,2009-01-16,M,39829 
14, Gears of War 2 , X360 , Microsoft Game Studios , Shooter ,60358,4366494,11,2009-01-16,M,39829 
15, Nintendogs , DS , Nintendo , Simulation ,58340,21760885,196,2009-01-16,E,39829 
16, Animal Crossing: City Folk , Wii , Nintendo , Simulation ,57931,2620352,9,2009-01-16,E,39829 
17, Naruto: Ultimate Ninja Storm , PS3 , Namco Bandai Games , Fighting ,57506,562249,11,2009-01-16,T,39829 
18, LEGO Indiana Jones: The Original Adventures , X360 , Activision , Adventure ,56654,2826400,33,2009-01-16,E10+,39829 
19, Shin Megami Tensei: Devil Survivor , DS , Atlus , Role-Playing ,56276,56276,1,2009-01-16,T,39829 
20, Guitar Hero: World Tour , Wii , Activision , Misc ,56159,2313831,12,2009-01-16,T,39829 
21, New Play Control! Mario Power Tennis , Wii , Nintendo , Sports ,55626,55626,1,2009-01-16,E,39829 
22, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,54075,13148206,160,2009-01-16,E,39829 
23, Kung Fu Panda , X360 , Activision , Platform ,52149,2439720,33,2009-01-16,E,39829 
24, Super Smash Bros. Brawl , Wii , Nintendo , Fighting ,50093,8021105,51,2009-01-16,T,39829 
25, LittleBigPlanet , PS3 , Sony Computer Entertainment , Platform ,48725,1930161,12,2009-01-16,E,39829 
26, Fallout 3 , X360 , Bethesda Softworks , Role-Playing ,45454,1988781,12,2009-01-16,M,39829 
